indice,titulo,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
15,Notebook ultra multilaser 15.6 pol celeron N4020 4GB 120GB ssd windows 11 prata + microsoft 365 pers,7908414438545,notebooks,199.98330569267273,0,0,0,0,0,0.0,0,0,0.0,346,0.002890173410404624,0.13017306245297217
27,"Notebook Lenovo Ideapad 3i Intel Celeron N4020 Memoria 4GB Ssd 480GB Tela 15,6'' HD Windows 10 Pro",195713167154,notebooks,199.98330569267273,1,1,1,1,5,0.5,1,6,0.12,1,1.0,0.0003762227238525207
31,Notebook Acer A315 Intel Celeron N4000 Memoria 4gb Ssd 240GBTela 15.6' Hd Windows 10 Home,4710180696752,notebooks,199.98330569267273,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0007524454477050414
42,"Notebook Samsung Book Intel Dual-Core, Windows 10 Home 500GB, 4GB ram, Tela 15.6 Full HD LED Branco",7892509117159,notebooks,199.98330569267273,0,0,0,1,2,0.2,1,5,0.1,6,0.16666666666666666,0.002257336343115124
52,Notebook Gamer 82CGS00100 Core i5 8GB 256GB ssd GeForce gtx 1650 4GB Tela 15.6 Linux 3i-15IMH 10300H Lenovo,195892009962,notebooks,199.98330569267273,1,1,1,1,4,0.4,1,8,0.16,1,1.0,0.0003762227238525207
61,"Notebook Vaio FE14 VJFE42F11X-B1521H Intel Core i3-10110U 4GB 128GB SSD FHD Linux 14"" Chumbo Escuro",7896904697506,notebooks,199.98330569267273,0,0,0,0,0,0.0,0,0,0.0,560,0.0017857142857142857,0.2106847253574116
66,"Lenovo Notebook IdeaPad 3 17ITL06 82H900EDUS 17,3"" - HD+ - 1600 x 900 - Intel Core i3 11ª geração i3-1115G4 Dual-core (2 núcleos) 3 GHz - 8 GB RAM - SSD de 256 GB - Cinza Ártico - Intel Chip - Windows 11 H",196118135144,notebooks,199.98330569267273,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
79,Notebook ASUS E510MA-BR295R Preto,7898573297759,notebooks,199.98330569267273,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
99,Notebook ASUS X571GT-AL888T INTEL CORE I5 9300H / NVIDIA GeForce GTX1650 / 16 GB / 256 GB SSD / Windows 10 Home / Black,7898573297438,notebooks,199.98330569267273,0,0,0,0,0,0.0,0,0,0.0,393,0.002544529262086514,0.14785553047404063
101,"Notebook Lenovo Ultrafino ideapad S145 i7-1065G7, 8GB 256GB SSD Placa de Vídeo Intel® Iris Plus Windows 10 15.6"" Full HD, Prata",194632910810,notebooks,199.98330569267273,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
115,"MSI Laptop diário fino e leve 15A moderno: 15,6"" FHD 1080p, Intel Core i7-1195G7, Intel Iris Xe, 8GB, SSD 512GB, Win10, cinza carbono (A11MU-653)",824142263136,notebooks,199.98330569267273,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
116,"Notebook asus VivoBook X513EA-EJ3010 Intel Core i7 1165G7 8GB 256GB ssd Linux 15,6 LED Preto",7898573298404,notebooks,199.98330569267273,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
118,"MacBook Pro Apple 13,3"" Intel Core i5 (16GB 1TB) Prateado",190199520172,notebooks,199.98330569267273,0,0,0,0,0,0.0,0,0,0.0,323,0.0030959752321981426,0.12151993980436418
128,Notebook lenovo cel IDEAPAD3 4GB 128GB ssd 82BU 15IGL,196378008295,notebooks,199.98330569267273,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
133,"Notebook Acer A315-56-569F, Intel Core i5, 4GB 256GB, 15.6, Endless Os, Grafite",4710886059059,notebooks,199.98330569267273,1,1,1,1,1,0.1,1,4,0.08,1,1.0,0.0003762227238525207
149,Notebook VAIO® FE15 Intel® Core™ i7 Windows 11 Home 8GB 256GB Full HD Cinza Escuro - Inclui Microsoft 365* IO® FE15 Intel® Core™ i7 Windows 11 Home 8GB 256GB Full HD Cinza Escuro,7896904698800,notebooks,199.98330569267273,0,0,0,0,0,0.0,0,0,0.0,197,0.005076142131979695,0.07411587659894657
165,Notebook Acer Aspire 5 A514 Intel Core I5 1035G1 Memória 8gb Hd 1tb Ssd 256gb Tela 14'' HD Windows 10 Home,4710886520726,notebooks,199.98330569267273,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
172,Notebook Acer Aspire 3 A315-56-330J Ci3 4GB 256GB SSD 15.6 Windows 10,4710886170556,notebooks,199.98330569267273,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
