indice,titulo,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
5,"Smart TV 4K Samsung qled 75 com Design Slim, Alexa built in e Wi-Fi - 75Q70AA",7892509117593,https://www.americanas.com.br/produto/3249116279,tvs,147.44701099395752,0,0,0,0,0,0.0,1,1,0.02,39,0.02564102564102564,0.019374068554396422
19,Smart Tv Uhd 4k 55 Wifi Preto Bivolt,7908414412934,https://www.americanas.com.br/produto/4375961342,tvs,147.44701099395752,0,0,0,0,0,0.0,1,2,0.04,12,0.08333333333333333,0.005961251862891207
22,"SAMSUNG, TV Smart 65 Uhd 4K UN65AU7700GXZD",7892509117937,https://www.amazon.com.br/SAMSUNG-TV-Smart-Uhd-UN65AU7700GXZD/dp/B09JL78HRN,tvs,147.44701099395752,0,0,0,0,0,0.0,0,0,0.0,289,0.0034602076124567475,0.14356681569796323
28,TV Philco PTV39G50D d-led 39,7891356086595,https://www.americanas.com.br/produto/4660650164,tvs,147.44701099395752,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0004967709885742673
34,Smart TV Samsung Crystal uhd 4K 55AU9000 Design Slim Som em Movimento Virtual Visual Sem Cabos 55,7892509117463,https://www.americanas.com.br/produto/3253030380,tvs,147.44701099395752,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0009935419771485345
39,Tela 24 Polegadas HD Multilaser - TL037,7908414412880,https://www.americanas.com.br/produto/4100399135,tvs,147.44701099395752,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0014903129657228018
51,TV Led LH65BEAHV 65 Smart Ultra Hd 4k Crystal 3HDMI 1USB Samsung,7892509118156,https://www.americanas.com.br/produto/4955585321,tvs,147.44701099395752,0,0,0,1,1,0.1,1,1,0.02,6,0.16666666666666666,0.0029806259314456036
57,Smart TV LED 32 HD Multilaser TL020 Conversor Digital Externo 3 hdmi 2 USB Wi-Fi,7899838894744,https://www.americanas.com.br/produto/4880613701,tvs,147.44701099395752,0,0,0,0,0,0.0,0,0,0.0,72,0.013888888888888888,0.03576751117734724
63,"Smart Tv 85"" Crystal UHD Samsung 4k 85AU8000 Painel Dynamic Crystal Color Design Slim Tela Sem Limites",7892509117531,https://www.americanas.com.br/produto/3069507846,tvs,147.44701099395752,0,0,0,0,0,0.0,1,1,0.02,13,0.07692307692307693,0.006458022851465474
68,"Smart TV Samsung 50 led, Crystal Ultra HD 4K, Wi-Fi, USB - LH50BEAHVGGXZD",7892509118132,https://www.americanas.com.br/produto/3457012280,tvs,147.44701099395752,0,0,0,0,0,0.0,0,0,0.0,378,0.0026455026455026454,0.18777943368107303
