indice,titulo,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
5,"Smart TV Led 43"" Semp 43s5300 Full HD Android Bluetooth Controle Remoto com Comando de voz Google Assistant",7899968300887,https://www.americanas.com.br/produto/134544943,tvs,131.43209624290466,0,0,0,1,1,0.1,1,1,0.02,10,0.1,0.0056179775280898875
35,Smart TV LED 65 LG uhd 4K ThinQ ai TV HDR10 webOS 6.0 2HDMI 1USB Wi-Fi,7893299916915,https://www.americanas.com.br/produto/5081846277,tvs,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,73,0.0136986301369863,0.04101123595505618
43,Smart TV LG 43 polegadas 4K uhd 43UP7500PSF webOS ThinQ ai HGiG,7893299915840,https://www.americanas.com.br/produto/5163467035,tvs,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,61,0.01639344262295082,0.034269662921348316
50,"Smart Tv Led 32'' Panasonic Hd, Wi-fi, Usb, Hdmi, 60hz",7896067213285,https://www.americanas.com.br/produto/3855539175,tvs,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,71,0.014084507042253521,0.039887640449438204
52,"Smart TV Samsung 55 qled 4K Q65B 2022 Design Air Slim, Processador Quantum Lite, Multitela",7892509122009,https://www.americanas.com.br/produto/5140142393,tvs,131.43209624290466,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0022471910112359553
53,Smart TV LED 65” LG 65NANO85 4K NanoCell 120hz Freesync 2 Hdmi 2.1 Inteligência Artificial ThinQ Google Alexa,7893299915758,https://www.americanas.com.br/produto/3280457098,tvs,131.43209624290466,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0022471910112359553
59,Philco TV 42 Led PTV42G52RCF,7891356092329,https://www.amazon.com.br/Smart-Philco-PTV42G52RCF-Polegadas-Preta/dp/B092R6NKBH,tvs,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,257,0.0038910505836575876,0.14438202247191012
66,"PHILIPS Smart TV 32PHG6825/78-32"" HD sem bordas, HDR Plus, 3 HDMI, 2 USB, Wifi Miracast, Conversor digital, Netflix, Youtube, Globoplay e Prime Video",7898620271282,https://www.amazon.com.br/Philips-32PHG6825-Miracast-Conversor-Globoplay/dp/B08VZJ1WBJ,tvs,131.43209624290466,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
67,"Smart TV Samsung Led 55'' uhd, 4K, Alexa Built in, Wi-Fi, usb, hdmi - UN55AU7700GX Smart TV Samsung",7892509117913,https://www.americanas.com.br/produto/4395177723,tvs,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,77,0.012987012987012988,0.04325842696629213
68,Smart TV LED 32” TCL S5200 HD HDR Android com Bluetooth e Google Assistant,7899968301105,https://www.americanas.com.br/produto/3775815053,tvs,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,56,0.017857142857142856,0.03146067415730337
69,Smart TV Philco PTV32G70SBL LED- HD- WIFI integrado,7891356088599,https://www.amazon.com.br/Smart-Philco-PTV32G70SBL-LED-integrado/dp/B089TT653W,tvs,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,689,0.001451378809869376,0.38707865168539324
70,"Smart TV 4K Samsung qled 75 com Design Slim, Alexa built in e Wi-Fi - 75Q70AA",7892509117593,https://www.americanas.com.br/produto/3249116279,tvs,131.43209624290466,0,0,0,0,0,0.0,1,1,0.02,43,0.023255813953488372,0.024157303370786518
77,Smart TV LED 55 Samsung Ultra HD 4K hdr c/conv.tv Digital 3 hdmi 1USB,7892509118149,https://www.americanas.com.br/produto/4284341949,tvs,131.43209624290466,0,0,0,1,1,0.1,1,1,0.02,8,0.125,0.0044943820224719105
98,"Smart TV LED PRO 43"" Full HD LG 43LM631C0SB, ThinQ AI, 3 HDMI, 2 USB, Wi-Fi, Conversor Digital",7893299912269,https://www.amazon.com.br/Smart-LG-3LM631C0SB-Conversor-Digital/dp/B07WJX6PHL,tvs,131.43209624290466,0,0,0,0,0,0.0,1,1,0.02,21,0.047619047619047616,0.011797752808988765
