indice,titulo,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
2,"Smart TV 65 uhd 4K Samsung 65AU7700, Processador Crystal 4K, Tela sem limites, Visual Livre de Cabos, Alexa built in, Controle Único",7892509117937,tvs,883.8416328430176,1,1,1,1,4,0.4,1,7,0.14,1,1.0,0.00012540757461750688
16,"Samsung Smart TV 50"" QLED 4K The Frame 2021 50LS03A Design Slim Suporte de Parede Slim Incluso Única Conexão Molduras Customizáveis Modo Arte",7892509117562,tvs,883.8416328430176,1,1,1,1,5,0.5,1,6,0.12,1,1.0,0.00012540757461750688
33,Smart TV LED 55” LG 55NANO80 4K NanoCell 4x Hdmi 2.0 Inteligência Artificial Thinqai Smart Magic Google Alexa,7893299915772,tvs,883.8416328430176,1,1,1,1,2,0.2,1,7,0.14,1,1.0,0.00012540757461750688
36,Tela Smart Toshiba 43 dled Full HD hdmi USB Bluetooth Wi-fi Bivolt,7908414421127,tvs,883.8416328430176,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
39,TV Android Led 50 fhd 1920x1080 Philco Bivolt PTV50D60SA,7899466429813,tvs,883.8416328430176,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.00012540757461750688
43,"Smart TV 4K Samsung qled 55 com Modo Game, Alexa built in e Wi-Fi - QN55Q70AAGXZD",7892509117425,tvs,883.8416328430176,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
45,Smart TV 43'' LG 43LM631C0SB.BWZ Full HD Wi-Fi + 2 USB 3 HDMI,7893299912269,tvs,883.8416328430176,1,1,1,1,4,0.4,1,5,0.1,1,1.0,0.00012540757461750688
58,Smart TV 32 Philco PTV50RCG70BL LED Quad-Core hdmi USB,7891356100536,tvs,883.8416328430176,1,1,1,1,6,0.6,1,8,0.16,1,1.0,0.00012540757461750688
62,"TV LED 39"" Philco HD com Conversor Digital 3 HDMI 1 USB Som Surround 60Hz - Preta",7899466429714,tvs,883.8416328430176,1,1,1,1,7,0.7,1,7,0.14,1,1.0,0.00012540757461750688
68,"Smart TV Panasonic 40"" LED Full HD Wi-Fi 2 USB 2 HDMI",7896067213421,tvs,883.8416328430176,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
70,Smart TV LED 40'' Full HD Philco PTV40G70N 3 HDMI 2 USB Wi-Fi,7891356095962,tvs,883.8416328430176,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.00012540757461750688
84,Smart TV Philips LED 50 4K Ultra HD Wi-Fi Android Comando de Voz 50PUG7406/78,7898620271381,tvs,883.8416328430176,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
85,Smart TV aoc 39 Polegadas HD Roku TV Série 5195,7898620271503,tvs,883.8416328430176,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
96,Smart TV Philips 55 4K uhd 55PUG7625 HDR10 + P5 WiFi Bluetooth Dolby Vision Dolby Atmos 3 hdmi 2 USB,7898620271220,tvs,883.8416328430176,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
105,"Smart TV LED 32 aoc 32S5195/78G com Wi-Fi, 1 usb, 3 hdmi, com Botão Netflix/Youtube e 60Hz",7898620270964,tvs,883.8416328430176,0,0,0,0,0,0.0,0,0,0.0,186,0.005376344086021506,0.023325808878856283
108,"Samsung Smart TV 65"" QLED 4K The Frame 2021 65LS03A Design Slim Suporte de Parede Slim Incluso Única Conexão",7892509117418,tvs,883.8416328430176,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.00012540757461750688
116,"PHILIPS Android TV 55"" 4K 55PUG7406/78, Google Assistant Built-in, Comando de Voz, Dolby Vision/Atmos, VRR/ALLM, Bluetooth 5.0",7898620271398,tvs,883.8416328430176,0,0,0,0,0,0.0,1,5,0.1,19,0.05263157894736842,0.002382743917732631
117,"Smart TV 65"" Samsung Qled 4k 65Q60A Modo Game Som Em Movimento Virtual Tela Sem Limites Design Slim",7892509116718,tvs,883.8416328430176,1,1,1,1,5,0.5,1,8,0.16,1,1.0,0.00012540757461750688
120,"Lg Smart Tv Pro Ai 32"" 32lm621cbsb.awz",7893299912252,tvs,883.8416328430176,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
