indice,titulo_sa,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
0,fogao a gas picasso vitreo 6 q preto fosco gas glp,7899552142503,https://www.americanas.com.br/produto/2109899890,fogoes,176.6145007610321,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0004789272030651341
1,smart tv led hd 32 panasonic media player 2 hdmi 2 usb tc32fs500b,7896067213285,https://www.amazon.com.br/Smart-Panasonic-Media-Player-TC-32FS500B/dp/B07WCQLNBW,tvs,176.6145007610321,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00023946360153256704
3,fogao 4 bocas essencial automatico mesa de vidro bivolt itatiaia inox,7892946411780,https://www.americanas.com.br/produto/4913120402,fogoes,176.6145007610321,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0009578544061302681
4,smartphone samsung galaxy a02 32gb 13mp 65 vermelho,7892509117708,https://www.amazon.com.br/Smartphone-Samsung-Galaxy-32GB-Vermelho/dp/B08ZVTCGMD/ref=sr_1_1275?qid=1651784112&s=wireless&sr=1-1275&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,celulares,176.6145007610321,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
6,fogao de piso electrolux 76dxv a gas 5 queimadores 2 fornos prata 110v 33052vba188,7909569000502,https://www.americanas.com.br/produto/2221616941,fogoes,176.6145007610321,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
8,fogao de piso com acendimento automatico star 5 bocas itatiaia,7892946404805,https://www.americanas.com.br/produto/3521104358,fogoes,176.6145007610321,0,0,0,0,0,0.0,1,1,0.02,42,0.023809523809523808,0.010057471264367816
9,smartphone multilaser e pro 32gb 4g tela 5 dual 1gb ram,7908414420236,https://www.americanas.com.br/produto/5081092743,celulares,176.6145007610321,0,0,0,1,3,0.3,1,4,0.08,2,0.5,0.0004789272030651341
10,frigobar 117l consul  crc12cbbna,7891129224070,https://www.americanas.com.br/produto/4883384924,geladeiras,176.6145007610321,0,0,0,1,2,0.2,1,2,0.04,3,0.3333333333333333,0.0007183908045977011
11,fogao de piso itatiaia waves 4 bocas acendimento automatico,7892946310397,https://www.americanas.com.br/produto/119725818,fogoes,176.6145007610321,0,0,0,0,0,0.0,1,2,0.04,12,0.08333333333333333,0.0028735632183908046
18,smart tv roku led 50 philco uhd 4k bivolt netflix,7891356090912,https://www.americanas.com.br/produto/4850707002,tvs,176.6145007610321,1,1,1,1,3,0.3,1,6,0.12,1,1.0,0.00023946360153256704
