indice,titulo_sa,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
14,smartphone motorola moto g200 256gb 5g wifi tela 68 dual chip 8gb ram camera tripla  selfie 16mp  verde,7892597351558,https://www.americanas.com.br/produto/4424395544,celulares,50.42199945449829,0,0,0,1,1,0.1,1,1,0.02,5,0.2,0.0024838549428713363
17,smartphone galaxy a03 64gb 4g wifi tela 65 dual chip 4gb ram camera dupla  selfie 5mp  vermelho,7892509121231,https://www.americanas.com.br/produto/4600478999,celulares,50.42199945449829,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0004967709885742673
35,smartphone samsung galaxy a22 128gb 4g 64 quad cam 48  8  2  2mp verde,7892509119672,https://www.americanas.com.br/produto/5023379869,celulares,50.42199945449829,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.001987083954297069
43,smartphone motorola moto e6 play 32gb dual chip android 9 tela 55 mt6739 4g camera 13mp  cinza metalico,7892597349111,https://www.americanas.com.br/produto/1230227796,celulares,50.42199945449829,0,0,0,0,0,0.0,1,1,0.02,13,0.07692307692307693,0.006458022851465474
54,smartphone lg k8 16gb dual chip tela 5 camera principal 8mp frontal 5mp android 70 preto,7893299912771,https://www.amazon.com.br/Smartphone-LG-Principal-Frontal-Android/dp/B07WK7ZG37/ref=sr_1_1503?qid=1651784125&s=wireless&sr=1-1503,celulares,50.42199945449829,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0004967709885742673
55,smartphone motorola moto g9 power 128gb 4g wifi tela 68 dual chip 4gb ram camera tripla  selfie 16mp  purple  exposicao,7892597350254,https://www.americanas.com.br/produto/5176072471,celulares,50.42199945449829,0,0,0,0,0,0.0,1,1,0.02,30,0.03333333333333333,0.014903129657228018
58,smartphone celular 32gb multilaser e lite 2 preto  p9146,7908414420199,https://www.americanas.com.br/produto/4700417659,celulares,50.42199945449829,1,1,1,1,1,0.1,1,2,0.04,1,1.0,0.0004967709885742673
62,smartphone multilaser e pro 4g 32gb wifi 50 pol dual chip 1gb ram camera 5mp  5mp android 11 go edition quad core  dourado  p9151,7908414420243,https://www.amazon.com.br/Smartphone-Multilaser-Wi-Fi-C%C3%A2mera-Android/dp/B09WF3VSBD/ref=sr_1_1643?qid=1651784133&s=wireless&sr=1-1643&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,celulares,50.42199945449829,1,1,1,1,2,0.2,1,4,0.08,1,1.0,0.0004967709885742673
67,smartphone twist s514 64gb 1gb ram dual chip tela 55 positivo,7896904686272,https://www.americanas.com.br/produto/4208285367,celulares,50.42199945449829,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0004967709885742673
73,smartphone positivo twist 3 32gb 55 hd ips 8mp android oreo go  preto acompanha pelicula e capa de protecao,7896904651782,https://www.amazon.com.br/Positivo-TWIST-3-S513-Preto/dp/B084B3QXWX/ref=sr_1_1708?qid=1651784137&s=wireless&sr=1-1708&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,celulares,50.42199945449829,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0004967709885742673
90,smartphone e 3g 32gb dual multilaser,7899838889221,https://www.americanas.com.br/produto/4748579067,celulares,50.42199945449829,1,1,1,1,2,0.2,1,3,0.06,1,1.0,0.0004967709885742673
143,smartphone motorola moto e20 32gb 4g wifi tela 65 dual chip 2gb ram camera dupla  selfie 5mp  cinza,7892597351404,https://www.americanas.com.br/produto/4120059517,celulares,50.42199945449829,0,0,0,0,0,0.0,1,1,0.02,11,0.09090909090909091,0.00546448087431694
149,smartphone tectoy on 128gb azul 4gb ram tela 622  cam tripla  selfie 8mp  fone bluetooth,7891196800016,https://www.americanas.com.br/produto/4250071338,celulares,50.42199945449829,0,0,0,0,0,0.0,0,0,0.0,54,0.018518518518518517,0.026825633383010434
156,smartphone samsung galaxy s22 ultra 256gb 5g com caneta s pen  branco camera tripla 108mp  selfie 40mp ram 8gb tela 68,7892509122177,https://www.americanas.com.br/produto/4987589713,celulares,50.42199945449829,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0009935419771485345
160,smartphone samsung galaxy a32 128gb 4g wifi tela 64 dual chip 4gb ram camera quadrupla  selfie 20mp  violeta,7892509118439,https://www.americanas.com.br/produto/2969968331,celulares,50.42199945449829,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0004967709885742673
176,smartphone samsung galaxy a23 4g 128gb 66 quad cam 48  5  2  2mp preto,7892509123273,https://www.americanas.com.br/produto/5023345280,celulares,50.42199945449829,0,0,0,1,1,0.1,1,1,0.02,7,0.14285714285714285,0.003477396920019871
177,smartphone multilaser 32gb e pro preto 1 ram  p9150,7908414420236,https://www.americanas.com.br/produto/5016118943,celulares,50.42199945449829,1,1,1,1,3,0.3,1,4,0.08,1,1.0,0.0004967709885742673
192,smartphone samsung galaxy a23 4g 128gb 66 quad cam 48  5  2  2mp azul,7892509123266,https://www.americanas.com.br/produto/5023390451,celulares,50.42199945449829,0,0,0,1,1,0.1,1,1,0.02,6,0.16666666666666666,0.0029806259314456036
193,smartphone zenfone asus max shot m2 zb634kl4j009br 64gb dual chip android oreo tela 62 qualcomm qsp sip1 4g camera tripla 12mp5mp8mp   prata,7898573296332,https://www.americanas.com.br/produto/134218638,celulares,50.42199945449829,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0004967709885742673
