indice,titulo_sa,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
6,smartphone motorola moto g20 128gb 4g wifi tela 65 dual chip 4gb ram camera quadrupla  selfie 13mp  azul,7892597351497,https://www.americanas.com.br/produto/3805072618,celulares,43.157254457473755,0,0,0,0,0,0.0,1,1,0.02,22,0.045454545454545456,0.012359550561797753
10,smartphone moto g20 64gb 4g wifi tela 65 dual chip 4gb ram camera quadrupla  selfie 13mp  azul,7892597351114,https://www.americanas.com.br/produto/3171318769,celulares,43.157254457473755,0,0,0,0,0,0.0,1,1,0.02,43,0.023255813953488372,0.024157303370786518
34,smartphone samsung galaxy a23 4g 128gb 66 quad cam 48  5  2  2mp azul,7892509123266,https://www.americanas.com.br/produto/5023390451,celulares,43.157254457473755,0,0,0,1,1,0.1,1,1,0.02,7,0.14285714285714285,0.003932584269662922
36,smartphone samsung galaxy s22  5g 128gb 8gb ram tela infinita de 66,7892509122306,https://www.americanas.com.br/produto/4746463474,celulares,43.157254457473755,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
54,smartphone xiaomi redmi 9 64gb 4gb ram 4 cameras roxo,7898567778868,https://www.amazon.com.br/Smartphone-Xiaomi-Redmi-64GB-C%C3%A2meras/dp/B08G1VS56Z/ref=sr_1_977?qid=1651784093&s=wireless&sr=1-977,celulares,43.157254457473755,0,0,0,1,1,0.1,1,1,0.02,5,0.2,0.0028089887640449437
63,smartphone samsung galaxy a10s 62 32 gb camera dupla azul,7892509111874,https://www.amazon.com.br/Smartphone-Samsung-Galaxy-C%C3%A2mera-Dupla/dp/B083KPFNHK/ref=sr_1_1231?qid=1651784110&s=wireless&sr=1-1231&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,celulares,43.157254457473755,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
71,smartphone multilaser f 3g 32gb 1gb tela 55  suporte ring,7899838889276,https://www.americanas.com.br/produto/4121314217,celulares,43.157254457473755,0,0,0,0,0,0.0,1,1,0.02,21,0.047619047619047616,0.011797752808988765
73,smartphone multilaser e lite 32gb,7899838889214,https://www.americanas.com.br/produto/2521630147,celulares,43.157254457473755,0,0,0,1,2,0.2,1,3,0.06,3,0.3333333333333333,0.0016853932584269663
80,smartphone samsung galaxy a52 128gb preto,7892509116930,https://www.americanas.com.br/produto/5144518968,celulares,43.157254457473755,0,0,0,1,2,0.2,1,2,0.04,2,0.5,0.0011235955056179776
102,smartphone motorola moto g31 128gb 4g wifi tela 64 dual chip 4gb ram camera tripla  selfie 13mp  grafite,7892597351640,https://www.americanas.com.br/produto/4447197866,celulares,43.157254457473755,0,0,0,0,0,0.0,1,1,0.02,16,0.0625,0.008988764044943821
116,smartphone multilaser e pro 32gb 4g wifi dourado tela 50 dual chip 1gb ram camera 5mp  selfie 5mp android 11 go  p9151,7908414420243,https://www.americanas.com.br/produto/4888023159,celulares,43.157254457473755,0,0,0,0,0,0.0,1,2,0.04,16,0.0625,0.008988764044943821
122,smartphone red mobile volt l s51 16gb 1gb ram pretoazul,609963649624,https://www.americanas.com.br/produto/4676835374,celulares,43.157254457473755,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
128,smartphone samsung galaxy a12 128gb preto 4g wifi tela 65 dual chip 6gb ram camera quadrupla  selfie 8mp,8806092186422,https://www.americanas.com.br/produto/4652438905,celulares,43.157254457473755,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
175,smartphone samsung galaxy a23 128gb 4gb ram dual chip tela de 66,7892509123273,https://www.americanas.com.br/produto/4878119333,celulares,43.157254457473755,0,0,0,0,0,0.0,1,2,0.04,17,0.058823529411764705,0.009550561797752809
192,celular lg  lmk520bmw  k62 64 gb vermelho,7893299915277,https://www.amazon.com.br/Celular-LG-LMK520BMW-K62-Vermelho/dp/B08WKJM4C2/ref=sr_1_1270?qid=1651784111&s=wireless&sr=1-1270&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,celulares,43.157254457473755,0,0,0,1,1,0.1,1,1,0.02,6,0.16666666666666666,0.0033707865168539327
203,smartphone samsung galaxy a02 32gb 4g wifi tela 65 dual chip 2gb ram camera dupla  selfie 5mp  preto,7892509118279,https://www.americanas.com.br/produto/2891924281,celulares,43.157254457473755,0,0,0,0,0,0.0,0,0,0.0,71,0.014084507042253521,0.039887640449438204
208,smartphone tcl 20se 682 octa core 128gb 4gb camera quadrupla quadriband,7898552004903,https://www.americanas.com.br/produto/5019958243,celulares,43.157254457473755,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
226,smartphone multilaser e pro 32gb 4g wifi tela 50 dual chip 1gb ram camera 5mp  selfie 5mp android 11 go  p9150,7908414420236,https://www.amazon.com.br/Smartphone-Multilaser-C%C3%A2mera-Selfie-Android/dp/B09V5NXDQV/ref=sr_1_1660?qid=1651784135&s=wireless&sr=1-1660&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,celulares,43.157254457473755,0,0,0,1,1,0.1,1,3,0.06,3,0.3333333333333333,0.0016853932584269663
229,smartphone multilaser g 2 4g dual chip 32gb 2gb ram tela 51 camera 8mp  selfie 5mp android 11 go dourado  p9155,7908414420281,https://www.amazon.com.br/Smartphone-Multilaser-C%C3%A2mera-Android-Dourado/dp/B09V89CFLH/ref=sr_1_1442?qid=1651784122&s=wireless&sr=1-1442&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,celulares,43.157254457473755,0,0,0,1,1,0.1,1,3,0.06,3,0.3333333333333333,0.0016853932584269663
254,smartphone twist 4pro s518 4g 64gb tela 55 polegadas android 10 octa core cam 8mp  8mp positivo,7896904691788,https://www.americanas.com.br/produto/4945744033,celulares,43.157254457473755,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
262,smartphone multilaser g max 2 dourado 2gb ram 64gb,7908414420304,https://www.americanas.com.br/produto/5131247100,celulares,43.157254457473755,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0005617977528089888
269,smartphone moto g71 128gb 5g wifi tela 64 dual chip 6gb ram camera tripla  selfie 16mp  verde,7892597351619,https://www.americanas.com.br/produto/4679622542,celulares,43.157254457473755,0,0,0,0,0,0.0,0,0,0.0,56,0.017857142857142856,0.03146067415730337
273,smartphone multilaser f pro 4g 16gb android 9 dourado p9119,7899838873862,https://www.americanas.com.br/produto/4678657760,celulares,43.157254457473755,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
