indice,titulo_sa,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
1,fogao a gas palladio vitreo 4 q preto fosco gas glp,7899552140974,https://www.americanas.com.br/produto/3193703756,fogoes,50.42199945449829,0,0,0,0,0,0.0,1,1,0.02,17,0.058823529411764705,0.008445106805762544
2,fogao atlas 4 bocas branco,7897180505127,https://www.americanas.com.br/produto/5174814864,fogoes,50.42199945449829,0,0,0,1,1,0.1,1,5,0.1,10,0.1,0.004967709885742673
4,fogao mueller 5 bocas piacere automatico 601230004  inox,7908156901680,https://www.americanas.com.br/produto/3639949444,fogoes,50.42199945449829,1,1,1,1,2,0.2,1,3,0.06,1,1.0,0.0004967709885742673
10,fogao atlas 5 bocas monaco top glass com mesa de vidro temperado bivolt branco,7897180505158,https://www.americanas.com.br/produto/5138180358,fogoes,50.42199945449829,1,1,1,1,1,0.1,1,3,0.06,1,1.0,0.0004967709885742673
11,fogao a gas 4 bocas moderatto 601186001 branco  mueller,7898361094980,https://www.amazon.com.br/Fog%C3%A3o-Bocas-Moderatto-601186001-Branco/dp/B076B9BJXW,fogoes,50.42199945449829,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0004967709885742673
20,fogao de piso 4 bocas mesa inox vidro duplo 60l dako supreme branco bivolt,7897180504236,https://www.americanas.com.br/produto/4678448941,fogoes,50.42199945449829,0,0,0,1,2,0.2,1,2,0.04,2,0.5,0.0009935419771485345
24,fogao 5 bocas fratello vetro com mesa de vidro mueller,7908156900416,https://www.americanas.com.br/produto/4378707948,fogoes,50.42199945449829,0,0,0,1,4,0.4,1,6,0.12,2,0.5,0.0009935419771485345
29,fogao de piso continental 4 bocas fc4cb branco automatico com mesa compartimentada  bivolt,7909569002193,https://www.americanas.com.br/produto/1778939799,fogoes,50.42199945449829,0,0,0,0,0,0.0,0,0,0.0,257,0.0038910505836575876,0.12767014406358668
32,fogao itatiaia vitrum digital 5b preto bivolt,7892946336632,https://www.americanas.com.br/produto/5199635117,fogoes,50.42199945449829,1,1,1,1,2,0.2,1,7,0.14,1,1.0,0.0004967709885742673
33,fogao a gas gemini 2 q vetro amarelo gas glp,7898456266261,https://www.americanas.com.br/produto/3193707626,fogoes,50.42199945449829,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0004967709885742673
