indice,titulo_sa,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
1,fogao a gas maxi vitreo 4 q branco gas glp,7899552140899,https://www.americanas.com.br/produto/43421496,fogoes,43.157254457473755,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
3,fogao de piso com acendimento automatico star 5 bocas itatiaia,7892946404805,https://www.americanas.com.br/produto/3521104358,fogoes,43.157254457473755,0,0,0,0,0,0.0,0,0,0.0,94,0.010638297872340425,0.052808988764044947
8,fogao de piso 5 bocas electrolux 76lbu branco bivolt,7909569000267,https://www.americanas.com.br/produto/5015857007,fogoes,43.157254457473755,0,0,0,0,0,0.0,1,1,0.02,22,0.045454545454545456,0.012359550561797753
13,fogao itatiaia waves 4 bocas all black bivolt 3700000042,7892946327388,https://www.americanas.com.br/produto/4825196685,fogoes,43.157254457473755,0,0,0,1,1,0.1,1,2,0.04,3,0.3333333333333333,0.0016853932584269663
14,fogao a gas palladio vitreo 4 q branco gas glp,7899552141018,https://www.americanas.com.br/produto/4018709667,fogoes,43.157254457473755,0,0,0,0,0,0.0,1,1,0.02,17,0.058823529411764705,0.009550561797752809
15,fogao de piso fischer 4q gran cheff gas,7896513318199,https://www.americanas.com.br/produto/4709515597,fogoes,43.157254457473755,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0016853932584269663
17,fogao 4 bocas mueller fratello grafite acendimento automatico bivolt,7908156900911,https://www.americanas.com.br/produto/4606558033,fogoes,43.157254457473755,0,0,0,0,0,0.0,1,1,0.02,39,0.02564102564102564,0.021910112359550562
19,fogao a gas maxi vitreo 5 q preto fosco gas glp,7899552141759,https://www.americanas.com.br/produto/3193710243,fogoes,43.157254457473755,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0022471910112359553
23,fogao mueller fratello vetro 4bcs 601230011,7908156900386,https://www.americanas.com.br/produto/3943379175,fogoes,43.157254457473755,0,0,0,1,2,0.2,1,4,0.08,2,0.5,0.0011235955056179776
25,fogao mueller 5 bocas fratello vetro branco bivolt,7908156900416,https://www.amazon.com.br/Fog%C3%A3o-Mueller-Fratello-Branco-Bivolt/dp/B07Y5WQLDT,fogoes,43.157254457473755,1,1,1,1,2,0.2,1,4,0.08,1,1.0,0.0005617977528089888
26,fogao de piso 6 bocas a gas glp venax delplus vitreo bivolt preto,7899552142381,https://www.americanas.com.br/produto/43409369,fogoes,43.157254457473755,0,0,0,0,0,0.0,1,1,0.02,11,0.09090909090909091,0.006179775280898876
27,fogao cooktop fischer 2q eletrico mesa vitroceramica preto 220v,7896513310483,https://www.amazon.com.br/Cooktop-Domino-2Q-Vitroceramico-Fischer/dp/B076JLKDC2,fogoes,43.157254457473755,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
28,fogao realce iris glass 5b,7899639786057,https://www.americanas.com.br/produto/5163819387,fogoes,43.157254457473755,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0011235955056179776
29,fogao dako supreme glass 5 bocas branco  bivolt,7897180504311,https://www.americanas.com.br/produto/1687536222,fogoes,43.157254457473755,0,0,0,1,2,0.2,1,2,0.04,2,0.5,0.0011235955056179776
32,fogao 4 bocas itatiaia dream preto bivolt,7892946311189,https://www.americanas.com.br/produto/119725957,fogoes,43.157254457473755,0,0,0,0,0,0.0,1,1,0.02,20,0.05,0.011235955056179775
33,fogao atlas monaco top glass 5 bocas preto  bivolt,7897180505165,https://www.americanas.com.br/produto/2962317439,fogoes,43.157254457473755,0,0,0,1,1,0.1,1,2,0.04,10,0.1,0.0056179775280898875
37,fogao atlas 5bocas new fastcook,7897180507619,https://www.americanas.com.br/produto/4860910573,fogoes,43.157254457473755,0,0,0,1,1,0.1,1,1,0.02,9,0.1111111111111111,0.0050561797752808986
38,fogao 4 bocas turbo glass mesa de vidro preto dako bivolt,7897180503024,https://www.americanas.com.br/produto/1473970162,fogoes,43.157254457473755,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
39,fogao 4 bocas mueller piacere vetro branco com mesa de vidro bivolt,7908156901772,https://www.americanas.com.br/produto/4606560176,fogoes,43.157254457473755,0,0,0,0,0,0.0,1,3,0.06,22,0.045454545454545456,0.012359550561797753
40,fogao de piso esmaltec 5 bocas topazio branco bivolt,7899081729497,https://www.americanas.com.br/produto/122619821,fogoes,43.157254457473755,0,0,0,1,1,0.1,1,1,0.02,6,0.16666666666666666,0.0033707865168539327
44,fogao ares 4 bocas branco,7899639700091,https://www.americanas.com.br/produto/4031593654,fogoes,43.157254457473755,0,0,0,0,0,0.0,1,1,0.02,17,0.058823529411764705,0.009550561797752809
47,fogao 5 bocas mueller piacere vetro branco com mesa de vidro e queimador central tripla chama bivolt,7908156901789,https://www.americanas.com.br/produto/4606579221,fogoes,43.157254457473755,0,0,0,1,1,0.1,1,2,0.04,8,0.125,0.0044943820224719105
56,fogao atlas 5 bocas agile up glass mesa vidro forno preto,7897180506322,https://www.americanas.com.br/produto/4932350799,fogoes,43.157254457473755,0,0,0,1,6,0.6,1,6,0.12,2,0.5,0.0011235955056179776
72,fogao vitrum 5 bocas  branco,7892946336120,https://www.americanas.com.br/produto/4730487130,fogoes,43.157254457473755,0,0,0,1,1,0.1,1,3,0.06,10,0.1,0.0056179775280898875
75,fogao de piso atlas 5 bocas monaco plus branco bvolt,7897180505349,https://www.americanas.com.br/produto/4880066429,fogoes,43.157254457473755,0,0,0,1,1,0.1,1,1,0.02,5,0.2,0.0028089887640449437
76,fogao 5 bocas preto com frente em vidro preto e tripla chama dako diplomata bivolt,7897180508319,https://www.americanas.com.br/produto/5176273029,fogoes,43.157254457473755,1,1,1,1,2,0.2,1,4,0.08,1,1.0,0.0005617977528089888
83,fogao 5b mueller fratello vetro mesa vidro  601230012,7908156900393,https://www.americanas.com.br/produto/4409281469,fogoes,43.157254457473755,0,0,0,1,1,0.1,1,1,0.02,8,0.125,0.0044943820224719105
84,fogao 5 bocas fratello vetro mueller preto fosco,7908156900379,https://www.americanas.com.br/produto/234721601,fogoes,43.157254457473755,0,0,0,0,0,0.0,1,4,0.08,13,0.07692307692307693,0.007303370786516854
85,fogao monaco plus 4bocas bivolt titanium cinza  atlas,7897180505318,https://www.americanas.com.br/produto/3117602689,fogoes,43.157254457473755,0,0,0,1,2,0.2,1,5,0.1,2,0.5,0.0011235955056179776
88,fogao cook top ultra chama 5 bocas  chamalux,7897575153100,https://www.americanas.com.br/produto/4409456767,fogoes,43.157254457473755,0,0,0,1,1,0.1,1,1,0.02,9,0.1111111111111111,0.0050561797752808986
89,fogao a gas glp venax gaudi 5 bocas grafite,7899552146440,https://www.americanas.com.br/produto/2736910031,fogoes,43.157254457473755,0,0,0,1,2,0.2,1,2,0.04,3,0.3333333333333333,0.0016853932584269663
90,fogao agata glass 5 bocas preto acendimento automatico  esmaltec,7899081743325,https://www.americanas.com.br/produto/104237838,fogoes,43.157254457473755,0,0,0,1,1,0.1,1,2,0.04,8,0.125,0.0044943820224719105
94,fogao atlas new utop mesa inox 4 bocas brancopreto bivolt 300001217,7897180507978,https://www.americanas.com.br/produto/4914217302,fogoes,43.157254457473755,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0005617977528089888
96,fogao a gas progas 2 queimadores baixa pressao pes pms200,7898466541891,https://www.americanas.com.br/produto/5047780260,fogoes,43.157254457473755,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
99,fogao 4b mueller moderatto sacend  601230018,7908156900805,https://www.americanas.com.br/produto/3824953613,fogoes,43.157254457473755,0,0,0,1,2,0.2,1,4,0.08,5,0.2,0.0028089887640449437
103,fogao cooktop fischer 4q tc gas mesa vidro preto bivolt,7896513311121,https://www.amazon.com.br/Cooktop-Tripla-Frequ%C3%AAncia-50-60Hz-Fischer/dp/B076BD2VRF,fogoes,43.157254457473755,0,0,0,0,0,0.0,0,0,0.0,381,0.0026246719160104987,0.2140449438202247
105,fogao de piso mesa de vidro front control 5 queimadores suggar,7908312800338,https://www.americanas.com.br/produto/1481628703,fogoes,43.157254457473755,1,1,1,1,1,0.1,1,3,0.06,1,1.0,0.0005617977528089888
