indice,titulo_sa,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
10,frigobar 117l consul  crc12cbbna,7891129224070,https://www.americanas.com.br/produto/4883384924,geladeiras,176.6145007610321,0,0,0,1,2,0.2,1,2,0.04,3,0.3333333333333333,0.0007183908045977011
23,refrigerador frost free duplex 340litros crm39akana consul,7891129514232,https://www.americanas.com.br/produto/4837906955,geladeiras,176.6145007610321,0,0,0,0,0,0.0,1,2,0.04,25,0.04,0.0059865900383141765
86,geladeira brastemp frost free 2 portas brm56 462l inox  110v,7891129251571,https://www.americanas.com.br/produto/132718911,geladeiras,176.6145007610321,0,0,0,1,1,0.1,1,1,0.02,6,0.16666666666666666,0.0014367816091954023
93,geladeira consul frost free duplex 397 litros com freezer embaixo cor inox  cre44ak 110v,7891129499751,https://www.amazon.com.br/gp/offer-listing/B07WGQQRXN,geladeiras,176.6145007610321,0,0,0,0,0,0.0,1,1,0.02,13,0.07692307692307693,0.0031130268199233715
98,geladeira consul frost free duplex crm50 410l espaco flex inox com controle interno de temperatura  110v,7891129506022,https://www.americanas.com.br/produto/3144925483,geladeiras,176.6145007610321,0,0,0,0,0,0.0,1,2,0.04,22,0.045454545454545456,0.005268199233716475
104,refrigerador philco side by side prf533i 220v,7891356086892,https://www.americanas.com.br/produto/3419495292,geladeiras,176.6145007610321,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00023946360153256704
126,geladeira consul cycle defrost duplex 334 litros crd37eb,7891129195455,https://www.americanas.com.br/produto/3072040175,geladeiras,176.6145007610321,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
135,geladeira consul frost free duplex 386 litros branca com prateleira dobravel,7891129246737,https://www.americanas.com.br/produto/5148393445,geladeiras,176.6145007610321,0,0,0,0,0,0.0,0,0,0.0,103,0.009708737864077669,0.024664750957854406
157,geladeira frost free db84 electrolux 598 litros duplex branco 110v,7896584073553,https://www.americanas.com.br/produto/5141300429,geladeiras,176.6145007610321,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0004789272030651341
188,geladeira duplex invertida 397 litros cre44 frost free consul,7891129499768,https://www.americanas.com.br/produto/5010355702,geladeiras,176.6145007610321,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0007183908045977011
201,refrigerador brastemp frost free duplex 375 litros com espaco adapt branco brm45hb  127 volts,7891129252745,https://www.americanas.com.br/produto/2765640368,geladeiras,176.6145007610321,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00023946360153256704
214,refrigerador  geladeira continental frost free 2 portas 370 litros  tc41,7909569003091,https://www.americanas.com.br/produto/3735416648,geladeiras,176.6145007610321,1,1,1,1,3,0.3,1,4,0.08,1,1.0,0.00023946360153256704
245,frigobar consul 117l crc12  110v,7891129224063,https://www.americanas.com.br/produto/119934610,geladeiras,176.6145007610321,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00023946360153256704
271,geladeira panasonic generation frost free 435l aco escovado,7896067226964,https://www.americanas.com.br/produto/3326995394,geladeiras,176.6145007610321,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0004789272030651341
285,refrigerador panasonic nrbb53gv3wab 425l white glass,7896067227145,https://www.americanas.com.br/produto/2449594152,geladeiras,176.6145007610321,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0004789272030651341
286,refrigerador side inverse brastemp de 03 portas frost free com 540 litros painel eletronico inox  bro81ar,7891129491717,https://www.americanas.com.br/produto/1546721889,geladeiras,176.6145007610321,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
323,refrigerador side by side lg new lancaster instaview 601 litros 220v  gcx247csbv,8806098346189,https://www.americanas.com.br/produto/227203881,geladeiras,176.6145007610321,0,0,0,0,0,0.0,1,1,0.02,13,0.07692307692307693,0.0031130268199233715
357,geladeira brastemp frost free 375 litros cor inox  brm45hk 220v,7891129252776,https://www.amazon.com.br/Geladeira-Brastemp-Duplex-litros-Espa%C3%A7o/dp/B07JBHRNLK,geladeiras,176.6145007610321,0,0,0,0,0,0.0,1,1,0.02,37,0.02702702702702703,0.008860153256704981
369,refrigerador  geladeira lg bottom freezer universe refresh 451l,8806098423927,https://www.americanas.com.br/produto/5017788826,geladeiras,176.6145007610321,1,1,1,1,3,0.3,1,4,0.08,1,1.0,0.00023946360153256704
372,refrigerador consul frost free 342 litros com controle de temperatura crb39 branco 220v,7891129185418,https://www.americanas.com.br/produto/5200633161,geladeiras,176.6145007610321,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00023946360153256704
379,geladeira top freezer dw44s com dispenser de agua platinum 400l,7896584097993,https://www.americanas.com.br/produto/83562531,geladeiras,176.6145007610321,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
410,geladeira brastemp frost free side inverse 540 litros cor inox com ice maker  bro80ak 220v,7891129220010,https://www.amazon.com.br/Geladeira-Frost-Inverse-Portas-Platinum/dp/B076B9DHN4,geladeiras,176.6145007610321,0,0,0,1,1,0.1,1,2,0.04,8,0.125,0.0019157088122605363
429,refrigerador ngv 10 vermelho 1224 v,7899552144378,https://www.americanas.com.br/produto/3653184222,geladeiras,176.6145007610321,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
435,refrigerador philco 467 litros prf505ti frost free inverter 2 portas inox 110v,7891356090592,https://www.americanas.com.br/produto/5189296385,geladeiras,176.6145007610321,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
442,refrigerador smart lg side by side door in door 601l inox 220v gs65sdn1,6934585684468,https://www.americanas.com.br/produto/4914217521,geladeiras,176.6145007610321,0,0,0,1,4,0.4,1,4,0.08,5,0.2,0.0011973180076628352
499,geladeirarefrigerador samsung french door rf27t5501sg black inox 614l family hub smartthings wifi  127v,8806090402944,https://www.americanas.com.br/produto/2492546025,geladeiras,176.6145007610321,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0004789272030651341
501,geladeira consul cycle defrost duplex crd37eb 334 litros com freezer supercapacidade branca  110v,7891129195448,https://www.americanas.com.br/produto/110267814,geladeiras,176.6145007610321,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0009578544061302681
531,refrigerador continental tc56 frost free duplex 472 litros,7909569003022,https://www.americanas.com.br/produto/2298984451,geladeiras,176.6145007610321,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00023946360153256704
557,refrigerador esmaltec rcd34 black 276l 2 portas,7899081732084,https://www.americanas.com.br/produto/247379251,geladeiras,176.6145007610321,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0007183908045977011
582,geladeirarefrigerador frost free electrolux 322l branco rfe39 127v,7896584060478,https://www.amazon.com.br/gp/offer-listing/B076BB82XH,geladeiras,176.6145007610321,0,0,0,0,0,0.0,1,1,0.02,42,0.023809523809523808,0.010057471264367816
607,geladeira  refrigerador panasonic duplex nrbt55pv2wb top freezer frost free 483l branco,7896067226933,https://www.americanas.com.br/produto/2174972951,geladeiras,176.6145007610321,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
608,refrigerador multi door cinza cuisinart arkton,7899100675002,https://www.americanas.com.br/produto/3293231240,geladeiras,176.6145007610321,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
618,frigobar philco 85l porta de vidro pfg85pg 127v,7891356078057,https://www.americanas.com.br/produto/4707065342,geladeiras,176.6145007610321,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
622,refrigerador philco side by side 437l eco inverter 127v,7891356086885,https://www.americanas.com.br/produto/3374195068,geladeiras,176.6145007610321,0,0,0,1,2,0.2,1,3,0.06,4,0.25,0.0009578544061302681
662,refrigerador ngv 10 amarelo,7899552101388,https://www.americanas.com.br/produto/3116181931,geladeiras,176.6145007610321,0,0,0,1,1,0.1,1,2,0.04,4,0.25,0.0009578544061302681
666,refrigerador ngv 10 amarelo 1224 v,7899552144361,https://www.americanas.com.br/produto/3652278577,geladeiras,176.6145007610321,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
701,refrigerador 400 litros brastemp 2 portas frost free brm54hb,7891129252837,https://www.americanas.com.br/produto/2963093650,geladeiras,176.6145007610321,0,0,0,0,0,0.0,1,1,0.02,15,0.06666666666666667,0.0035919540229885057
