indice,titulo_sa,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
2,frigobar midea 71 litros branco mrc08b2  220v,7908198000167,https://www.americanas.com.br/produto/4021546993,geladeiras,43.157254457473755,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0011235955056179776
7,refrigerador philco side by side prf533i 220v,7891356086892,https://www.americanas.com.br/produto/3419495292,geladeiras,43.157254457473755,0,0,0,1,1,0.1,1,1,0.02,8,0.125,0.0044943820224719105
11,frigobar consul 117l crc12  110v,7891129224063,https://www.americanas.com.br/produto/119934610,geladeiras,43.157254457473755,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0005617977528089888
18,geladeira brastemp frost free 443 litros  bre57 inox 110v,7891129252059,https://www.americanas.com.br/produto/132717231,geladeiras,43.157254457473755,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0011235955056179776
20,geladeirarefrigerador brastemp frost free 375 litros brm45  branca  110v,7891129252745,https://www.americanas.com.br/produto/133605812,geladeiras,43.157254457473755,0,0,0,1,2,0.2,1,4,0.08,2,0.5,0.0011235955056179776
22,refrigerador continental tc56 frost free duplex 472 litros,7909569003022,https://www.americanas.com.br/produto/2298984451,geladeiras,43.157254457473755,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0005617977528089888
42,refrigerador panasonic 480 litros bb71 bottom freezer aco escovado 127v,7896067227480,https://www.americanas.com.br/produto/4190642724,geladeiras,43.157254457473755,0,0,0,0,0,0.0,1,1,0.02,15,0.06666666666666667,0.008426966292134831
48,refrigerador smart lg side by side door in door 601l inox 220v gs65sdn1,6934585684468,https://www.americanas.com.br/produto/4914217521,geladeiras,43.157254457473755,0,0,0,1,4,0.4,1,4,0.08,4,0.25,0.0022471910112359553
82,geladeirarefrigerador philco side by side prf520di frost free 2 portas 520 litros inox,7891356080067,https://www.americanas.com.br/produto/1620824490,geladeiras,43.157254457473755,0,0,0,1,1,0.1,1,1,0.02,7,0.14285714285714285,0.003932584269662922
93,geladeira lg automatica 525l 3 portas french door inverter,8806098602629,https://www.americanas.com.br/produto/1554996735,geladeiras,43.157254457473755,0,0,0,1,1,0.1,1,2,0.04,3,0.3333333333333333,0.0016853932584269663
101,geladeirarefrigerador electrolux frost free dfx41 inox 371l  110v,7896584071962,https://www.americanas.com.br/produto/1808805645,geladeiras,43.157254457473755,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0011235955056179776
109,geladeira brastemp frost free 2 portas brm56 462l inox  110v,7891129251571,https://www.americanas.com.br/produto/132718911,geladeiras,43.157254457473755,0,0,0,1,2,0.2,1,2,0.04,4,0.25,0.0022471910112359553
127,frigobar midea 124 litros branco mrc12b,7898626573854,https://www.americanas.com.br/produto/30312278,geladeiras,43.157254457473755,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0005617977528089888
132,refrigerador brastemp ative inverse maxi bre80 573 litros iluminacao led branco 110,7891129206205,https://www.americanas.com.br/produto/111574111,geladeiras,43.157254457473755,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0011235955056179776
