indice,titulo_sa,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
0,notebook gaming 3i core i5 8gb 256gbssd gtx1650 156 linux 82cgs00100,195892009962,https://www.americanas.com.br/produto/4600778051,notebooks,43.157254457473755,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0005617977528089888
1,fogao a gas maxi vitreo 4 q branco gas glp,7899552140899,https://www.americanas.com.br/produto/43421496,fogoes,43.157254457473755,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
2,frigobar midea 71 litros branco mrc08b2  220v,7908198000167,https://www.americanas.com.br/produto/4021546993,geladeiras,43.157254457473755,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0011235955056179776
3,fogao de piso com acendimento automatico star 5 bocas itatiaia,7892946404805,https://www.americanas.com.br/produto/3521104358,fogoes,43.157254457473755,0,0,0,0,0,0.0,0,0,0.0,94,0.010638297872340425,0.052808988764044947
5,smart tv led 43 semp 43s5300 full hd android bluetooth controle remoto com comando de voz google assistant,7899968300887,https://www.americanas.com.br/produto/134544943,tvs,43.157254457473755,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
6,smartphone motorola moto g20 128gb 4g wifi tela 65 dual chip 4gb ram camera quadrupla  selfie 13mp  azul,7892597351497,https://www.americanas.com.br/produto/3805072618,celulares,43.157254457473755,0,0,0,0,0,0.0,1,1,0.02,22,0.045454545454545456,0.012359550561797753
7,refrigerador philco side by side prf533i 220v,7891356086892,https://www.americanas.com.br/produto/3419495292,geladeiras,43.157254457473755,0,0,0,1,1,0.1,1,1,0.02,8,0.125,0.0044943820224719105
8,fogao de piso 5 bocas electrolux 76lbu branco bivolt,7909569000267,https://www.americanas.com.br/produto/5015857007,fogoes,43.157254457473755,0,0,0,0,0,0.0,1,1,0.02,22,0.045454545454545456,0.012359550561797753
10,smartphone moto g20 64gb 4g wifi tela 65 dual chip 4gb ram camera quadrupla  selfie 13mp  azul,7892597351114,https://www.americanas.com.br/produto/3171318769,celulares,43.157254457473755,0,0,0,0,0,0.0,1,1,0.02,43,0.023255813953488372,0.024157303370786518
11,frigobar consul 117l crc12  110v,7891129224063,https://www.americanas.com.br/produto/119934610,geladeiras,43.157254457473755,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0005617977528089888
13,fogao itatiaia waves 4 bocas all black bivolt 3700000042,7892946327388,https://www.americanas.com.br/produto/4825196685,fogoes,43.157254457473755,0,0,0,1,1,0.1,1,2,0.04,3,0.3333333333333333,0.0016853932584269663
14,fogao a gas palladio vitreo 4 q branco gas glp,7899552141018,https://www.americanas.com.br/produto/4018709667,fogoes,43.157254457473755,0,0,0,0,0,0.0,1,1,0.02,17,0.058823529411764705,0.009550561797752809
15,fogao de piso fischer 4q gran cheff gas,7896513318199,https://www.americanas.com.br/produto/4709515597,fogoes,43.157254457473755,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0016853932584269663
17,fogao 4 bocas mueller fratello grafite acendimento automatico bivolt,7908156900911,https://www.americanas.com.br/produto/4606558033,fogoes,43.157254457473755,0,0,0,0,0,0.0,1,1,0.02,39,0.02564102564102564,0.021910112359550562
18,geladeira brastemp frost free 443 litros  bre57 inox 110v,7891129252059,https://www.americanas.com.br/produto/132717231,geladeiras,43.157254457473755,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0011235955056179776
19,fogao a gas maxi vitreo 5 q preto fosco gas glp,7899552141759,https://www.americanas.com.br/produto/3193710243,fogoes,43.157254457473755,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0022471910112359553
20,geladeirarefrigerador brastemp frost free 375 litros brm45  branca  110v,7891129252745,https://www.americanas.com.br/produto/133605812,geladeiras,43.157254457473755,0,0,0,1,2,0.2,1,4,0.08,2,0.5,0.0011235955056179776
22,refrigerador continental tc56 frost free duplex 472 litros,7909569003022,https://www.americanas.com.br/produto/2298984451,geladeiras,43.157254457473755,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0005617977528089888
23,fogao mueller fratello vetro 4bcs 601230011,7908156900386,https://www.americanas.com.br/produto/3943379175,fogoes,43.157254457473755,0,0,0,1,2,0.2,1,4,0.08,2,0.5,0.0011235955056179776
24,notebook lenovo ideapad 3i ryzen 55500u 8gb 256gb ssd windows 11 home 156  prata,196119415894,https://www.americanas.com.br/produto/4887523426,notebooks,43.157254457473755,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
25,fogao mueller 5 bocas fratello vetro branco bivolt,7908156900416,https://www.amazon.com.br/Fog%C3%A3o-Mueller-Fratello-Branco-Bivolt/dp/B07Y5WQLDT,fogoes,43.157254457473755,1,1,1,1,2,0.2,1,4,0.08,1,1.0,0.0005617977528089888
