indice,titulo_sa,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
15,notebook ultra multilaser 156 pol celeron n4020 4gb 120gb ssd windows 11 prata  microsoft 365 pers,7908414438545,https://www.americanas.com.br/produto/4956197856,notebooks,50.42199945449829,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0004967709885742673
27,notebook lenovo ideapad 3i intel celeron n4020 memoria 4gb ssd 480gb tela 156 hd windows 10 pro,195713167154,https://www.americanas.com.br/produto/4478065612,notebooks,50.42199945449829,1,1,1,1,2,0.2,1,3,0.06,1,1.0,0.0004967709885742673
31,notebook acer a315 intel celeron n4000 memoria 4gb ssd 240gbtela 156 hd windows 10 home,4710180696752,https://www.americanas.com.br/produto/4201441671,notebooks,50.42199945449829,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0004967709885742673
42,notebook samsung book intel dualcore windows 10 home 500gb 4gb ram tela 156 full hd led branco,7892509117159,https://www.americanas.com.br/produto/4183094555,notebooks,50.42199945449829,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0004967709885742673
52,notebook gamer 82cgs00100 core i5 8gb 256gb ssd geforce gtx 1650 4gb tela 156 linux 3i15imh 10300h lenovo,195892009962,https://www.americanas.com.br/produto/3699433802,notebooks,50.42199945449829,1,1,1,1,3,0.3,1,5,0.1,1,1.0,0.0004967709885742673
61,notebook vaio fe14 vjfe42f11xb1521h intel core i310110u 4gb 128gb ssd fhd linux 14 chumbo escuro,7896904697506,https://www.americanas.com.br/produto/3386663498,notebooks,50.42199945449829,0,0,0,0,0,0.0,1,1,0.02,34,0.029411764705882353,0.01689021361152509
79,notebook asus e510mabr295r preto,7898573297759,https://www.amazon.com.br/ASUS-E510MA-BR295R-Notebook-Preto/dp/B09BBK3J1Y,notebooks,50.42199945449829,0,0,0,0,0,0.0,1,2,0.04,11,0.09090909090909091,0.00546448087431694
99,notebook asus x571gtal888t intel core i5 9300h  nvidia geforce gtx1650  16 gb  256 gb ssd  windows 10 home  black,7898573297438,https://www.amazon.com.br/Notebook-ASUS-X571GT-AL888T-GeForce-GTX1650/dp/B099KMHKPQ,notebooks,50.42199945449829,0,0,0,0,0,0.0,0,0,0.0,62,0.016129032258064516,0.030799801291604572
101,notebook lenovo ultrafino ideapad s145 i71065g7 8gb 256gb ssd placa de video intel iris plus windows 10 156 full hd prata,194632910810,https://www.amazon.com.br/Notebook-Lenovo-Ultrafino-ideapad-i7-1065G7/dp/B08GHMC5LF,notebooks,50.42199945449829,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0004967709885742673
115,notebook asus vivobook x513eaej3010 intel core i7 1165g7 8gb 256gb ssd linux 156 led preto,7898573298404,https://www.americanas.com.br/produto/4730866201,notebooks,50.42199945449829,0,0,0,1,1,0.1,1,1,0.02,8,0.125,0.003974167908594138
117,macbook pro apple 133 intel core i5 16gb 1tb prateado,190199520172,https://www.americanas.com.br/produto/1756005311,notebooks,50.42199945449829,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0004967709885742673
126,notebook lenovo cel ideapad3 4gb 128gb ssd 82bu 15igl,196378008295,https://www.americanas.com.br/produto/4709448072,notebooks,50.42199945449829,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0004967709885742673
131,notebook acer a31556569f intel core i5 4gb 256gb 156 endless os grafite,4710886059059,https://www.americanas.com.br/produto/2643336771,notebooks,50.42199945449829,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0004967709885742673
146,notebook vaio fe15 intel core i7 windows 11 home 8gb 256gb full hd cinza escuro  inclui microsoft 365 io fe15 intel core i7 windows 11 home 8gb 256gb full hd cinza escuro,7896904698800,https://www.amazon.com.br/Notebook-Intel%C2%AE-CoreTM-Windows-Escuro/dp/B09M12HLYT,notebooks,50.42199945449829,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0004967709885742673
