indice,titulo_sa,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
0,notebook gaming 3i core i5 8gb 256gbssd gtx1650 156 linux 82cgs00100,195892009962,https://www.americanas.com.br/produto/4600778051,notebooks,43.157254457473755,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0005617977528089888
24,notebook lenovo ideapad 3i ryzen 55500u 8gb 256gb ssd windows 11 home 156  prata,196119415894,https://www.americanas.com.br/produto/4887523426,notebooks,43.157254457473755,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
31,notebook samsung book e30 4gb 156 intel core i3 ssd 256gb windows 10 home cinza,7892509117203,https://www.americanas.com.br/produto/3321130201,notebooks,43.157254457473755,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
45,notebook samsung book np550xdak02br intel dualcore 4gb 500gb branco  windows 10,7892509117159,https://www.americanas.com.br/produto/4224832527,notebooks,43.157254457473755,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0005617977528089888
55,notebook positivo motion c41tei intel celeron dualcore linux 14  vermelho,7896904683608,https://www.amazon.com.br/Notebook-Positivo-Motion-Celeron%C2%AE-Dual-CoreTM/dp/B09FFJQKSP,notebooks,43.157254457473755,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
60,notebook samsung e30 tela 156 intel i3 ssd256 4gbram linux,7892509118897,https://www.americanas.com.br/produto/4065728764,notebooks,43.157254457473755,0,0,0,0,0,0.0,1,2,0.04,11,0.09090909090909091,0.006179775280898876
64,notebook asus x515jfej360t intel core i5 1035g1 8gb 256gb ssd w10 156 ledbacklit cinza,7898573298077,https://www.amazon.com.br/Notebook-ASUS-X515JF-EJ360T-1035G1-LED-backlit/dp/B09KT7HT17,notebooks,43.157254457473755,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
91,notebook vaio fe14 intel core i5 4gb ram hd 1tb tela 14 lcd fullhd windows 10  chumbo escuro,7896904641097,https://www.amazon.com.br/Notebook-Vaio-Intel-FullHD-Windows/dp/B0866QR6YY,notebooks,43.157254457473755,0,0,0,0,0,0.0,1,1,0.02,23,0.043478260869565216,0.012921348314606741
112,notebook gamer dell g15a0500mm10p 156 fhd amd ryzen 5 8gb 512gb ssd nvidia rtx 3050 windows 11,7899864941412,https://www.americanas.com.br/produto/4072503993,notebooks,43.157254457473755,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
113,notebook compaq cq27 corei3 4gb ssd120gb win10,7898960921342,https://www.americanas.com.br/produto/2479874788,notebooks,43.157254457473755,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
118,notebook lenovo ultrafino ideapad 3i i510210u 8gb 256 gb ssd windows 11 156 82bs000gbr prata,196119387863,https://www.amazon.com.br/Notebook-Lenovo-Ultrafino-i5-10210U-82BS000GBR/dp/B09J7TBV8Q,notebooks,43.157254457473755,0,0,0,1,1,0.1,1,1,0.02,8,0.125,0.0044943820224719105
123,notebook samsung intel celeron6305 4gb 500gb w11 156 np550xdakp2br  branco,7892509120821,https://www.americanas.com.br/produto/4102214721,notebooks,43.157254457473755,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
129,notebook multilaser legacy book w10 home processador intel quad memoria 4gb e 64gb 1 tela 141 pol hd  microsoft 365 personal  1tb na nuvem  pc312 preto,7908414442757,https://www.amazon.com.br/Notebook-Multilaser-Processador-Microsoft-Personal/dp/B09KP3RT71,notebooks,43.157254457473755,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0022471910112359553
133,notebook positivo motion c4128ei  intel celeron dual core n3350 14 4gb ssd 128gb,7896904681062,https://www.americanas.com.br/produto/4224832746,notebooks,43.157254457473755,0,0,0,1,1,0.1,1,1,0.02,6,0.16666666666666666,0.0033707865168539327
