indice,titulo_sa,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
1,smart tv led hd 32 panasonic media player 2 hdmi 2 usb tc32fs500b,7896067213285,https://www.amazon.com.br/Smart-Panasonic-Media-Player-TC-32FS500B/dp/B07WCQLNBW,tvs,176.6145007610321,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00023946360153256704
18,smart tv roku led 50 philco uhd 4k bivolt netflix,7891356090912,https://www.americanas.com.br/produto/4850707002,tvs,176.6145007610321,1,1,1,1,3,0.3,1,6,0.12,1,1.0,0.00023946360153256704
56,samsung smart tv led 40 tizen fhd 40t5300 2020 com wifi hdr para brilho e contraste e plataforma tizen,7892509114301,https://www.americanas.com.br/produto/1704351001,tvs,176.6145007610321,0,0,0,1,2,0.2,1,2,0.04,2,0.5,0.0004789272030651341
68,smart tv samsung 65 4k ultra hd led un65bu8000gxzd wifi integrado,7892509121965,https://www.americanas.com.br/produto/5188783341,tvs,176.6145007610321,0,0,0,0,0,0.0,0,0,0.0,182,0.005494505494505495,0.0435823754789272
81,google tv led 55 tcl p725 4k uhd,7899968301112,https://www.amazon.com.br/GOOGLE-LED-TCL-P725-UHD/dp/B09NMDGV3W,tvs,176.6145007610321,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
97,televisao 39 polegadas hd s conversor digital tlo33,7908414405448,https://www.americanas.com.br/produto/4800389923,tvs,176.6145007610321,0,0,0,1,2,0.2,1,2,0.04,2,0.5,0.0004789272030651341
101,samsung smart tv 65 crystal uhd 4k 65au8000 painel dynamic crystal color design slim tela sem limites visual livre de cabos alexa built in controle unico,7892509117395,https://www.amazon.com.br/Samsung-Crystal-65AU8000-Dynamic-Controle/dp/B095DWMZ73,tvs,176.6145007610321,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0004789272030651341
116,smart tv samsung qled 4k 55 slim frame modo arte molduras costumizaveis e conexao unica  55ls03aa,7892509117548,https://www.americanas.com.br/produto/3439069961,tvs,176.6145007610321,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00023946360153256704
127,samsung smart tv 65 qled 8k 65q800t processador com ia borda infinita alexa built in som em movimento modo ambiente 30,7892509113649,https://www.americanas.com.br/produto/1632303237,tvs,176.6145007610321,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
241,smart tv led 50 philco ptv50d60sa full hd conversor digital integrado 2 hdmi 2 usb wifi,7899466429813,https://www.americanas.com.br/produto/134322540,tvs,176.6145007610321,0,0,0,0,0,0.0,0,0,0.0,103,0.009708737864077669,0.024664750957854406
