indice,titulo_sa,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
2,smart tv 65 uhd 4k samsung 65au7700 processador crystal 4k tela sem limites visual livre de cabos alexa built in controle unico,7892509117937,https://www.americanas.com.br/produto/4398507775,tvs,109.80159521102905,1,1,1,1,1,0.1,1,2,0.04,1,1.0,0.0003443526170798898
16,samsung smart tv 50 qled 4k the frame 2021 50ls03a design slim suporte de parede slim incluso unica conexao molduras customizaveis modo arte,7892509117562,https://www.americanas.com.br/produto/3060872986,tvs,109.80159521102905,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0006887052341597796
33,smart tv led 55 lg 55nano80 4k nanocell 4x hdmi 20 inteligencia artificial thinqai smart magic google alexa,7893299915772,https://www.americanas.com.br/produto/3280459712,tvs,109.80159521102905,1,1,1,1,2,0.2,1,3,0.06,1,1.0,0.0003443526170798898
36,tela smart toshiba 43 dled full hd hdmi usb bluetooth wifi bivolt,7908414421127,https://www.americanas.com.br/produto/4796777615,tvs,109.80159521102905,0,0,0,1,1,0.1,1,3,0.06,8,0.125,0.0027548209366391185
39,tv android led 50 fhd 1920x1080 philco bivolt ptv50d60sa,7899466429813,https://www.americanas.com.br/produto/1240880027,tvs,109.80159521102905,0,0,0,1,1,0.1,1,1,0.02,8,0.125,0.0027548209366391185
43,smart tv 4k samsung qled 55 com modo game alexa built in e wifi  qn55q70aagxzd,7892509117425,https://www.americanas.com.br/produto/3439087552,tvs,109.80159521102905,0,0,0,1,1,0.1,1,2,0.04,4,0.25,0.0013774104683195593
45,smart tv 43 lg 43lm631c0sbbwz full hd wifi  2 usb 3 hdmi,7893299912269,https://www.americanas.com.br/produto/1324750342,tvs,109.80159521102905,0,0,0,1,1,0.1,1,1,0.02,7,0.14285714285714285,0.0024104683195592287
58,smart tv 32 philco ptv50rcg70bl led quadcore hdmi usb,7891356100536,https://www.americanas.com.br/produto/4424378841,tvs,109.80159521102905,0,0,0,1,1,0.1,1,2,0.04,6,0.16666666666666666,0.002066115702479339
62,tv led 39 philco hd com conversor digital 3 hdmi 1 usb som surround 60hz  preta,7899466429714,https://www.americanas.com.br/produto/134139729,tvs,109.80159521102905,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
68,smart tv panasonic 40 led full hd wifi 2 usb 2 hdmi,7896067213421,https://www.americanas.com.br/produto/1986529954,tvs,109.80159521102905,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003443526170798898
70,smart tv led 40 full hd philco ptv40g70n 3 hdmi 2 usb wifi,7891356095962,https://www.americanas.com.br/produto/4063730713,tvs,109.80159521102905,0,0,0,0,0,0.0,0,0,0.0,172,0.005813953488372093,0.05922865013774105
84,smart tv philips led 50 4k ultra hd wifi android comando de voz 50pug740678,7898620271381,https://www.americanas.com.br/produto/5190886569,tvs,109.80159521102905,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003443526170798898
85,smart tv aoc 39 polegadas hd roku tv serie 5195,7898620271503,https://www.americanas.com.br/produto/5065189650,tvs,109.80159521102905,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0010330578512396695
105,smart tv led 32 aoc 32s519578g com wifi 1 usb 3 hdmi com botao netflixyoutube e 60hz,7898620270964,https://www.americanas.com.br/produto/5115608577,tvs,109.80159521102905,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0010330578512396695
108,samsung smart tv 65 qled 4k the frame 2021 65ls03a design slim suporte de parede slim incluso unica conexao,7892509117418,https://www.americanas.com.br/produto/3060873541,tvs,109.80159521102905,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0010330578512396695
116,philips android tv 55 4k 55pug740678 google assistant builtin comando de voz dolby visionatmos vrrallm bluetooth 50,7898620271398,https://www.amazon.com.br/Philips-55PUG7406-78-Assistant-Bluetooth/dp/B09JR6C5L2,tvs,109.80159521102905,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0006887052341597796
117,smart tv 65 samsung qled 4k 65q60a modo game som em movimento virtual tela sem limites design slim,7892509116718,https://www.americanas.com.br/produto/3060873444,tvs,109.80159521102905,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0010330578512396695
120,lg smart tv pro ai 32 32lm621cbsbawz,7893299912252,https://www.americanas.com.br/produto/1328314222,tvs,109.80159521102905,0,0,0,1,1,0.1,1,2,0.04,4,0.25,0.0013774104683195593
126,smart tv led hd 32 panasonic media player 2 hdmi 2 usb tc32fs500b,7896067213285,https://www.amazon.com.br/Smart-Panasonic-Media-Player-TC-32FS500B/dp/B07WCQLNBW,tvs,109.80159521102905,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003443526170798898
133,tela 43 polegadas full hd  conversor tv digital externo multilaser  tl029,7908414405295,https://www.americanas.com.br/produto/4370797070,tvs,109.80159521102905,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003443526170798898
137,smart tv samsung qled 4k 65q70a design slim modo game som em movimento virtual tela sem limites 65 65,7892509117579,https://www.amazon.com.br/Samsung-65Q70A-Movimento-Virtual-Limites/dp/B09QW3PKGC,tvs,109.80159521102905,0,0,0,1,1,0.1,1,2,0.04,5,0.2,0.001721763085399449
148,tela 24 polegadas hd multilaser  tl037,7908414412880,https://www.americanas.com.br/produto/4100399135,tvs,109.80159521102905,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003443526170798898
168,samsung smart tv led 40 tizen fhd 40t5300 2020 com wifi hdr para brilho e contraste e plataforma tizen,7892509114301,https://www.americanas.com.br/produto/1704351001,tvs,109.80159521102905,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0006887052341597796
190,smart tv lg 65 4k uhd 65up7550 wifi bluetooth hdr inteligencia artificial thinq smart magic google alexa,7893299915956,https://www.americanas.com.br/produto/3280454381,tvs,109.80159521102905,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
192,smart tv led 43 ultra hd 4k lg 43up751c0sf bwz thinq ai 2 hdmi 1 usb wifi bluetooth,7893299916892,https://www.americanas.com.br/produto/4880607256,tvs,109.80159521102905,0,0,0,1,1,0.1,1,1,0.02,8,0.125,0.0027548209366391185
203,fast smart tv philco 50 polegadas ultra hd roku 4k,7891356090912,https://www.americanas.com.br/produto/4773038473,tvs,109.80159521102905,1,1,1,1,5,0.5,1,6,0.12,1,1.0,0.0003443526170798898
208,smart tv toshiba led quantum dot 55 uhd 4k tb001,7908414412934,https://www.amazon.com.br/Smart-Toshiba-LED-Quantum-TB001/dp/B095DX9K5P,tvs,109.80159521102905,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003443526170798898
231,tv samsung 85 polegadas smart led 4k wifi com comando de voz e dolby digital plus,7892509117531,https://www.americanas.com.br/produto/4501352848,tvs,109.80159521102905,0,0,0,0,0,0.0,1,1,0.02,11,0.09090909090909091,0.003787878787878788
236,smart tv samsung 70 qled 4k q65b 2022 design air slim processador quantum lite multitela,7892509122634,https://www.americanas.com.br/produto/5130499866,tvs,109.80159521102905,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
237,smart tv philips android ambilight 65 4k 65pug790678 google assistant comando de voz dolby vision bluetooth 50,7898620271435,https://www.americanas.com.br/produto/4382343489,tvs,109.80159521102905,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0006887052341597796
241,smart tv oled 65 uhd 4k lg oled65gx wifi bluetooth hdr inteligencia artificial thinq ai hands free google assistente alexa smart magic,7893299913419,https://www.americanas.com.br/produto/2085063288,tvs,109.80159521102905,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
251,smart tv led 65 tcl p715 4k android uhd hdr com wifi e bluetooth integrados comando de voz a distancia google assistant,7899968301020,https://www.americanas.com.br/produto/2120880639,tvs,109.80159521102905,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0006887052341597796
259,smart tv aoc roku led 43 43s519578 com wifi full hd 3 hdmi 1 usb com controle remoto com atalhos roku mobile miracast,7898620270971,https://www.americanas.com.br/produto/1515649301,tvs,109.80159521102905,0,0,0,1,1,0.1,1,1,0.02,9,0.1111111111111111,0.0030991735537190084
263,smart tv led 40 full hd android tcl 40s6500 wifi hdr inteligencia artificial 2 hdmi 1 usb,7899968300825,https://www.amazon.com.br/Android-TCL-Conversor-Bluetooth-Controle/dp/B07RHQ8QW5,tvs,109.80159521102905,0,0,0,1,1,0.1,1,1,0.02,7,0.14285714285714285,0.0024104683195592287
267,tela toshiba 43 polegadas dled 4k smart vidaa  tb003,7908414421073,https://www.americanas.com.br/produto/4703712864,tvs,109.80159521102905,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
