,indice,titulo_sa,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
1,1,fogao a gas maxi vitreo 4 q branco gas glp,7899552140899,fogoes,67.13160943984985,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.001128668171557562
3,3,fogao de piso com acendimento automatico star 5 bocas itatiaia,7892946404805,fogoes,67.13160943984985,0,0,0,0,0,0.0,0,0,0.0,162,0.006172839506172839,0.060948081264108354
7,8,fogao de piso 5 bocas electrolux 76lbu branco bivolt,7909569000267,fogoes,67.13160943984985,1,1,1,1,1,0.1,1,2,0.04,1,1.0,0.0003762227238525207
10,13,fogao itatiaia waves 4 bocas all black bivolt 3700000042,7892946327388,fogoes,67.13160943984985,1,1,1,1,3,0.3,1,4,0.08,1,1.0,0.0003762227238525207
11,14,fogao a gas palladio vitreo 4 q branco gas glp,7899552141018,fogoes,67.13160943984985,0,0,0,0,0,0.0,1,2,0.04,30,0.03333333333333333,0.011286681715575621
12,15,fogao de piso fischer 4q gran cheff gas,7896513318199,fogoes,67.13160943984985,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.0003762227238525207
13,17,fogao 4 bocas mueller fratello grafite acendimento automatico bivolt,7908156900911,fogoes,67.13160943984985,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
15,19,fogao a gas maxi vitreo 5 q preto fosco gas glp,7899552141759,fogoes,67.13160943984985,0,0,0,1,4,0.4,1,4,0.08,2,0.5,0.0007524454477050414
18,23,fogao mueller fratello vetro 4bcs 601230011,7908156900386,fogoes,67.13160943984985,1,1,1,1,4,0.4,1,9,0.18,1,1.0,0.0003762227238525207
20,25,fogao mueller 5 bocas fratello vetro branco bivolt,7908156900416,fogoes,67.13160943984985,1,1,1,1,3,0.3,1,7,0.14,1,1.0,0.0003762227238525207
21,26,fogao de piso 6 bocas a gas glp venax delplus vitreo bivolt preto,7899552142381,fogoes,67.13160943984985,0,0,0,0,0,0.0,1,1,0.02,21,0.047619047619047616,0.007900677200902935
22,27,fogao cooktop fischer 2q eletrico mesa vitroceramica preto 220v,7896513310483,fogoes,67.13160943984985,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
23,28,fogao realce iris glass 5b,7899639786057,fogoes,67.13160943984985,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
24,29,fogao dako supreme glass 5 bocas branco  bivolt,7897180504311,fogoes,67.13160943984985,0,0,0,1,4,0.4,1,5,0.1,3,0.3333333333333333,0.001128668171557562
26,32,fogao 4 bocas itatiaia dream preto bivolt,7892946311189,fogoes,67.13160943984985,0,0,0,1,2,0.2,1,3,0.06,2,0.5,0.0007524454477050414
27,33,fogao atlas monaco top glass 5 bocas preto  bivolt,7897180505165,fogoes,67.13160943984985,1,1,1,1,2,0.2,1,5,0.1,1,1.0,0.0003762227238525207
31,37,fogao atlas 5bocas new fastcook,7897180507619,fogoes,67.13160943984985,0,0,0,0,0,0.0,1,1,0.02,11,0.09090909090909091,0.004138449962377728
32,38,fogao 4 bocas turbo glass mesa de vidro preto dako bivolt,7897180503024,fogoes,67.13160943984985,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
33,39,fogao 4 bocas mueller piacere vetro branco com mesa de vidro bivolt,7908156901772,fogoes,67.13160943984985,0,0,0,0,0,0.0,1,4,0.08,33,0.030303030303030304,0.012415349887133182
34,40,fogao de piso esmaltec 5 bocas topazio branco bivolt,7899081729497,fogoes,67.13160943984985,1,1,1,1,1,0.1,1,3,0.06,1,1.0,0.0003762227238525207
37,44,fogao ares 4 bocas branco,7899639700091,fogoes,67.13160943984985,1,1,1,1,2,0.2,1,3,0.06,1,1.0,0.0003762227238525207
39,47,fogao 5 bocas mueller piacere vetro branco com mesa de vidro e queimador central tripla chama bivolt,7908156901789,fogoes,67.13160943984985,1,1,1,1,2,0.2,1,4,0.08,1,1.0,0.0003762227238525207
46,56,fogao atlas 5 bocas agile up glass mesa vidro forno preto,7897180506322,fogoes,67.13160943984985,1,1,1,1,8,0.8,1,23,0.46,1,1.0,0.0003762227238525207
49,61,fogao a gas glp picasso 5 bocas venax grafite,7899552146419,fogoes,67.13160943984985,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
59,72,fogao vitrum 5 bocas  branco,7892946336120,fogoes,67.13160943984985,0,0,0,1,4,0.4,1,9,0.18,3,0.3333333333333333,0.001128668171557562
61,75,fogao de piso atlas 5 bocas monaco plus branco bvolt,7897180505349,fogoes,67.13160943984985,1,1,1,1,2,0.2,1,3,0.06,1,1.0,0.0003762227238525207
62,76,fogao 5 bocas preto com frente em vidro preto e tripla chama dako diplomata bivolt,7897180508319,fogoes,67.13160943984985,1,1,1,1,7,0.7,1,10,0.2,1,1.0,0.0003762227238525207
66,83,fogao 5b mueller fratello vetro mesa vidro  601230012,7908156900393,fogoes,67.13160943984985,1,1,1,1,1,0.1,1,2,0.04,1,1.0,0.0003762227238525207
67,85,fogao 5 bocas fratello vetro mueller preto fosco,7908156900379,fogoes,67.13160943984985,1,1,1,1,2,0.2,1,7,0.14,1,1.0,0.0003762227238525207
68,86,fogao monaco plus 4bocas bivolt titanium cinza  atlas,7897180505318,fogoes,67.13160943984985,1,1,1,1,8,0.8,1,18,0.36,1,1.0,0.0003762227238525207
69,89,fogao cook top ultra chama 5 bocas  chamalux,7897575153100,fogoes,67.13160943984985,0,0,0,0,0,0.0,1,1,0.02,15,0.06666666666666667,0.0056433408577878106
70,90,fogao a gas glp venax gaudi 5 bocas grafite,7899552146440,fogoes,67.13160943984985,1,1,1,1,4,0.4,1,7,0.14,1,1.0,0.0003762227238525207
71,91,fogao agata glass 5 bocas preto acendimento automatico  esmaltec,7899081743325,fogoes,67.13160943984985,0,0,0,1,3,0.3,1,6,0.12,2,0.5,0.0007524454477050414
73,93,fogao 4 bocas magister preto com mesa de vidro  dako,7897180505431,fogoes,67.13160943984985,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
75,95,fogao atlas new utop mesa inox 4 bocas brancopreto bivolt 300001217,7897180507978,fogoes,67.13160943984985,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
76,96,fogao a gas picasso vitreo 6 q branco gas glp,7899552142480,fogoes,67.13160943984985,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
77,97,fogao a gas progas 2 queimadores baixa pressao pes pms200,7898466541891,fogoes,67.13160943984985,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
79,100,fogao 4b mueller moderatto sacend  601230018,7908156900805,fogoes,67.13160943984985,1,1,1,1,4,0.4,1,15,0.3,1,1.0,0.0003762227238525207
