,indice,titulo_sa,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
0,0,notebook gaming 3i core i5 8gb 256gbssd gtx1650 156 linux 82cgs00100,195892009962,notebooks,67.13160943984985,1,1,1,1,8,0.8,1,8,0.16,1,1.0,0.0003762227238525207
1,1,fogao a gas maxi vitreo 4 q branco gas glp,7899552140899,fogoes,67.13160943984985,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.001128668171557562
2,2,frigobar midea 71 litros branco mrc08b2  220v,7908198000167,geladeiras,67.13160943984985,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.001128668171557562
3,3,fogao de piso com acendimento automatico star 5 bocas itatiaia,7892946404805,fogoes,67.13160943984985,0,0,0,0,0,0.0,0,0,0.0,162,0.006172839506172839,0.060948081264108354
4,5,smart tv led 43 semp 43s5300 full hd android bluetooth controle remoto com comando de voz google assistant,7899968300887,tvs,67.13160943984985,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
5,6,smartphone motorola moto g20 128gb 4g wifi tela 65 dual chip 4gb ram camera quadrupla  selfie 13mp  azul,7892597351497,celulares,67.13160943984985,0,0,0,0,0,0.0,1,1,0.02,32,0.03125,0.012039127163280662
6,7,refrigerador philco side by side prf533i 220v,7891356086892,geladeiras,67.13160943984985,0,0,0,1,2,0.2,1,2,0.04,5,0.2,0.0018811136192626034
7,8,fogao de piso 5 bocas electrolux 76lbu branco bivolt,7909569000267,fogoes,67.13160943984985,1,1,1,1,1,0.1,1,2,0.04,1,1.0,0.0003762227238525207
8,10,smartphone moto g20 64gb 4g wifi tela 65 dual chip 4gb ram camera quadrupla  selfie 13mp  azul,7892597351114,celulares,67.13160943984985,0,0,0,0,0,0.0,0,0,0.0,61,0.01639344262295082,0.02294958615500376
9,11,frigobar consul 117l crc12  110v,7891129224063,geladeiras,67.13160943984985,1,1,1,1,6,0.6,1,8,0.16,1,1.0,0.0003762227238525207
10,13,fogao itatiaia waves 4 bocas all black bivolt 3700000042,7892946327388,fogoes,67.13160943984985,1,1,1,1,3,0.3,1,4,0.08,1,1.0,0.0003762227238525207
11,14,fogao a gas palladio vitreo 4 q branco gas glp,7899552141018,fogoes,67.13160943984985,0,0,0,0,0,0.0,1,2,0.04,30,0.03333333333333333,0.011286681715575621
12,15,fogao de piso fischer 4q gran cheff gas,7896513318199,fogoes,67.13160943984985,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.0003762227238525207
13,17,fogao 4 bocas mueller fratello grafite acendimento automatico bivolt,7908156900911,fogoes,67.13160943984985,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
14,18,geladeira brastemp frost free 443 litros  bre57 inox 110v,7891129252059,geladeiras,67.13160943984985,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0007524454477050414
15,19,fogao a gas maxi vitreo 5 q preto fosco gas glp,7899552141759,fogoes,67.13160943984985,0,0,0,1,4,0.4,1,4,0.08,2,0.5,0.0007524454477050414
