,indice,titulo_sa,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
10,15,notebook ultra multilaser 156 pol celeron n4020 4gb 120gb ssd windows 11 prata  microsoft 365 pers,7908414438545,notebooks,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
18,27,notebook lenovo ideapad 3i intel celeron n4020 memoria 4gb ssd 480gb tela 156 hd windows 10 pro,195713167154,notebooks,75.81900024414062,1,1,1,1,5,0.5,1,6,0.12,1,1.0,0.0003762227238525207
21,31,notebook acer a315 intel celeron n4000 memoria 4gb ssd 240gbtela 156 hd windows 10 home,4710180696752,notebooks,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
31,42,notebook samsung book intel dualcore windows 10 home 500gb 4gb ram tela 156 full hd led branco,7892509117159,notebooks,75.81900024414062,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0003762227238525207
38,52,notebook gamer 82cgs00100 core i5 8gb 256gb ssd geforce gtx 1650 4gb tela 156 linux 3i15imh 10300h lenovo,195892009962,notebooks,75.81900024414062,1,1,1,1,5,0.5,1,11,0.22,1,1.0,0.0003762227238525207
46,61,notebook vaio fe14 vjfe42f11xb1521h intel core i310110u 4gb 128gb ssd fhd linux 14 chumbo escuro,7896904697506,notebooks,75.81900024414062,0,0,0,0,0,0.0,1,1,0.02,46,0.021739130434782608,0.01730624529721595
49,66,lenovo notebook ideapad 3 17itl06 82h900edus 173  hd  1600 x 900  intel core i3 11 geracao i31115g4 dualcore 2 nucleos 3 ghz  8 gb ram  ssd de 256 gb  cinza artico  intel chip  windows 11 h,196118135144,notebooks,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
59,79,notebook asus e510mabr295r preto,7898573297759,notebooks,75.81900024414062,1,1,1,1,2,0.2,1,4,0.08,1,1.0,0.0003762227238525207
70,99,notebook asus x571gtal888t intel core i5 9300h  nvidia geforce gtx1650  16 gb  256 gb ssd  windows 10 home  black,7898573297438,notebooks,75.81900024414062,0,0,0,0,0,0.0,0,0,0.0,69,0.014492753623188406,0.025959367945823927
72,101,notebook lenovo ultrafino ideapad s145 i71065g7 8gb 256gb ssd placa de video intel iris plus windows 10 156 full hd prata,194632910810,notebooks,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
79,115,msi laptop diario fino e leve 15a moderno 156 fhd 1080p intel core i71195g7 intel iris xe 8gb ssd 512gb win10 cinza carbono a11mu653,824142263136,notebooks,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
80,116,notebook asus vivobook x513eaej3010 intel core i7 1165g7 8gb 256gb ssd linux 156 led preto,7898573298404,notebooks,75.81900024414062,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
82,118,macbook pro apple 133 intel core i5 16gb 1tb prateado,190199520172,notebooks,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
86,128,notebook lenovo cel ideapad3 4gb 128gb ssd 82bu 15igl,196378008295,notebooks,75.81900024414062,1,1,1,1,4,0.4,1,5,0.1,1,1.0,0.0003762227238525207
89,133,notebook acer a31556569f intel core i5 4gb 256gb 156 endless os grafite,4710886059059,notebooks,75.81900024414062,1,1,1,1,8,0.8,1,8,0.16,1,1.0,0.0003762227238525207
98,149,notebook vaio fe15 intel core i7 windows 11 home 8gb 256gb full hd cinza escuro  inclui microsoft 365 io fe15 intel core i7 windows 11 home 8gb 256gb full hd cinza escuro,7896904698800,notebooks,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
106,165,notebook acer aspire 5 a514 intel core i5 1035g1 memoria 8gb hd 1tb ssd 256gb tela 14 hd windows 10 home,4710886520726,notebooks,75.81900024414062,1,1,1,1,5,0.5,1,7,0.14,1,1.0,0.0003762227238525207
111,172,notebook acer aspire 3 a31556330j ci3 4gb 256gb ssd 156 windows 10,4710886170556,notebooks,75.81900024414062,1,1,1,1,2,0.2,1,3,0.06,1,1.0,0.0003762227238525207
133,209,notebook asus intel core i51035g1 8gb 256gb ssd w10 156 cinza x515jaej592t,7898573297742,notebooks,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
140,223,notebook gamer rog zephyrus duo 15 gx550lxshf157t intel core i7 10875h  16 gb  512 gb ssd  windows 10 home  cinza,4718017888189,notebooks,75.81900024414062,0,0,0,1,1,0.1,1,1,0.02,8,0.125,0.0030097817908201654
142,225,notebook samsung book i5 8gb 256gb ssd 156 windows 11h cinza chumbo,7892509120784,notebooks,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
147,235,notebook positivo motion gold q4128cs intel atom quad core windows 10 home 141 dourado,7896904693744,notebooks,75.81900024414062,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
163,278,notebook positivo c4128ei celeron n3350 4gb ddr4 ssd 128gb tela 14 hd led windows 10 pro,7896904603378,notebooks,75.81900024414062,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
173,293,notebook gamer acer an51544r54q ryzen 5 4600h 8gb m2 ssd 512gb geforce gtx 1650 4gb 156 fhd 144hz win 10 home,4710886591818,notebooks,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
176,297,lenovo notebook robusto thinkpad l15 gen2 20x30071us 156  full hd  1920 x 1080  intel core i5 11 geracao i51135g7 quadcore 4 nucleos 240 ghz  8 gb ram  256 gb ssd  preto  intel soc  wi,195891597798,notebooks,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
184,315,notebook positivo motion i 341tbi intel core i3 4gb ram hd 1tb tela 14 linux  3011873,7896904634457,notebooks,75.81900024414062,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
185,318,notebook motion c41tei celeron linux 04gb 01tb  positivo,7896904680683,notebooks,75.81900024414062,0,0,0,1,2,0.2,1,2,0.04,3,0.3333333333333333,0.001128668171557562
192,332,notebook samsung core i51135g7 8gb 256gb ssd tela full hd 156 windows 10 book np550xdakf2br,7892509117128,notebooks,75.81900024414062,0,0,0,1,2,0.2,1,2,0.04,2,0.5,0.0007524454477050414
205,353,notebook acer aspire 3 celeron w10 home 4gb 256gb ssd 14 polegadas a31435c4cz,4710886653042,notebooks,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
215,373,notebook samsung book pro 360 com s pen intel core i7 windows 10 home 512 gb ssd nvme 16 gb ram tela 133 placa de video intel iris x,7892509118477,notebooks,75.81900024414062,0,0,0,0,0,0.0,0,0,0.0,143,0.006993006993006993,0.05379984951091046
222,385,notebook gigabyte g5 156 i5 10th 16gb ssd512gb rtx3060 w10,4719331813826,notebooks,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
230,406,notebook lenovo ultrafino ideapad s145 ryzen 5 8gb 256gb ssd windows 10 156 81v70008br prata,195042511352,notebooks,75.81900024414062,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0007524454477050414
233,414,notebook vaio fe15 intel core i7 linux 8gb 256gb ssd hd  prata,7896904665406,notebooks,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
234,418,notebook asus vivobook pro 15 k3500pckj390w intel i7 11370h 16gb 512gb ssd rtx3050 w11 156 prata,7898573298459,notebooks,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
235,419,notebook lenovo v14 i51135g7 8gb 256gb ssd intel iris xe graphics win 10 pro 14 82nm0000br preto,195713827638,notebooks,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
236,420,notebook positivo motion q432b intel atom4gb32gb emmc14 wind10 home,7896904630657,notebooks,75.81900024414062,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
238,428,d dolity capa para disco rigido inferior de 4 pecas para folio 9470m 9480m,749992306263,notebooks,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
