indice,titulo,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
1,Fogao A gas palladio vitreo 4 Q preto fosco gás glp,7899552140974,fogoes,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
2,Fogão Atlas 4 Bocas Branco,7897180505127,fogoes,970.9355115890503,1,1,1,1,2,0.2,1,11,0.22,1,1.0,0.0003762227238525207
4,Fogão Mueller 5 Bocas Piacere Automático 601230004 - Inox,7908156901680,fogoes,970.9355115890503,0,0,0,1,4,0.4,1,4,0.08,2,0.5,0.0007524454477050414
5,"Smart TV 4K Samsung qled 75 com Design Slim, Alexa built in e Wi-Fi - 75Q70AA",7892509117593,tvs,970.9355115890503,1,1,1,1,4,0.4,1,6,0.12,1,1.0,0.0003762227238525207
6,Kit Fogão Campeiro 75X45 - Chapa 1 Furo + Porta M + Grelha,7898969422352,fogoes,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
8,"Refrigerador Side By Side Lg 601l Painel Touch, Dispenser, New Lancaster Gs65sdn 220v",6934585684468,geladeiras,970.9355115890503,1,1,1,1,6,0.6,1,9,0.18,1,1.0,0.0003762227238525207
10,Fogão Atlas 5 Bocas Mônaco Top Glass com Mesa de Vidro Temperado Bivolt Branco,7897180505158,fogoes,970.9355115890503,1,1,1,1,5,0.5,1,8,0.16,1,1.0,0.0003762227238525207
11,Fogão a Gás 4 Bocas Moderatto 601186001 Branco - Mueller,7898361094980,fogoes,970.9355115890503,0,0,0,1,2,0.2,1,4,0.08,5,0.2,0.0018811136192626034
13,Fogão 5 Bocas Mesa de Vidro Horus com Acendimento Glass Bivolt Inox,7898385061593,fogoes,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
14,Smartphone Motorola Moto G200 256GB 5G Wi-Fi Tela 6.8'' Dual Chip 8GB RAM Câmera Tripla + Selfie 16MP - Verde,7892597351558,celulares,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
15,Notebook ultra multilaser 15.6 pol celeron N4020 4GB 120GB ssd windows 11 prata + microsoft 365 pers,7908414438545,notebooks,970.9355115890503,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.001128668171557562
16,Geladeira Lg Bottom Freezer 451 Litros Inox 110v Gc-b659bsb,8806098423927,geladeiras,970.9355115890503,1,1,1,1,7,0.7,1,7,0.14,1,1.0,0.0003762227238525207
17,Smartphone Galaxy A03 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Dupla + Selfie 5MP - Vermelho,7892509121231,celulares,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
19,Smart Tv Uhd 4k 55 Wifi Preto Bivolt,7908414412934,tvs,970.9355115890503,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
20,Fogão de Piso 4 Bocas Mesa Inox Vidro Duplo 60L Dako Supreme branco Bivolt,7897180504236,fogoes,970.9355115890503,1,1,1,1,6,0.6,1,9,0.18,1,1.0,0.0003762227238525207
22,"SAMSUNG, TV Smart 65 Uhd 4K UN65AU7700GXZD",7892509117937,tvs,970.9355115890503,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0015048908954100827
23,"Smart TV Semp Roku Led 50¿ Rk8500 4k UHD HDR Wifi Dual Band, 4 Hdmi, 1 Usb, Com Controle Por Aplicativo",7899968301167,tvs,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
24,Fogão 5 Bocas Fratello Vetro com Mesa de Vidro Mueller,7908156900416,fogoes,970.9355115890503,1,1,1,1,8,0.8,1,14,0.28,1,1.0,0.0003762227238525207
27,"Notebook Lenovo Ideapad 3i Intel Celeron N4020 Memoria 4GB Ssd 480GB Tela 15,6'' HD Windows 10 Pro",195713167154,notebooks,970.9355115890503,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0003762227238525207
28,TV Philco PTV39G50D d-led 39,7891356086595,tvs,970.9355115890503,1,1,1,1,7,0.7,1,7,0.14,1,1.0,0.0003762227238525207
29,Fogão de Piso Continental 4 Bocas FC4CB Branco Automático com Mesa Compartimentada - Bivolt,7909569002193,fogoes,970.9355115890503,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.0003762227238525207
31,Notebook Acer A315 Intel Celeron N4000 Memoria 4gb Ssd 240GBTela 15.6' Hd Windows 10 Home,4710180696752,notebooks,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
32,Fogao Itatiaia Vitrum Digital 5b Preto Bivolt,7892946336632,fogoes,970.9355115890503,1,1,1,1,4,0.4,1,19,0.38,1,1.0,0.0003762227238525207
33,Fogao A Gas Gemini 2 Q Vetro Amarelo Gás Glp,7898456266261,fogoes,970.9355115890503,1,1,1,1,5,0.5,1,8,0.16,1,1.0,0.0003762227238525207
34,Smart TV Samsung Crystal uhd 4K 55AU9000 Design Slim Som em Movimento Virtual Visual Sem Cabos 55,7892509117463,tvs,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
35,Smartphone Samsung Galaxy A22 128GB 4G 6.4 Quad Câm 48 + 8 + 2 + 2MP Verde,7892509119672,celulares,970.9355115890503,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0007524454477050414
36,Geladeira Brastemp 400L Frost Free com Painel Touch BRM54HBANA Branca,7891129252837,geladeiras,970.9355115890503,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.0003762227238525207
37,Fogão Gás Itatiaia Waves 5 Bocas Acendimento Automático Bivolt Preto,7892946327395,fogoes,970.9355115890503,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
39,Tela 24 Polegadas HD Multilaser - TL037,7908414412880,tvs,970.9355115890503,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
40,Fogão 5 Bocas Moderatto Mueller Preto Fosco,7908156900812,fogoes,970.9355115890503,1,1,1,1,3,0.3,1,8,0.16,1,1.0,0.0003762227238525207
41,Geladeira/Refrigerador Consul 386 Litros 2 Portas Frost Free Classe A CRM43,7891129246720,geladeiras,970.9355115890503,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0003762227238525207
42,"Notebook Samsung Book Intel Dual-Core, Windows 10 Home 500GB, 4GB ram, Tela 15.6 Full HD LED Branco",7892509117159,notebooks,970.9355115890503,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0003762227238525207
43,"Smartphone Motorola Moto E6 Play 32GB Dual Chip Android 9 Tela 5.5"" MT6739 4G Câmera 13MP - Cinza Metálico",7892597349111,celulares,970.9355115890503,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0007524454477050414
45,Fogao Dako 5B Turbo Glass Preto DP5VTP PF0,7897180503031,fogoes,970.9355115890503,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.0003762227238525207
46,"Samsung Galaxy Note 10+ Além disso 256GB com S Pen Aura azul (desbloqueado de fábrica para GSM e CDMA, 6,8 polegadas Display, versão EUA) SM-N975UZBAXAA",887276372457,celulares,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
48,Frigobar Retrô Midea Preto Onix 95 Litros 127V,7908198003045,geladeiras,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
50,Fogão Elétrico de Mesa Um Prato 1500w - Cinza - Agratto 110V,7800554920112,fogoes,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
51,TV Led LH65BEAHV 65 Smart Ultra Hd 4k Crystal 3HDMI 1USB Samsung,7892509118156,tvs,970.9355115890503,0,0,0,1,4,0.4,1,5,0.1,2,0.5,0.0007524454477050414
52,Notebook Gamer 82CGS00100 Core i5 8GB 256GB ssd GeForce gtx 1650 4GB Tela 15.6 Linux 3i-15IMH 10300H Lenovo,195892009962,notebooks,970.9355115890503,1,1,1,1,8,0.8,1,11,0.22,1,1.0,0.0003762227238525207
53,Fogão Itatiaia Itaglass 4 Bocas - Preto,7892946398098,fogoes,970.9355115890503,1,1,1,1,9,0.9,1,12,0.24,1,1.0,0.0003762227238525207
54,Smartphone LG K8+ 16GB Dual Chip Tela 5' Câmera Principal 8MP Frontal 5MP Android 7.0 Preto,7893299912771,celulares,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
55,Smartphone Motorola Moto G9 Power 128GB 4G Wi-Fi Tela 6.8'' Dual Chip 4GB ram Câmera Tripla + Selfie 16MP - Purple - Exposição,7892597350254,celulares,970.9355115890503,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.001128668171557562
57,Smart TV LED 32 HD Multilaser TL020 Conversor Digital Externo 3 hdmi 2 USB Wi-Fi,7899838894744,tvs,970.9355115890503,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0003762227238525207
58,Smartphone Celular 32Gb Multilaser E Lite 2 Preto - P9146,7908414420199,celulares,970.9355115890503,1,1,1,1,3,0.3,1,4,0.08,1,1.0,0.0003762227238525207
59,Fogão Vitrum Itatiaia 4 Bocas Inox Mesa de Vidro Bivolt,7892946336649,fogoes,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
60,Fogão Esmaltec Esmeralda Glass Gourmet 4 Bocas Preto com Timer Digital e Grill Elétrico,7899081742717,fogoes,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
61,"Notebook Vaio FE14 VJFE42F11X-B1521H Intel Core i3-10110U 4GB 128GB SSD FHD Linux 14"" Chumbo Escuro",7896904697506,notebooks,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
62,Smartphone Multilaser E Pro 4G 32GB Wi-Fi 5.0 pol. Dual Chip 1GB RAM Câmera 5MP + 5MP Android 11 (Go edition) Quad Core - Dourado – P9151,7908414420243,celulares,970.9355115890503,1,1,1,1,4,0.4,1,5,0.1,1,1.0,0.0003762227238525207
63,"Smart Tv 85"" Crystal UHD Samsung 4k 85AU8000 Painel Dynamic Crystal Color Design Slim Tela Sem Limites",7892509117531,tvs,970.9355115890503,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
