indice,titulo,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
6,Smartphone Motorola Moto G20 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Azul,7892597351497,celulares,987.105797290802,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0015048908954100827
10,Smartphone Moto G20 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Azul,7892597351114,celulares,987.105797290802,0,0,0,0,0,0.0,0,0,0.0,75,0.013333333333333334,0.028216704288939052
34,Smartphone Samsung Galaxy A23 4G 128GB 6.6 Quad Câm 48 + 5 + 2 + 2MP Azul,7892509123266,celulares,987.105797290802,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
36,"Smartphone Samsung Galaxy S22 + 5G, 128GB, 8GB ram, Tela Infinita de 6.6",7892509122306,celulares,987.105797290802,0,0,0,0,0,0.0,0,0,0.0,406,0.0024630541871921183,0.1527464258841234
54,Smartphone Xiaomi Redmi 9 64GB 4GB Ram 4 Câmeras Roxo,7898567778868,celulares,987.105797290802,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
63,"Smartphone Samsung Galaxy A10s, 6,2, 32 Gb, Câmera Dupla, Azul",7892509111874,celulares,987.105797290802,0,0,0,1,1,0.1,1,1,0.02,8,0.125,0.0030097817908201654
71,Smartphone Multilaser F 3g 32gb 1gb Tela 5.5 + Suporte Ring,7899838889276,celulares,987.105797290802,0,0,0,1,1,0.1,1,1,0.02,7,0.14285714285714285,0.0026335590669676447
73,Smartphone Multilaser E Lite 32GB,7899838889214,celulares,987.105797290802,1,1,1,1,3,0.3,1,5,0.1,1,1.0,0.0003762227238525207
80,Smartphone Samsung Galaxy A52 128Gb Preto,7892509116930,celulares,987.105797290802,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
104,Smartphone Motorola Moto G31 128GB 4G Wi-Fi Tela 6.4'' Dual Chip 4GB RAM Câmera Tripla + Selfie 13MP - Grafite,7892597351640,celulares,987.105797290802,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
120,Smartphone Multilaser E Pro 32GB 4G wi-fi Dourado Tela 5.0 Dual Chip 1GB ram Câmera 5MP + Selfie 5MP Android 11 Go - P9151,7908414420243,celulares,987.105797290802,1,1,1,1,2,0.2,1,3,0.06,1,1.0,0.0003762227238525207
126,Smartphone Red Mobile Volt L S51 16Gb 1Gb ram Preto/Azul,609963649624,celulares,987.105797290802,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
134,Smartphone Samsung Galaxy A12 128GB Preto 4G Wi-Fi Tela 6.5'' Dual Chip 6GB ram Câmera Quádrupla + Selfie 8MP,8806092186422,celulares,987.105797290802,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
181,"Smartphone Samsung Galaxy A23, 128GB, 4GB ram, Dual Chip, Tela de 6.6",7892509123273,celulares,987.105797290802,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
199,Celular LG - LMK520BMW - K62 64 GB Vermelho,7893299915277,celulares,987.105797290802,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
211,Smartphone Samsung Galaxy A02 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Preto,7892509118279,celulares,987.105797290802,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
216,Smartphone tcl 20SE 6.82 Octa Core 128GB 4GB Câmera Quádrupla Quadriband,7898552004903,celulares,987.105797290802,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
234,"Smartphone Multilaser E Pro 32GB 4G Wi-Fi Tela 5,0 Dual Chip 1GB Ram Câmera 5MP + Selfie 5MP Android 11 Go - P9150",7908414420236,celulares,987.105797290802,1,1,1,1,1,0.1,1,8,0.16,1,1.0,0.0003762227238525207
238,"Smartphone Multilaser G 2 4G Dual Chip 32GB 2GB Ram Tela 5,1 Câmera 8MP + Selfie 5MP Android 11 Go Dourado - P9155",7908414420281,celulares,987.105797290802,1,1,1,1,9,0.9,1,9,0.18,1,1.0,0.0003762227238525207
264,"Smartphone Twist 4Pro S518 4G 64GB Tela 5,5 Polegadas Android 10 Octa Core Cam 8mp + 8mp Positivo",7896904691788,celulares,987.105797290802,0,0,0,0,0,0.0,0,0,0.0,576,0.001736111111111111,0.21670428893905191
272,Smartphone multilaser G max 2 dourado 2GB ram 64GB,7908414420304,celulares,987.105797290802,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
279,Smartphone Moto G71 128GB 5G Wi-Fi Tela 6.4'' Dual Chip 6GB RAM Câmera Tripla + Selfie 16MP - Verde,7892597351619,celulares,987.105797290802,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
283,Smartphone Multilaser F Pro 4g 16gb Android 9 Dourado P9119,7899838873862,celulares,987.105797290802,1,1,1,1,1,0.1,1,2,0.04,1,1.0,0.0003762227238525207
325,Smartphone Motorola Moto E6s 64GB 4G Wi-Fi Tela 6.1'' Dual Chip 4GB RAM Câmera Dupla + Selfie 5MP - Vermelho Magenta,7892597349999,celulares,987.105797290802,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
344,"Smartphone LG K50S Azul 32GB, Tela 6,5"" Narrow Notch HD+ FullVision, Inteligência Artificial, Câmera Tripla, Selfie de 13MP e Processador Octa-Core - Azul",7893299913365,celulares,987.105797290802,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
345,Smartphone Pol. Octa Core Android 9.0 Go Preto Multilaser,7899838865461,celulares,987.105797290802,0,0,0,0,0,0.0,0,0,0.0,79,0.012658227848101266,0.029721595184349133
348,Smartphone Nokia C30 64GB 4G - NK042 - Verde,7908414422384,celulares,987.105797290802,1,1,1,1,3,0.3,1,5,0.1,1,1.0,0.0003762227238525207
350,"Smartphone Motorola Moto E20 32GB 4GB RAM, Cinza",7892597351411,celulares,987.105797290802,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
356,Smartphone Motorola Moto E7 32GB 2GB RAM Cinza Metálico,7892597350315,celulares,987.105797290802,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0003762227238525207
363,"Smartphone Samsung Galaxy A02 32GB 13MP 6,5 Vermelho",7892509117708,celulares,987.105797290802,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
373,Smartphone Motorola Edge 20 Pro 256GB 5G Wi-Fi Tela 6.7'' Dual Chip 12GB RAM Câmera Tripla + Selfie 32MP - Branco,7892597351220,celulares,987.105797290802,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
374,Smartphone nokia C01 plus 1 + 32GB roxo - NK041,7908414422377,celulares,987.105797290802,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
378,Smartphone Motorola Moto G22 128GB 4G Wi-Fi Tela 6.5,7892597352067,celulares,987.105797290802,1,1,1,1,2,0.2,1,3,0.06,1,1.0,0.0003762227238525207
384,"Smartphone Positivo Twist 4G 32GB Dual Chip Android 10 Tela 5"" Octa-Core 1,6 GHz 4G 8MP - Cinza Chumbo",7896904683820,celulares,987.105797290802,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
387,Smartphone asus Zenfone Max Pro (M2) 6GB/64GB Black Saphire,7898573296912,celulares,987.105797290802,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
392,"Smartphone Samsung Galaxy M22 128GB 4G Wi-Fi Tela 6,4'' Dual Chip 4GB ram Câmera Quádrupla + Selfie 13MP - Branco",7892509120340,celulares,987.105797290802,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
399,"Smartphone Motorola Moto E20 Dual sim 32GB Octa-Core Tela hd + de 6,5 Câmera Dupla 13MP + 2MP gps Rádio fm Leitor Biométrico Entrada USB C P2",7892597351404,celulares,987.105797290802,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
409,"Smartphone Galaxy A23, 128Gb, Tela 6.6, Câmeras 50MP + 8MP + 2MP + 2MP, Preto, SM-A235MZKRZTO samsung",7892509122719,celulares,987.105797290802,0,0,0,1,1,0.1,1,1,0.02,8,0.125,0.0030097817908201654
411,Reembalado: usado: Smartphone Samsung Galaxy M31 M315F 128GB 8GB ram Tela 6.4,7892509114295,celulares,987.105797290802,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
421,Smartphone Samsung Galaxy S22 Ultra 5G 256GB 6.8 108 + 10 + 12 + 10MP Preto,7892509122160,celulares,987.105797290802,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
454,"Smartphone Positivo Twist 4 64GB Dual Chip Android 10 Tela 5.5"" Quad-Core 1,3 GHz 3G 8MP -  Black Piano",7896904686272,celulares,987.105797290802,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
456,Smartphone Multilaser Mult E 32GB 5.0 P9128 Preto,7899838889221,celulares,987.105797290802,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
460,Smartphone Multilaser E Lite NB763 16GB 512MB ram Dual Preto,7899838864655,celulares,987.105797290802,0,0,0,0,0,0.0,0,0,0.0,690,0.0014492753623188406,0.2595936794582393
465,Smartphone Philco Hit P10 Dark Blue 128GB 4G Tela De 6.2 Câmera Tripla Traseira 13MP + 5MP + 2MP Selfie 8MP Dual Chip,7891356093951,celulares,987.105797290802,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
487,"Smartphone Samsung Galaxy Z Fold3 5G, Dobrável, 256GB, 12GB de ram, Tela de 7.6",7892509120586,celulares,987.105797290802,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
511,Smartphone Realme C3 Dual Sim 6.5 64Gb + 3Gb Ram Azul,7895251801420,celulares,987.105797290802,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
520,Smartphone Xiaomi Redmi 9A Tela 6.53 Pol. 2GB Ram 32Gb 4G,7898567779018,celulares,987.105797290802,0,0,0,0,0,0.0,0,0,0.0,226,0.004424778761061947,0.08502633559066967
521,"Smartphone Nokia 2.4 Roxo, Tela 6.5'' NK015, 3GB ram",7898149185251,celulares,987.105797290802,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
544,"Smartphone LG K8 Plus Platinum 16GB 1.5 GHz de RAM Tela 5"" Dual Chip Câmera Traseira de 8MP",7893299912795,celulares,987.105797290802,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
574,Smartphone Samsung Galaxy A32 128GB 4G Wi-Fi Tela 6.4'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 20MP - Azul,7892509117722,celulares,987.105797290802,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
576,"Smartphone Positivo Twist 3 Pro S533 64GB Dual Chip Android Oreo Go Edition Tela 5.7"" Quad Core 3G Câmera 8MP - Aurora",7896904647198,celulares,987.105797290802,1,1,1,1,1,0.1,1,2,0.04,1,1.0,0.0003762227238525207
588,Usado: Smartphone Samsung Galaxy A10 32GB 2GB ram Tela 6.2 - Muito bom,7892509107532,celulares,987.105797290802,0,0,0,0,0,0.0,1,2,0.04,15,0.06666666666666667,0.0056433408577878106
599,Smartphone motorola moto g41 128 gb azul 6.4 4g,7892597351503,celulares,987.105797290802,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
605,Smartphone Navcity NP-752 Branco - Android 11 e Dual Chip,7908505900012,celulares,987.105797290802,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
