indice,titulo,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
8,Smartphone Multilaser E Lite 32gb Dourado Tela 4.0 Pol 3g,7899838889214,https://www.americanas.com.br/produto/1983758671,celulares,2730.145719766617,1,1,1,1,1,0.1,1,3,0.06,1,1.0,0.0003443526170798898
12,Kit Philco Smartphone PCS02P Hit Plus + Speaker Go PBS10BTA,7891356102943,https://www.americanas.com.br/produto/3276131554,celulares,2730.145719766617,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
20,Smartphone Motorola Moto G200 256GB 5G Wi-Fi Tela 6.8'' Dual Chip 8GB RAM Câmera Tripla + Selfie 16MP - Verde,7892597351558,https://www.americanas.com.br/produto/4424395544,celulares,2730.145719766617,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
30,Smartphone Samsung Galaxy A23 128GB 4GB Wi-Fi Tela 6.6 Dual Chip 4GB ram Câmera Quádrupla + Selfie 8MP - Preto,7892509122719,https://www.americanas.com.br/produto/5150341353,celulares,2730.145719766617,1,1,1,1,1,0.1,1,2,0.04,1,1.0,0.0003443526170798898
47,Smartphone Motorola Moto E6s 64GB 4G Wi-Fi Tela 6.1'' Dual Chip 4GB RAM Câmera Dupla + Selfie 5MP - Vermelho Magenta,7892597349999,https://www.americanas.com.br/produto/2799308831,celulares,2730.145719766617,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
81,"Smartphone Positivo Twist 4 Pro 64GB Dual Chip Android 10 Tela 5.5"" Octa-Core 1,6GHz 4G 8MP -  Vermelho Rubber",7896904691788,https://www.americanas.com.br/produto/2973306541,celulares,2730.145719766617,0,0,0,0,0,0.0,0,0,0.0,227,0.004405286343612335,0.07816804407713498
106,Smartphone Multilaser F Pro 4g 16gb Android 9 Dourado P9119,7899838873862,https://www.americanas.com.br/produto/4678657760,celulares,2730.145719766617,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
127,"Telefone robusto DOOGEE S40 PRO [4 GB de RAM 64 GB de ROM], smartphone externo desbloqueado Android 10 IP68, tela de vidro Gorilla de 5,45"", câmera tripla de 13 MP, SIM duplo (Exército verde)",3002801019257,https://www.amazon.com.br/Telefone-robusto-smartphone-desbloqueado-Ex%C3%A9rcito/dp/B09BTB8PG6/ref=sr_1_969?qid=1651784093&s=wireless&sr=1-969&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,celulares,2730.145719766617,0,0,0,0,0,0.0,0,0,0.0,272,0.003676470588235294,0.09366391184573003
144,Smartphone Twist S514 64GB 1GB ram Dual Chip Tela 5.5 Positivo,7896904686272,https://www.americanas.com.br/produto/4208285367,celulares,2730.145719766617,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003443526170798898
156,Smartphone Samsung Galaxy S20+ 128GB 4G Wi-Fi Tela 6.7'' Dual Chip 8GB RAM Câmera Quádrupla + Selfie 10MP - Cosmic Black,7892509113960,https://www.americanas.com.br/produto/1524131280,celulares,2730.145719766617,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0006887052341597796
167,"Smartphone Samsung Galaxy Z Fold3 512GB 5G - Preto, ram 12GB, Tela 7.6",7892509120579,https://www.americanas.com.br/produto/4018096661,celulares,2730.145719766617,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
170,Usado: Smartphone Samsung Galaxy A10 32GB 2GB ram Tela 6.2 - Muito bom,7892509107532,https://www.americanas.com.br/produto/5008286947,celulares,2730.145719766617,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
171,"Smartphone Zenfone Max Shot Dual Chip Android 6.2"" Qualcomm Octa Core 64GB 4G Câmera Traseira 12MP+5MP+8MP - Vermelho",7898573296349,https://www.americanas.com.br/produto/134296759,celulares,2730.145719766617,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
183,Celular LG - LMK520BMW - K62 64 GB Vermelho,7893299915277,https://www.amazon.com.br/Celular-LG-LMK520BMW-K62-Vermelho/dp/B08WKJM4C2/ref=sr_1_1270?qid=1651784111&s=wireless&sr=1-1270&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,celulares,2730.145719766617,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0013774104683195593
199,Smartphone GMax 2 P9157 Tela 6.5 64GB 2GB ram Multilaser,7908414420304,https://www.americanas.com.br/produto/4782017527,celulares,2730.145719766617,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003443526170798898
200,Smartphone Motorola Moto G31 128GB 4G Wi-Fi Tela 6.4'' Dual Chip 4GB RAM Câmera Tripla + Selfie 13MP - Grafite,7892597351640,https://www.americanas.com.br/produto/4447197866,celulares,2730.145719766617,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
213,Kit Smartphone PCS02SG 128GB Hit Max + Fone Philco PFO02G,7891356102929,https://www.americanas.com.br/produto/3276131466,celulares,2730.145719766617,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
214,"Smartphone Multilaser E Pro 32GB 4G Wi-Fi Tela 5,0 Dual Chip 1GB Ram Câmera 5MP + Selfie 5MP Android 11 Go - P9150",7908414420236,https://www.amazon.com.br/Smartphone-Multilaser-C%C3%A2mera-Selfie-Android/dp/B09V5NXDQV/ref=sr_1_1660?qid=1651784135&s=wireless&sr=1-1660&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,celulares,2730.145719766617,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003443526170798898
215,Smartphone Galaxy A03 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Dupla + Selfie 5MP - Vermelho,7892509121231,https://www.americanas.com.br/produto/4600478999,celulares,2730.145719766617,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0006887052341597796
227,"Smartphone Samsung Galaxy S22 Ultra 512GB 5G com caneta S pen - Preto, Câmera Tripla 108MP + Selfie 40MP, ram 8GB, Tela 6.8",7892509122580,https://www.americanas.com.br/produto/4987525162,celulares,2730.145719766617,0,0,0,0,0,0.0,1,1,0.02,11,0.09090909090909091,0.003787878787878788
