indice,titulo,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
1,Fogao A gas palladio vitreo 4 Q preto fosco gás glp,7899552140974,fogoes,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
2,Fogão Atlas 4 Bocas Branco,7897180505127,fogoes,970.9355115890503,1,1,1,1,2,0.2,1,11,0.22,1,1.0,0.0003762227238525207
4,Fogão Mueller 5 Bocas Piacere Automático 601230004 - Inox,7908156901680,fogoes,970.9355115890503,0,0,0,1,4,0.4,1,4,0.08,2,0.5,0.0007524454477050414
6,Kit Fogão Campeiro 75X45 - Chapa 1 Furo + Porta M + Grelha,7898969422352,fogoes,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
10,Fogão Atlas 5 Bocas Mônaco Top Glass com Mesa de Vidro Temperado Bivolt Branco,7897180505158,fogoes,970.9355115890503,1,1,1,1,5,0.5,1,8,0.16,1,1.0,0.0003762227238525207
11,Fogão a Gás 4 Bocas Moderatto 601186001 Branco - Mueller,7898361094980,fogoes,970.9355115890503,0,0,0,1,2,0.2,1,4,0.08,5,0.2,0.0018811136192626034
13,Fogão 5 Bocas Mesa de Vidro Horus com Acendimento Glass Bivolt Inox,7898385061593,fogoes,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
20,Fogão de Piso 4 Bocas Mesa Inox Vidro Duplo 60L Dako Supreme branco Bivolt,7897180504236,fogoes,970.9355115890503,1,1,1,1,6,0.6,1,9,0.18,1,1.0,0.0003762227238525207
24,Fogão 5 Bocas Fratello Vetro com Mesa de Vidro Mueller,7908156900416,fogoes,970.9355115890503,1,1,1,1,8,0.8,1,14,0.28,1,1.0,0.0003762227238525207
29,Fogão de Piso Continental 4 Bocas FC4CB Branco Automático com Mesa Compartimentada - Bivolt,7909569002193,fogoes,970.9355115890503,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.0003762227238525207
32,Fogao Itatiaia Vitrum Digital 5b Preto Bivolt,7892946336632,fogoes,970.9355115890503,1,1,1,1,4,0.4,1,19,0.38,1,1.0,0.0003762227238525207
33,Fogao A Gas Gemini 2 Q Vetro Amarelo Gás Glp,7898456266261,fogoes,970.9355115890503,1,1,1,1,5,0.5,1,8,0.16,1,1.0,0.0003762227238525207
37,Fogão Gás Itatiaia Waves 5 Bocas Acendimento Automático Bivolt Preto,7892946327395,fogoes,970.9355115890503,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
40,Fogão 5 Bocas Moderatto Mueller Preto Fosco,7908156900812,fogoes,970.9355115890503,1,1,1,1,3,0.3,1,8,0.16,1,1.0,0.0003762227238525207
45,Fogao Dako 5B Turbo Glass Preto DP5VTP PF0,7897180503031,fogoes,970.9355115890503,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.0003762227238525207
50,Fogão Elétrico de Mesa Um Prato 1500w - Cinza - Agratto 110V,7800554920112,fogoes,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
53,Fogão Itatiaia Itaglass 4 Bocas - Preto,7892946398098,fogoes,970.9355115890503,1,1,1,1,9,0.9,1,12,0.24,1,1.0,0.0003762227238525207
59,Fogão Vitrum Itatiaia 4 Bocas Inox Mesa de Vidro Bivolt,7892946336649,fogoes,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
60,Fogão Esmaltec Esmeralda Glass Gourmet 4 Bocas Preto com Timer Digital e Grill Elétrico,7899081742717,fogoes,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
70,Fogão Atlas Mônaco Plus 4 Bocas com Acendimento Automático Branco,7897180505301,fogoes,970.9355115890503,1,1,1,1,4,0.4,1,11,0.22,1,1.0,0.0003762227238525207
72,Fogão de pressão elétrica 2.5L Cozinha doméstica Cozinha de arroz elétrica Trabalho de fogão lento com Mihome App Fogões de arroz,8463406879403,fogoes,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
74,Fogão 5 Bocas com Acendimento Automático Dako Supreme Bivolt,7897180504267,fogoes,970.9355115890503,1,1,1,1,3,0.3,1,15,0.3,1,1.0,0.0003762227238525207
75,Fogão Atlas 5Bocas New Fastcook,7897180507619,fogoes,970.9355115890503,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
81,Fogão De Piso Atlas 5 Bocas Monaco Plus Branco Bvolt,7897180505349,fogoes,970.9355115890503,1,1,1,1,3,0.3,1,7,0.14,1,1.0,0.0003762227238525207
84,Fogão 4B Esmaltec Agata Glass Mesa Vidro - 0104002094,7899081743219,fogoes,970.9355115890503,1,1,1,1,6,0.6,1,10,0.2,1,1.0,0.0003762227238525207
87,Fogão de Piso 5 Bocas Electrolux 76LBU Branco Bivolt,7909569000267,fogoes,970.9355115890503,1,1,1,1,9,0.9,1,11,0.22,1,1.0,0.0003762227238525207
88,Fogão Portátil Venax Mini Cook 2 Bocas Com Forno A Gás GLP Vermelho,7899552116054,fogoes,970.9355115890503,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
95,Fogão de Piso Dako Supreme Glass 5 Bocas a Gas Acendimento Automático Branco Bivolt,7897180504311,fogoes,970.9355115890503,0,0,0,1,2,0.2,1,2,0.04,3,0.3333333333333333,0.001128668171557562
97,Fogão De Piso Com Acendimento Manual Star Clean 4 Bocas Itatiaia Preto,7892946330067,fogoes,970.9355115890503,1,1,1,1,3,0.3,1,4,0.08,1,1.0,0.0003762227238525207
100,Fogão De Piso Itatiaia Vitrum Multigás 5 Queimadores 110v/220v Porta Com Visor 100L,7892946336120,fogoes,970.9355115890503,0,0,0,1,1,0.1,1,11,0.22,5,0.2,0.0018811136192626034
105,Fogão 5 Bocas Fratello Branco com Queimador Ultra Chama,7908156900942,fogoes,970.9355115890503,1,1,1,1,3,0.3,1,4,0.08,1,1.0,0.0003762227238525207
109,"Fogao A Gas Gaudi Vetro Vitreo 4 Q Branco 220 V Natural = Gás De Rua, Fornecido Por Concessionária - Venax",7899552141544,fogoes,970.9355115890503,1,1,1,1,1,0.1,1,3,0.06,1,1.0,0.0003762227238525207
111,"Forno Elétrico, Convection Cook, 18L, Vermelho, 110v, Oster",34264474871,fogoes,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
112,Fogão 2 Bocas A Gás Pms-200 Progás Baixa Pressão,7898466541891,fogoes,970.9355115890503,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.0003762227238525207
117,Fogão Itatiaia Essencial 5 Bocas Mesa de Vidro,7892946411759,fogoes,970.9355115890503,0,0,0,1,4,0.4,1,4,0.08,2,0.5,0.0007524454477050414
125,Fogão 4 bocas Turbo Glass Mesa de vidro Preto Dako Bivolt,7897180503024,fogoes,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
136,Fogao 1 Boca Alta Pressao Pe Alto Kit Instalaçao Completo,7898947808055,fogoes,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
140,Fogão Dako Magister 5 Bocas Com Acendimento Automático Preto,7897180505448,fogoes,970.9355115890503,1,1,1,1,10,1.0,1,12,0.24,1,1.0,0.0003762227238525207
143,Fogão 5 Bocas New Top Glass Preto,7898385061272,fogoes,970.9355115890503,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
144,Fogão 5 Bocas Itatiaia Star Branco Bivolt,7892946404805,fogoes,970.9355115890503,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
147,Fogão Consul Piso 5 Bocas Titanium Mesa de Vidro Bivolt CFS5VAT,7891129246645,fogoes,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
150,Fogão Atlas New Utop Mesa Inox 4 Bocas Branco/Preto Bivolt 300001217,7897180507978,fogoes,970.9355115890503,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
151,Fogão elétrico do agregado familiar do potenciômetro quente do potenciômetro multifuncional,8202231496887,fogoes,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
158,Fogão De Piso Gás 4 Bocas Bivolt Preto Fosco Gás Glp Bivolt,7899552140455,fogoes,970.9355115890503,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
161,Fogão de Piso Itatiaia 5 Bocas Itaglass com Vidro Temperado,7892946398128,fogoes,970.9355115890503,1,1,1,1,3,0.3,1,8,0.16,1,1.0,0.0003762227238525207
169,Fogão à Gás 5 Bocas Verita Gourmet Clarice Preto Bivolt,7898342108996,fogoes,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
176,Fogão de Piso Mesa de Vidro Front Control 5 Queimadores Branco Bivolt Suggar Branco Cestaplus,7890170734149,fogoes,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
177,Fogão 4 Bocas Glass Top Plus com Mesa de Vidro Inox Bivolt,7898385060282,fogoes,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
182,Fogão Elétrico Marchesoni 2 Bocas Fg.1.202 220V,7891989672707,fogoes,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
186,Fogao A Gas Gemini 2 Q Vetro Vermelho Gás Glp,7898456266117,fogoes,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
187,Fogão 4 Bocas Dako Diplomata Mesa de Vidro,7897180508302,fogoes,970.9355115890503,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
195,Fogão 5 Bocas Mesa de Inox Forno Easy Cean Plus Preto Bivolt,7898385061548,fogoes,970.9355115890503,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
203,Fogão Braslar Plus 4 Bocas Total Branco Bivolt,7898385060855,fogoes,970.9355115890503,1,1,1,1,2,0.2,1,4,0.08,1,1.0,0.0003762227238525207
204,Fogao Mueller Piacere Vetro 4 Bcs G6 60123005,7908156901697,fogoes,970.9355115890503,1,1,1,1,4,0.4,1,7,0.14,1,1.0,0.0003762227238525207
205,Fogão Mônaco 4 Bocas Automático Mesa de Inox Atlas,7897180505318,fogoes,970.9355115890503,1,1,1,1,4,0.4,1,19,0.38,1,1.0,0.0003762227238525207
206,Fogao A Gas Gemini 2 Q Vetro Preto Fosco Gás Glp,7898456264670,fogoes,970.9355115890503,1,1,1,1,2,0.2,1,6,0.12,1,1.0,0.0003762227238525207
