indice,titulo,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
0,Fogao A gas picasso vitreo 6 Q preto fosco gás glp,7899552142503,https://www.americanas.com.br/produto/2109899890,fogoes,2763.6705412864685,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0009578544061302681
3,Fogão 4 Bocas Essencial Automático Mesa de Vidro Bivolt Itatiaia Inox,7892946411780,https://www.americanas.com.br/produto/4913120402,fogoes,2763.6705412864685,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0009578544061302681
6,Fogão de Piso Electrolux 76DXV à Gás 5 Queimadores 2 Fornos Prata 110V 33052VBA188,7909569000502,https://www.americanas.com.br/produto/2221616941,fogoes,2763.6705412864685,0,0,0,0,0,0.0,0,0,0.0,55,0.01818181818181818,0.013170498084291188
8,Fogão de Piso com Acendimento Automático Star 5 Bocas Itatiaia,7892946404805,https://www.americanas.com.br/produto/3521104358,fogoes,2763.6705412864685,0,0,0,1,2,0.2,1,2,0.04,3,0.3333333333333333,0.0007183908045977011
11,Fogão de Piso Itatiaia Waves 4 Bocas Acendimento Automático,7892946310397,https://www.americanas.com.br/produto/119725818,fogoes,2763.6705412864685,0,0,0,1,2,0.2,1,2,0.04,6,0.16666666666666666,0.0014367816091954023
24,Fogão 4 Bocas Clarice Delicato Plus Glass Preto Bivolt,7898342104875,https://www.americanas.com.br/produto/77420080,fogoes,2763.6705412864685,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
27,Fogão Brastemp 5 Bocas Cor Inox Com Botões Removíveis E Exclusivo Aro Protetor - BFS5NCR BIVOLT,7891129264373,https://www.amazon.com.br/Fog%C3%A3o-Brastemp-Bocas-BFS5NCR-Bivolt/dp/B07FTLJ99J,fogoes,2763.6705412864685,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00023946360153256704
28,Fogão a Gás Del Plus Vítreo 5 Bc Verde glp Venax,7899552141186,https://www.americanas.com.br/produto/1393118404,fogoes,2763.6705412864685,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
36,Fogão de Piso Mesa de Vidro Front Control 5 Queimadores Branco Bivolt Suggar,7908312800352,https://www.americanas.com.br/produto/4969689500,fogoes,2763.6705412864685,0,0,0,1,3,0.3,1,3,0.06,2,0.5,0.0004789272030651341
39,Fogão 5B Fischer Gran Cheff Grill Auto Acendimento Inox 220V,7896513318243,https://www.americanas.com.br/produto/4202970881,fogoes,2763.6705412864685,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0009578544061302681
41,Fogão Itatiaia Dream 5 Bocas Preto Tripla Chama Bivolt,7892946311196,https://www.americanas.com.br/produto/4820514306,fogoes,2763.6705412864685,0,0,0,1,3,0.3,1,3,0.06,2,0.5,0.0004789272030651341
42,Fogão Atlas Agile Up Glass 5 Bocas Acendimento Automático Preto,7897180506322,https://www.americanas.com.br/produto/5080081591,fogoes,2763.6705412864685,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.00023946360153256704
43,Fogão a Gás de Piso 5 Bocas Dako Turbo Glass,7897180503031,https://www.americanas.com.br/produto/3735527735,fogoes,2763.6705412864685,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00023946360153256704
48,"Fogão 5 Bocas de Piso Electrolux, Ultra Chama, Silver - 76LSU",7909569000274,https://www.americanas.com.br/produto/2871307614,fogoes,2763.6705412864685,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0004789272030651341
