indice,titulo,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
10,Frigobar 117L consul - CRC12CBBNA,7891129224070,https://www.americanas.com.br/produto/4883384924,geladeiras,2763.6705412864685,0,0,0,1,2,0.2,1,2,0.04,4,0.25,0.0009578544061302681
23,Refrigerador Frost Free Duplex 340litros CRM39AKANA Consul,7891129514232,https://www.americanas.com.br/produto/4837906955,geladeiras,2763.6705412864685,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00023946360153256704
86,Geladeira Brastemp Frost Free 2 Portas BRM56 462L Inox - 110v,7891129251571,https://www.americanas.com.br/produto/132718911,geladeiras,2763.6705412864685,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0009578544061302681
93,Geladeira Consul Frost Free Duplex 397 litros com Freezer Embaixo cor inox - CRE44AK 110V,7891129499751,https://www.amazon.com.br/gp/offer-listing/B07WGQQRXN,geladeiras,2763.6705412864685,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00023946360153256704
98,Geladeira Consul Frost Free Duplex CRM50 410L Espaço Flex Inox com Controle Interno de Temperatura - 110v,7891129506022,https://www.americanas.com.br/produto/3144925483,geladeiras,2763.6705412864685,0,0,0,0,0,0.0,1,1,0.02,11,0.09090909090909091,0.0026340996168582377
104,Refrigerador Philco Side By Side PRF533I 220v,7891356086892,https://www.americanas.com.br/produto/3419495292,geladeiras,2763.6705412864685,0,0,0,1,1,0.1,1,2,0.04,2,0.5,0.0004789272030651341
126,Geladeira Consul Cycle Defrost Duplex 334 Litros CRD37EB,7891129195455,https://www.americanas.com.br/produto/3072040175,geladeiras,2763.6705412864685,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0004789272030651341
135,Geladeira Consul Frost Free Duplex 386 litros Branca com Prateleira Dobrável,7891129246737,https://www.americanas.com.br/produto/5148393445,geladeiras,2763.6705412864685,0,0,0,0,0,0.0,1,1,0.02,12,0.08333333333333333,0.0028735632183908046
157,Geladeira Frost Free DB84 Electrolux 598 Litros Duplex Branco 110V,7896584073553,https://www.americanas.com.br/produto/5141300429,geladeiras,2763.6705412864685,0,0,0,1,2,0.2,1,2,0.04,2,0.5,0.0004789272030651341
188,Geladeira Duplex Invertida 397 Litros CRE44 Frost Free Consul,7891129499768,https://www.americanas.com.br/produto/5010355702,geladeiras,2763.6705412864685,0,0,0,1,1,0.1,1,1,0.02,7,0.14285714285714285,0.0016762452107279694
201,Refrigerador Brastemp Frost Free Duplex 375 Litros com Espaço Adapt Branco BRM45HB – 127 Volts,7891129252745,https://www.americanas.com.br/produto/2765640368,geladeiras,2763.6705412864685,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00023946360153256704
214,Refrigerador / Geladeira Continental Frost Free 2 Portas 370 Litros - TC41,7909569003091,https://www.americanas.com.br/produto/3735416648,geladeiras,2763.6705412864685,0,0,0,1,4,0.4,1,4,0.08,2,0.5,0.0004789272030651341
245,Frigobar Consul 117L CRC12 - 110V,7891129224063,https://www.americanas.com.br/produto/119934610,geladeiras,2763.6705412864685,0,0,0,1,2,0.2,1,2,0.04,2,0.5,0.0004789272030651341
271,Geladeira Panasonic Generation Frost Free 435L Aço Escovado,7896067226964,https://www.americanas.com.br/produto/3326995394,geladeiras,2763.6705412864685,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
285,Refrigerador Panasonic NR-BB53GV3WAB 425L White Glass,7896067227145,https://www.americanas.com.br/produto/2449594152,geladeiras,2763.6705412864685,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
286,Refrigerador Side Inverse Brastemp de 03 Portas Frost Free com 540 Litros Painel Eletrônico Inox - BRO81AR,7891129491717,https://www.americanas.com.br/produto/1546721889,geladeiras,2763.6705412864685,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
323,Refrigerador Side by Side LG New Lancaster Instaview 601 litros 220v - GC-X247CSBV,8806098346189,https://www.americanas.com.br/produto/227203881,geladeiras,2763.6705412864685,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
357,Geladeira Brastemp Frost Free 375 litros cor inox - BRM45HK 220V,7891129252776,https://www.amazon.com.br/Geladeira-Brastemp-Duplex-litros-Espa%C3%A7o/dp/B07JBHRNLK,geladeiras,2763.6705412864685,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
369,Refrigerador / Geladeira LG Bottom Freezer Universe Refresh 451L,8806098423927,https://www.americanas.com.br/produto/5017788826,geladeiras,2763.6705412864685,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00023946360153256704
372,Refrigerador Consul Frost Free 342 Litros Com Controle De Temperatura Crb39 Branco 220v,7891129185418,https://www.americanas.com.br/produto/5200633161,geladeiras,2763.6705412864685,0,0,0,1,2,0.2,1,2,0.04,2,0.5,0.0004789272030651341
379,Geladeira Top Freezer DW44S Com Dispenser de Água Platinum 400L,7896584097993,https://www.americanas.com.br/produto/83562531,geladeiras,2763.6705412864685,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
410,Geladeira Brastemp Frost Free Side Inverse 540 litros cor Inox com Ice Maker - BRO80AK 220V,7891129220010,https://www.amazon.com.br/Geladeira-Frost-Inverse-Portas-Platinum/dp/B076B9DHN4,geladeiras,2763.6705412864685,0,0,0,1,2,0.2,1,2,0.04,4,0.25,0.0009578544061302681
429,Refrigerador ngv 10 vermelho 12/24 V,7899552144378,https://www.americanas.com.br/produto/3653184222,geladeiras,2763.6705412864685,0,0,0,0,0,0.0,1,1,0.02,14,0.07142857142857142,0.003352490421455939
435,"Refrigerador Philco 467 Litros PRF505TI, Frost Free, Inverter, 2 Portas, Inox 110V",7891356090592,https://www.americanas.com.br/produto/5189296385,geladeiras,2763.6705412864685,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
442,Refrigerador Smart LG Side By Side Door In Door 601L Inox 220V GS65SDN1,6934585684468,https://www.americanas.com.br/produto/4914217521,geladeiras,2763.6705412864685,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00023946360153256704
499,Geladeira/Refrigerador Samsung French Door RF27T5501SG Black Inox 614L Family Hub SmartThings (Wi-Fi) - 127v,8806090402944,https://www.americanas.com.br/produto/2492546025,geladeiras,2763.6705412864685,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
501,Geladeira Consul Cycle Defrost Duplex CRD37EB 334 litros com Freezer Supercapacidade Branca - 110V,7891129195448,https://www.americanas.com.br/produto/110267814,geladeiras,2763.6705412864685,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0007183908045977011
531,Refrigerador Continental Tc56 Frost Free Duplex 472 Litros,7909569003022,https://www.americanas.com.br/produto/2298984451,geladeiras,2763.6705412864685,0,0,0,1,4,0.4,1,4,0.08,3,0.3333333333333333,0.0007183908045977011
557,Refrigerador Esmaltec RCD34 Black 276L 2 Portas,7899081732084,https://www.americanas.com.br/produto/247379251,geladeiras,2763.6705412864685,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
582,Geladeira/Refrigerador Frost Free Electrolux 322L Branco (RFE39) 127V,7896584060478,https://www.amazon.com.br/gp/offer-listing/B076BB82XH,geladeiras,2763.6705412864685,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
607,Geladeira / Refrigerador Panasonic Duplex NR-BT55PV2WB Top Freezer Frost Free 483L Branco,7896067226933,https://www.americanas.com.br/produto/2174972951,geladeiras,2763.6705412864685,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00023946360153256704
608,Refrigerador Multi Door Cinza Cuisinart Arkton,7899100675002,https://www.americanas.com.br/produto/3293231240,geladeiras,2763.6705412864685,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
618,Frigobar Philco 85l Porta De Vidro Pfg85pg 127v,7891356078057,https://www.americanas.com.br/produto/4707065342,geladeiras,2763.6705412864685,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
622,Refrigerador Philco Side By Side 437L Eco Inverter 127v,7891356086885,https://www.americanas.com.br/produto/3374195068,geladeiras,2763.6705412864685,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00023946360153256704
662,REFRIGERADOR NGV 10 AMARELO,7899552101388,https://www.americanas.com.br/produto/3116181931,geladeiras,2763.6705412864685,0,0,0,1,1,0.1,1,2,0.04,9,0.1111111111111111,0.0021551724137931034
666,Refrigerador ngv 10 amarelo 12/24 V,7899552144361,https://www.americanas.com.br/produto/3652278577,geladeiras,2763.6705412864685,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
701,Refrigerador 400 Litros Brastemp 2 Portas Frost Free BRM54HB,7891129252837,https://www.americanas.com.br/produto/2963093650,geladeiras,2763.6705412864685,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00023946360153256704
719,"Geladeira/Refrigerador Philco Side by Side PRF520DI, Frost Free, 2 Portas, 520 Litros, Inox",7891356080067,https://www.americanas.com.br/produto/1620824490,geladeiras,2763.6705412864685,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
745,Mini Geladeira 15 Litros preta Mini Cool,7898656530018,https://www.americanas.com.br/produto/36649330,geladeiras,2763.6705412864685,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0009578544061302681
752,Geladeira/Refrigerador Consul 386 Litros 2 Portas Frost Free Classe A CRM43,7891129246720,https://www.americanas.com.br/produto/4734543434,geladeiras,2763.6705412864685,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00023946360153256704
780,Frigobar 79L Electrolux - Re80 110V,7896584035544,https://www.americanas.com.br/produto/4883384617,geladeiras,2763.6705412864685,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0004789272030651341
782,Refrigerador Philco French Door 403l PRF411I Inverter 127V,7891356083754,https://www.americanas.com.br/produto/4019971528,geladeiras,2763.6705412864685,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
804,Refrigerador ngv 10 vermelho,7899552101401,https://www.americanas.com.br/produto/3193713997,geladeiras,2763.6705412864685,0,0,0,0,0,0.0,1,1,0.02,16,0.0625,0.0038314176245210726
814,Mini Geladeira Frigobar Multilaser Portatil 10l 110/12v,7899838866574,https://www.americanas.com.br/produto/2285235574,geladeiras,2763.6705412864685,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00023946360153256704
828,Frigobar Midea 71 Litros Branco MRC08B1 110v 110v,7908198000150,https://www.americanas.com.br/produto/2611763074,geladeiras,2763.6705412864685,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
870,Frigobar 93 Litros Inox Classe A 220V Midea MRC10B2-X,7908198000587,https://www.americanas.com.br/produto/4243108307,geladeiras,2763.6705412864685,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
890,Refrigerador Consul 386l Frost Free - Crm43 Platinum 110v,7891129240636,https://www.americanas.com.br/produto/4897922501,geladeiras,2763.6705412864685,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00023946360153256704
926,Geladeira Electrolux DFX41 Frost Free Duplex 371 Litros Inox,7896584071962,https://www.americanas.com.br/produto/5079367613,geladeiras,2763.6705412864685,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
