indice,titulo,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
0,Fogão 5 Bocas Realce Iris Plus Vidro Temperado Branco Bivolt,7899639785920,https://www.americanas.com.br/produto/1641356251,fogoes,2730.145719766617,0,0,0,0,0,0.0,0,0,0.0,145,0.006896551724137931,0.04993112947658402
1,Fogão 5 Bocas Mônaco Top Glass Atlas Automático com Mega chama - Preto,7897180505165,https://www.americanas.com.br/produto/1733144651,fogoes,2730.145719766617,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003443526170798898
2,"Smart TV 65 uhd 4K Samsung 65AU7700, Processador Crystal 4K, Tela sem limites, Visual Livre de Cabos, Alexa built in, Controle Único",7892509117937,https://www.americanas.com.br/produto/4398507775,tvs,2730.145719766617,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003443526170798898
3,Fogão 5 Bocas Mesa de Vidro Horus Com Acendimento Total Top Control Glass Bivolt Braslar - Preto,7898385061586,https://www.americanas.com.br/produto/1827229874,fogoes,2730.145719766617,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
4,Notebook lenovo BS145-15IIL I3 1005G1 4GB 500GB 15.6 dos,195348259293,https://www.americanas.com.br/produto/4551397286,notebooks,2730.145719766617,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
6,Notebook Ultra 15 Pol Core I5 8Gb 1Tb Hdd Windows 10 Prata - Ub521,7908414412859,https://www.americanas.com.br/produto/3662629289,notebooks,2730.145719766617,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
7,"Notebook Asus X543MA-GQ1300W Windows 11 15,6 Polegadas 500GB 4GB ram Celeron wi-fi",7898573298534,https://www.americanas.com.br/produto/4768925465,notebooks,2730.145719766617,0,0,0,1,1,0.1,1,1,0.02,8,0.125,0.0027548209366391185
8,Smartphone Multilaser E Lite 32gb Dourado Tela 4.0 Pol 3g,7899838889214,https://www.americanas.com.br/produto/1983758671,celulares,2730.145719766617,1,1,1,1,1,0.1,1,3,0.06,1,1.0,0.0003443526170798898
9,Fogão Itatiaia Vitrum 4 Bocas Mesa de Vidro com Timer Digital,7892946336663,https://www.americanas.com.br/produto/4432001517,fogoes,2730.145719766617,0,0,0,1,1,0.1,1,1,0.02,6,0.16666666666666666,0.002066115702479339
10,Fogão 5 bocas Mueller Decorato Gourmet Preto Fosco com mesa em inox escovado Bivolt,7908156903189,https://www.americanas.com.br/produto/4606561398,fogoes,2730.145719766617,0,0,0,1,1,0.1,1,1,0.02,5,0.2,0.001721763085399449
11,"Notebook Vaio FE14 VJFE42F11X-B1521H Intel Core i3-10110U 4GB 128GB SSD FHD Linux 14"" Chumbo Escuro",7896904697506,https://www.americanas.com.br/produto/3386663498,notebooks,2730.145719766617,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
12,Kit Philco Smartphone PCS02P Hit Plus + Speaker Go PBS10BTA,7891356102943,https://www.americanas.com.br/produto/3276131554,celulares,2730.145719766617,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
13,Fogão Dream 5 Bocas - Branco,7892946310434,https://www.americanas.com.br/produto/1675131471,fogoes,2730.145719766617,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003443526170798898
14,Fogão 4 Bocas Bali Esmaltec,7899081743394,https://www.americanas.com.br/produto/3046939275,fogoes,2730.145719766617,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003443526170798898
15,Fogão Atlas 5 Bocas Agile Up Glass Bivolt com Trempes Aneladas? Preto,7897180506322,https://www.americanas.com.br/produto/4973228714,fogoes,2730.145719766617,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.0003443526170798898
16,"Samsung Smart TV 50"" QLED 4K The Frame 2021 50LS03A Design Slim Suporte de Parede Slim Incluso Única Conexão Molduras Customizáveis Modo Arte",7892509117562,https://www.americanas.com.br/produto/3060872986,tvs,2730.145719766617,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
