indice,titulo,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
7,"Relé solenoide de partida, 12V 4 terminais resistente ao desgaste B6AZ-11450-A vermelho substituição do interruptor do relé solenoide para AEROSTAR 2.8L 171 V6 1986 para carro",7448513007469,notebooks,3335.2637803554535,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
21,Notebook Samsung Core i5-1135G7 8GB 256GB ssd Tela Full HD 15.6 Windows 10 Book NP550XDA-KF2BR,7892509117128,notebooks,3335.2637803554535,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.00012540757461750688
26,"Linha de escova de celular, cabo de porta aberta ampla compatível com desbloqueio de dados avançado 9008 modo branco para engenharia de bloqueios BL",7418914658812,notebooks,3335.2637803554535,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
32,"HP Pavilion x360 2-in-1 Laptop, 11.6"" HD IPS Touchscreen Display, 4-Core Pentium Silver N5030 up to 3.1GHz, UHD Graphics 605, 4GB DDR4 RAM, 1TB PCIe SSD, USB-C, HDMI, SD Reader, QWERTY US KB, Win 11",850001844093,notebooks,3335.2637803554535,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
45,Notebook Acer Aspire 3 Celeron W10 Home 4GB 256GB ssd 14 Polegadas A314-35-C4CZ,4710886653042,notebooks,3335.2637803554535,1,1,1,1,7,0.7,1,7,0.14,1,1.0,0.00012540757461750688
61,Strobe Mkp-108Wa Rc Led Branco 36X108W,7908494600283,notebooks,3335.2637803554535,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
62,Kit Notebook Dell Alienware m15 R6 AW15-i1100-A30PH 15.6 fhd 11ª ger Intel Core i7 16GB 1TB ssd rtx 3070 Win 11 Headset,7899864942471,notebooks,3335.2637803554535,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
64,Notebook Ultra Windows 10 Home Processador Intel Pentium,7908414412774,notebooks,3335.2637803554535,1,1,1,1,8,0.8,1,8,0.16,1,1.0,0.00012540757461750688
88,"Notebook Dell Inspiron i14-3467-M20P 7ª Geração Intel Core i5 4GB 1TB 14"" HD Windows 10",7899864915093,notebooks,3335.2637803554535,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
96,Notebook Aspire 3 I5 4GB 256GB SSD Linux - Acer,4710886059059,notebooks,3335.2637803554535,1,1,1,1,6,0.6,1,7,0.14,1,1.0,0.00012540757461750688
106,"Dell Chromebook 11 3000 3100 11,6"" Rugged Chromebook - HD - 1366 x 768 - Intel Celeron N4020 Dual-core (2 Core) - 4 GB RAM - 16 GB de memória flash - Preto",884116402381,notebooks,3335.2637803554535,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
113,"Notebook Lenovo Yoga 9i 2 em 1 14"" i7-1185G7 8GB 512GB SSD Placa de Vídeo Intel Iris Xe W11 FHD WVA",196119536391,notebooks,3335.2637803554535,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
115,"Notebook Samsung Book 15,6 fhd Intel Celeron 6305 128GB ssd 4GB Windows 10 Pro - NP550XDA-KO7BR",7892509119511,notebooks,3335.2637803554535,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
