indice,titulo,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
5,"Smart TV 4K Samsung qled 75 com Design Slim, Alexa built in e Wi-Fi - 75Q70AA",7892509117593,https://www.americanas.com.br/produto/3249116279,tvs,944.9534707069397,0,0,0,1,1,0.1,1,2,0.04,10,0.1,0.004967709885742673
19,Smart Tv Uhd 4k 55 Wifi Preto Bivolt,7908414412934,https://www.americanas.com.br/produto/4375961342,tvs,944.9534707069397,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0004967709885742673
22,"SAMSUNG, TV Smart 65 Uhd 4K UN65AU7700GXZD",7892509117937,https://www.amazon.com.br/SAMSUNG-TV-Smart-Uhd-UN65AU7700GXZD/dp/B09JL78HRN,tvs,944.9534707069397,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0014903129657228018
28,TV Philco PTV39G50D d-led 39,7891356086595,https://www.americanas.com.br/produto/4660650164,tvs,944.9534707069397,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0004967709885742673
34,Smart TV Samsung Crystal uhd 4K 55AU9000 Design Slim Som em Movimento Virtual Visual Sem Cabos 55,7892509117463,https://www.americanas.com.br/produto/3253030380,tvs,944.9534707069397,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0004967709885742673
39,Tela 24 Polegadas HD Multilaser - TL037,7908414412880,https://www.americanas.com.br/produto/4100399135,tvs,944.9534707069397,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0004967709885742673
51,TV Led LH65BEAHV 65 Smart Ultra Hd 4k Crystal 3HDMI 1USB Samsung,7892509118156,https://www.americanas.com.br/produto/4955585321,tvs,944.9534707069397,0,0,0,1,3,0.3,1,3,0.06,2,0.5,0.0009935419771485345
57,Smart TV LED 32 HD Multilaser TL020 Conversor Digital Externo 3 hdmi 2 USB Wi-Fi,7899838894744,https://www.americanas.com.br/produto/4880613701,tvs,944.9534707069397,0,0,0,1,2,0.2,1,2,0.04,3,0.3333333333333333,0.0014903129657228018
63,"Smart Tv 85"" Crystal UHD Samsung 4k 85AU8000 Painel Dynamic Crystal Color Design Slim Tela Sem Limites",7892509117531,https://www.americanas.com.br/produto/3069507846,tvs,944.9534707069397,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0004967709885742673
68,"Smart TV Samsung 50 led, Crystal Ultra HD 4K, Wi-Fi, USB - LH50BEAHVGGXZD",7892509118132,https://www.americanas.com.br/produto/3457012280,tvs,944.9534707069397,0,0,0,1,1,0.1,1,1,0.02,5,0.2,0.0024838549428713363
71,"Smart TV LED 32"" HD LG 32LM621CBSB.A, 3 HDMI, 2 USB, Bluetooth, Wi-Fi, Active HDR, ThinQ AI",7893299912252,https://www.amazon.com.br/Smart-LG-Bluetooth-Active-32LM621CBSB/dp/B07WBV8CCJ,tvs,944.9534707069397,0,0,0,1,2,0.2,1,2,0.04,3,0.3333333333333333,0.0014903129657228018
85,"Samsung Smart TV 65"" QLED 4K The Frame 2021 65LS03A Design Slim Suporte de Parede Slim Incluso Única Conexão",7892509117418,https://www.americanas.com.br/produto/3060873541,tvs,944.9534707069397,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0004967709885742673
93,Smart TV LG LED 75 Polegadas 4K uhd hdr Wi-Fi WebOS 6.0 Comando de Voz 75UP8050PSB,7893299915765,https://www.americanas.com.br/produto/4319097385,tvs,944.9534707069397,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0004967709885742673
125,Smart TV Roku Led 50 Philco uhd 4K Bivolt Netflix,7891356090912,https://www.americanas.com.br/produto/4850707002,tvs,944.9534707069397,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0004967709885742673
127,Smart TV Samsung Neo qled 4K 55QN90A Design slim Mini Led Processador ia Som em Movimento Plus 55,7892509117517,https://www.americanas.com.br/produto/3261352549,tvs,944.9534707069397,0,0,0,1,2,0.2,1,2,0.04,3,0.3333333333333333,0.0014903129657228018
132,"Semp, Roku TV LED 32” SEMP R5500 HD",7899968301143,https://www.amazon.com.br/Semp-Roku-LED-SEMP-R5500/dp/B09GH3J1XL,tvs,944.9534707069397,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0004967709885742673
140,Smart TV 4K qled 55 tcl C715 Android Wi-Fi Bluetooth hdr 3 hdmi 2 USB,7899968301013,https://www.americanas.com.br/produto/4339303764,tvs,944.9534707069397,0,0,0,1,1,0.1,1,1,0.02,6,0.16666666666666666,0.0029806259314456036
189,Smart TV LED 55” LG 55NANO80 4K NanoCell 4x Hdmi 2.0 Inteligência Artificial Thinqai Smart Magic Google Alexa,7893299915772,https://www.americanas.com.br/produto/3280459712,tvs,944.9534707069397,0,0,0,1,2,0.2,1,3,0.06,3,0.3333333333333333,0.0014903129657228018
190,Smart TV LG 55 LED 4K Wi-Fi Bluetooth hdr Thinq ai Google Assis. Alexa - 55UP751C0SF. BWZ,7893299916908,https://www.americanas.com.br/produto/4777755496,tvs,944.9534707069397,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0004967709885742673
