indice,titulo,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
4,"Smartphone Samsung Galaxy A02 32GB 13MP 6,5 Vermelho",7892509117708,https://www.amazon.com.br/Smartphone-Samsung-Galaxy-32GB-Vermelho/dp/B08ZVTCGMD/ref=sr_1_1275?qid=1651784112&s=wireless&sr=1-1275&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,celulares,2760.456784963608,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
9,Smartphone multilaser E pro 32GB 4G tela 5 dual 1GB ram,7908414420236,https://www.americanas.com.br/produto/5081092743,celulares,2760.456784963608,0,0,0,1,4,0.4,1,4,0.08,2,0.5,0.0004789272030651341
55,"Smartphone Samsung Galaxy Z Flip3 256GB 5G Wi-Fi Tela 6,7'' Dual Chip 8GB RAM Câmera Dupla + Selfie 10MP - Preto",7892509120531,https://www.americanas.com.br/produto/3823877401,celulares,2760.456784963608,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0004789272030651341
147,Smartphone Moto G20 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Azul,7892597351114,https://www.americanas.com.br/produto/3171318769,celulares,2760.456784963608,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00023946360153256704
172,Smartphone Samsung Galaxy A12 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 8MP - Vermelho,7892509116886,https://www.americanas.com.br/produto/2655733635,celulares,2760.456784963608,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0009578544061302681
182,Smartphone Multilaser E Pro 32GB 4G wi-fi Dourado Tela 5.0 Dual Chip 1GB ram Câmera 5MP + Selfie 5MP Android 11 Go - P9151,7908414420243,https://www.americanas.com.br/produto/4888023159,celulares,2760.456784963608,0,0,0,1,4,0.4,1,4,0.08,2,0.5,0.0004789272030651341
229,"Smartphone Samsung Galaxy S22 Ultra 256GB 5G com caneta S pen - Vinho, Câmera Tripla 108MP + Selfie 40MP, ram 8GB, Tela 6.8",7892509122122,https://www.americanas.com.br/produto/4986862183,celulares,2760.456784963608,0,0,0,1,1,0.1,1,1,0.02,5,0.2,0.0011973180076628352
246,"Smartphone Samsung Galaxy J4 Core SM-J410GZKJZTO, 16 GB, Tela 6'', Preto",7892509103107,https://www.amazon.com.br/Smartphone-Samsung-Galaxy-SM-J410GZKJZTO-Preto/dp/B07LBWKPMY/ref=sr_1_1533?qid=1651784126&s=wireless&sr=1-1533,celulares,2760.456784963608,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
267,Smartphone Motorola Moto G31 128GB 4G Wi-Fi Tela 6.4'' Dual Chip 4GB RAM Câmera Tripla + Selfie 13MP - Grafite,7892597351640,https://www.americanas.com.br/produto/4447197866,celulares,2760.456784963608,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0004789272030651341
293,Smartphone GMax 2 P9157 Tela 6.5 64GB 2GB ram Multilaser,7908414420304,https://www.americanas.com.br/produto/4782017527,celulares,2760.456784963608,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00023946360153256704
