indice,titulo,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
1,Fogao A gas maxi vitreo 4 Q branco gas glp,7899552140899,https://www.americanas.com.br/produto/43421496,fogoes,950.6701033115387,0,0,0,1,1,0.1,1,1,0.02,5,0.2,0.0028089887640449437
3,Fogão de Piso com Acendimento Automático Star 5 Bocas Itatiaia,7892946404805,https://www.americanas.com.br/produto/3521104358,fogoes,950.6701033115387,0,0,0,0,0,0.0,0,0,0.0,130,0.007692307692307693,0.07303370786516854
8,Fogão de Piso 5 Bocas Electrolux 76LBU Branco Bivolt,7909569000267,https://www.americanas.com.br/produto/5015857007,fogoes,950.6701033115387,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0005617977528089888
13,Fogão Itatiaia Waves 4 Bocas All Black Bivolt 3700000042,7892946327388,https://www.americanas.com.br/produto/4825196685,fogoes,950.6701033115387,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0005617977528089888
14,Fogao A gas palladio vitreo 4 Q branco gás glp,7899552141018,https://www.americanas.com.br/produto/4018709667,fogoes,950.6701033115387,0,0,0,0,0,0.0,1,1,0.02,41,0.024390243902439025,0.023033707865168538
15,Fogão de Piso Fischer 4Q Gran Cheff Gás,7896513318199,https://www.americanas.com.br/produto/4709515597,fogoes,950.6701033115387,0,0,0,0,0,0.0,0,0,0.0,160,0.00625,0.0898876404494382
17,Fogão 4 bocas Mueller Fratello Grafite acendimento automático Bivolt,7908156900911,https://www.americanas.com.br/produto/4606558033,fogoes,950.6701033115387,0,0,0,1,1,0.1,1,2,0.04,7,0.14285714285714285,0.003932584269662922
19,Fogao A Gas Maxi Vitreo 5 Q Preto Fosco Gás Glp,7899552141759,https://www.americanas.com.br/produto/3193710243,fogoes,950.6701033115387,0,0,0,0,0,0.0,0,0,0.0,79,0.012658227848101266,0.044382022471910115
23,Fogao Mueller Fratello Vetro 4bcs 601230011,7908156900386,https://www.americanas.com.br/produto/3943379175,fogoes,950.6701033115387,1,1,1,1,1,0.1,1,4,0.08,1,1.0,0.0005617977528089888
25,Fogão Mueller 5 Bocas Fratello Vetro Branco Bivolt,7908156900416,https://www.amazon.com.br/Fog%C3%A3o-Mueller-Fratello-Branco-Bivolt/dp/B07Y5WQLDT,fogoes,950.6701033115387,1,1,1,1,2,0.2,1,5,0.1,1,1.0,0.0005617977528089888
26,Fogão De Piso 6 Bocas A Gás glp Venax Delplus Vítreo Bivolt Preto,7899552142381,https://www.americanas.com.br/produto/43409369,fogoes,950.6701033115387,0,0,0,0,0,0.0,1,1,0.02,13,0.07692307692307693,0.007303370786516854
27,Fogão Cooktop Fischer 2Q Elétrico Mesa Vitrocerâmica Preto 220V,7896513310483,https://www.amazon.com.br/Cooktop-Domino-2Q-Vitroceramico-Fischer/dp/B076JLKDC2,fogoes,950.6701033115387,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
28,Fogao realce iris glass 5B,7899639786057,https://www.americanas.com.br/produto/5163819387,fogoes,950.6701033115387,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0016853932584269663
29,Fogão Dako Supreme Glass 5 Bocas Branco - Bivolt,7897180504311,https://www.americanas.com.br/produto/1687536222,fogoes,950.6701033115387,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0005617977528089888
32,Fogão 4 Bocas Itatiaia Dream Preto Bivolt,7892946311189,https://www.americanas.com.br/produto/119725957,fogoes,950.6701033115387,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
33,Fogão Atlas Mônaco Top Glass 5 Bocas Preto - Bivolt,7897180505165,https://www.americanas.com.br/produto/2962317439,fogoes,950.6701033115387,1,1,1,1,1,0.1,1,2,0.04,1,1.0,0.0005617977528089888
37,Fogão Atlas 5Bocas New Fastcook,7897180507619,https://www.americanas.com.br/produto/4860910573,fogoes,950.6701033115387,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0022471910112359553
38,Fogão 4 bocas Turbo Glass Mesa de vidro Preto Dako Bivolt,7897180503024,https://www.americanas.com.br/produto/1473970162,fogoes,950.6701033115387,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0005617977528089888
39,Fogão 4 bocas Mueller Piacere Vetro Branco com Mesa de Vidro Bivolt,7908156901772,https://www.americanas.com.br/produto/4606560176,fogoes,950.6701033115387,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
40,Fogão de Piso Esmaltec 5 Bocas Topázio Branco Bivolt,7899081729497,https://www.americanas.com.br/produto/122619821,fogoes,950.6701033115387,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0022471910112359553
44,Fogão Ares 4 bocas Branco,7899639700091,https://www.americanas.com.br/produto/4031593654,fogoes,950.6701033115387,0,0,0,0,0,0.0,1,1,0.02,28,0.03571428571428571,0.015730337078651686
47,Fogão 5 bocas Mueller Piacere Vetro Branco com mesa de vidro e queimador central tripla chama Bivolt,7908156901789,https://www.americanas.com.br/produto/4606579221,fogoes,950.6701033115387,0,0,0,1,1,0.1,1,2,0.04,2,0.5,0.0011235955056179776
56,Fogão Atlas 5 Bocas Agile up Glass Mesa Vidro Forno- Preto,7897180506322,https://www.americanas.com.br/produto/4932350799,fogoes,950.6701033115387,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.0005617977528089888
72,Fogão Vitrum 5 Bocas - Branco,7892946336120,https://www.americanas.com.br/produto/4730487130,fogoes,950.6701033115387,1,1,1,1,2,0.2,1,3,0.06,1,1.0,0.0005617977528089888
75,Fogão De Piso Atlas 5 Bocas Monaco Plus Branco Bvolt,7897180505349,https://www.americanas.com.br/produto/4880066429,fogoes,950.6701033115387,0,0,0,0,0,0.0,1,1,0.02,36,0.027777777777777776,0.020224719101123594
76,Fogão 5 Bocas Preto com Frente em Vidro Preto e Tripla Chama Dako Diplomata Bivolt,7897180508319,https://www.americanas.com.br/produto/5176273029,fogoes,950.6701033115387,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0005617977528089888
83,Fogao 5B mueller fratello vetro mesa vidro - 601230012,7908156900393,https://www.americanas.com.br/produto/4409281469,fogoes,950.6701033115387,0,0,0,0,0,0.0,0,0,0.0,295,0.003389830508474576,0.16573033707865167
84,Fogão 5 Bocas Fratello Vetro Mueller Preto Fosco,7908156900379,https://www.americanas.com.br/produto/234721601,fogoes,950.6701033115387,1,1,1,1,3,0.3,1,4,0.08,1,1.0,0.0005617977528089888
85,Fogão Mônaco Plus 4Bocas Bivolt Titanium Cinza - Atlas,7897180505318,https://www.americanas.com.br/produto/3117602689,fogoes,950.6701033115387,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0005617977528089888
88,Fogão Cook Top ultra chama 5 bocas - Chamalux,7897575153100,https://www.americanas.com.br/produto/4409456767,fogoes,950.6701033115387,0,0,0,0,0,0.0,0,0,0.0,75,0.013333333333333334,0.042134831460674156
89,Fogão A Gás glp Venax Gaudi 5 Bocas Grafite,7899552146440,https://www.americanas.com.br/produto/2736910031,fogoes,950.6701033115387,0,0,0,1,2,0.2,1,2,0.04,3,0.3333333333333333,0.0016853932584269663
90,"Fogão Ágata Glass 5 Bocas, Preto, Acendimento automático - Esmaltec",7899081743325,https://www.americanas.com.br/produto/104237838,fogoes,950.6701033115387,0,0,0,1,1,0.1,1,2,0.04,10,0.1,0.0056179775280898875
94,Fogão Atlas New Utop Mesa Inox 4 Bocas Branco/Preto Bivolt 300001217,7897180507978,https://www.americanas.com.br/produto/4914217302,fogoes,950.6701033115387,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0005617977528089888
96,Fogão a Gás Progás 2 Queimadores Baixa Pressão Pés PMS-200,7898466541891,https://www.americanas.com.br/produto/5047780260,fogoes,950.6701033115387,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0005617977528089888
99,Fogao 4b Mueller Moderatto S/acend - 601230018,7908156900805,https://www.americanas.com.br/produto/3824953613,fogoes,950.6701033115387,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0005617977528089888
103,Fogão Cooktop Fischer 4Q TC Gás Mesa Vidro Preto BIVOLT,7896513311121,https://www.amazon.com.br/Cooktop-Tripla-Frequ%C3%AAncia-50-60Hz-Fischer/dp/B076BD2VRF,fogoes,950.6701033115387,0,0,0,0,0,0.0,0,0,0.0,312,0.003205128205128205,0.1752808988764045
105,Fogão de Piso Mesa de Vidro Front Control 5 Queimadores Suggar,7908312800338,https://www.americanas.com.br/produto/1481628703,fogoes,950.6701033115387,0,0,0,0,0,0.0,1,2,0.04,30,0.03333333333333333,0.016853932584269662
110,Fogão De Piso 4 Bocas Acendimento Automático Preto Jade Glass Esmaltec,7899081743219,https://www.americanas.com.br/produto/1667487591,fogoes,950.6701033115387,0,0,0,0,0,0.0,1,2,0.04,33,0.030303030303030304,0.01853932584269663
111,Fogão 4 bocas Mueller Fratello Branco acendimento automático Bivolt,7908156900867,https://www.americanas.com.br/produto/4606557778,fogoes,950.6701033115387,0,0,0,1,1,0.1,1,1,0.02,7,0.14285714285714285,0.003932584269662922
117,Fogão Portátil Venax Mini Cook 2 Bocas Com Forno A Gás GLP Vermelho,7899552116054,https://www.americanas.com.br/produto/90779515,fogoes,950.6701033115387,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0022471910112359553
120,Fogão 4 Bocas Itatiaia Star Clean Branco Acendimento Manual Bivolt,7892946330067,https://www.americanas.com.br/produto/5027947843,fogoes,950.6701033115387,0,0,0,0,0,0.0,0,0,0.0,71,0.014084507042253521,0.039887640449438204
121,Fogão Dream 5 Bocas Acendimento Automático Itatiaia Preto Bivolt,7892946310434,https://www.americanas.com.br/produto/5004943014,fogoes,950.6701033115387,0,0,0,1,2,0.2,1,2,0.04,4,0.25,0.0022471910112359553
124,Fogão De Piso Dako 5 Bocas Acendimento Automático Magister Preto Bvolt,7897180505448,https://www.americanas.com.br/produto/4883007563,fogoes,950.6701033115387,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0005617977528089888
