indice,titulo,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
0,Fogão 5 Bocas Realce Iris Plus Vidro Temperado Branco Bivolt,7899639785920,fogoes,3121.8689093589783,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
1,Fogão 5 Bocas Mônaco Top Glass Atlas Automático com Mega chama - Preto,7897180505165,fogoes,3121.8689093589783,1,1,1,1,10,1.0,1,16,0.32,1,1.0,0.00012540757461750688
3,Fogão 5 Bocas Mesa de Vidro Horus Com Acendimento Total Top Control Glass Bivolt Braslar - Preto,7898385061586,fogoes,3121.8689093589783,1,1,1,1,9,0.9,1,9,0.18,1,1.0,0.00012540757461750688
5,Fogao A Gas Gaudi Vetro Vitreo 4 Bocas 127 V Gas Glp Amarelo - Venax,7899552141520,fogoes,3121.8689093589783,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.00012540757461750688
9,Fogão Itatiaia Vitrum 4 Bocas Mesa de Vidro com Timer Digital,7892946336663,fogoes,3121.8689093589783,1,1,1,1,6,0.6,1,8,0.16,1,1.0,0.00012540757461750688
10,Fogão 5 bocas Mueller Decorato Gourmet Preto Fosco com mesa em inox escovado Bivolt,7908156903189,fogoes,3121.8689093589783,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
13,Fogão Dream 5 Bocas - Branco,7892946310434,fogoes,3121.8689093589783,1,1,1,1,8,0.8,1,13,0.26,1,1.0,0.00012540757461750688
14,Fogão 4 Bocas Bali Esmaltec,7899081743394,fogoes,3121.8689093589783,1,1,1,1,6,0.6,1,19,0.38,1,1.0,0.00012540757461750688
15,Fogão Atlas 5 Bocas Agile Up Glass Bivolt com Trempes Aneladas? Preto,7897180506322,fogoes,3121.8689093589783,1,1,1,1,10,1.0,1,24,0.48,1,1.0,0.00012540757461750688
19,Fogão 5 Bocas New Top Glass Preto,7898385061272,fogoes,3121.8689093589783,1,1,1,1,5,0.5,1,6,0.12,1,1.0,0.00012540757461750688
22,Fogão 4 Bocas Mesa de Inox Sírius Plus com Acendimento Automático Braslar - Branco,7898385060459,fogoes,3121.8689093589783,1,1,1,1,9,0.9,1,9,0.18,1,1.0,0.00012540757461750688
23,Fogão Elétrico Profissional Portátil Mesa 1 Boca 220mm 1500W Esmeralda Inox Resistência Cotherm,7896981223926,fogoes,3121.8689093589783,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
26,Fogao 4b 2qs 2qd pmsd-402f p37402,7898466541983,fogoes,3121.8689093589783,1,1,1,1,4,0.4,1,7,0.14,1,1.0,0.00012540757461750688
28,Fogão A Gás 5 Bocas Realce Zeus Glass Mesa De Vidro Preto Bivolt,7899639789942,fogoes,3121.8689093589783,1,1,1,1,7,0.7,1,7,0.14,1,1.0,0.00012540757461750688
31,Fogão de Piso Itatiaia Vitrum 5 Bocas Mesa de Vidro com Timer Digital Preto Bivolt,7892946336632,fogoes,3121.8689093589783,1,1,1,1,10,1.0,1,33,0.66,1,1.0,0.00012540757461750688
40,Fogao a Gas Picasso Vitreo 6 Q Branco Gas Glp,7899552142480,fogoes,3121.8689093589783,1,1,1,1,8,0.8,1,11,0.22,1,1.0,0.00012540757461750688
46,Fogão Consul CFS5 5 Bocas Com Acendimento Automático Branco,7891129246225,fogoes,3121.8689093589783,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
50,Fogão de Piso 5 Bocas Atlas Mônaco com Acendimento Automático Limpa Fácil,7897180500214,fogoes,3121.8689093589783,1,1,1,1,7,0.7,1,9,0.18,1,1.0,0.00012540757461750688
51,Fogão Automático 5 Bocas Mueller Decorato Bivolt,7908156903172,fogoes,3121.8689093589783,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.00012540757461750688
52,Fogão A Gás glp Venax Da Vinci Vítreo 4 Bocas Preto Fosco,7899552140738,fogoes,3121.8689093589783,1,1,1,1,10,1.0,1,11,0.22,1,1.0,0.00012540757461750688
54,Fogao 5B mueller moderatto s/acend - 601230019,7908156900812,fogoes,3121.8689093589783,1,1,1,1,9,0.9,1,13,0.26,1,1.0,0.00012540757461750688
55,Fogão De Piso 6 Bocas A Gás glp Venax Delplus Vítreo Bivolt Preto,7899552142381,fogoes,3121.8689093589783,1,1,1,1,7,0.7,1,12,0.24,1,1.0,0.00012540757461750688
59,Fogão Elétrico Profissional 1 Boca 1500w Esmeralda - Cotherm,7896981223919,fogoes,3121.8689093589783,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
61,Fogão 2 Bocas Com Forno Gemini Venax - Amarelo,7898456266261,fogoes,3121.8689093589783,1,1,1,1,10,1.0,1,18,0.36,1,1.0,0.00012540757461750688
63,Fogão de Piso com Acendimento Manual Star Clean 4 Bocas Itatiaia,7892946330067,fogoes,3121.8689093589783,1,1,1,1,8,0.8,1,8,0.16,1,1.0,0.00012540757461750688
66,Fogão Itatiaia 4 Bocas Itaglass Acendimento Automático - Preto,7892946398098,fogoes,3121.8689093589783,1,1,1,1,10,1.0,1,34,0.68,1,1.0,0.00012540757461750688
