indice,titulo,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
8,"Refrigerador Side By Side Lg 601l Painel Touch, Dispenser, New Lancaster Gs65sdn 220v",6934585684468,geladeiras,962.4305944442749,1,1,1,1,6,0.6,1,9,0.18,1,1.0,0.0003762227238525207
16,Geladeira Lg Bottom Freezer 451 Litros Inox 110v Gc-b659bsb,8806098423927,geladeiras,962.4305944442749,1,1,1,1,7,0.7,1,7,0.14,1,1.0,0.0003762227238525207
36,Geladeira Brastemp 400L Frost Free com Painel Touch BRM54HBANA Branca,7891129252837,geladeiras,962.4305944442749,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.0003762227238525207
41,Geladeira/Refrigerador Consul 386 Litros 2 Portas Frost Free Classe A CRM43,7891129246720,geladeiras,962.4305944442749,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0003762227238525207
48,Frigobar Retrô Midea Preto Onix 95 Litros 127V,7908198003045,geladeiras,962.4305944442749,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
78,Geladeira Continental TC56 Frost Free 472L,7909569003022,geladeiras,962.4305944442749,1,1,1,1,8,0.8,1,9,0.18,1,1.0,0.0003762227238525207
98,Refrigerador Brastemp 375l 2 Portas Evox Frost Free 127V,7891129252721,geladeiras,962.4305944442749,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
102,Geladeira/Refrigerador Samsung French Door RF22R7351SR Inox Look 501L Smart (Wi-Fi) com FlexZone,8806090389719,geladeiras,962.4305944442749,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
103,Geladeira Electrolux Top Freezer 382L Branco (TF42),7896584080032,geladeiras,962.4305944442749,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
123,Geladeira/Refrigerador Electrolux Duplex IF55S Frost Free Inverter Top Freezer 431L Platinum - 110v,7896584098037,geladeiras,962.4305944442749,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
130,Geladeira Panasonic Frost Free 425L NR-BB53GV3B Black Glass - 110v,7896067226643,geladeiras,962.4305944442749,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0007524454477050414
170,Geladeira Brastemp Frost Free Inverse 2 Portas 573L Evox BRE80AK,7891129236707,geladeiras,962.4305944442749,1,1,1,1,8,0.8,1,8,0.16,1,1.0,0.0003762227238525207
173,Frigobar Venax NGV 10 - 82 Litros - Branco 220V,7899552101357,geladeiras,962.4305944442749,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
198,Geladeira Consul Frost Free Duplex CRM50 410L Espaço Flex Inox com Controle Interno de Temperatura - 110v,7891129506022,geladeiras,962.4305944442749,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
210,Geladeira Frost Free DB84 Electrolux 598 Litros Duplex Branco 110V,7896584073553,geladeiras,962.4305944442749,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
212,Geladeira Duplex Inverter Frost Free com 425 Litros BB53 Panasonic,7896067226650,geladeiras,962.4305944442749,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
224,Geladeira Brastemp Frost Free 462 litros - BRM56 Branco - 110V,7891129250086,geladeiras,962.4305944442749,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.001128668171557562
258,Refrigerador Panasonic BT41 2 Portas Frost Free 387 Litros Aço Escovado 127V NR-BT41PD1XA,7896067227749,geladeiras,962.4305944442749,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
266,Refrigerador / Geladeira Continental Frost Free 2 Portas 370 Litros - TC41,7909569003091,geladeiras,962.4305944442749,1,1,1,1,7,0.7,1,7,0.14,1,1.0,0.0003762227238525207
276,Frigobar Midea Compact 124 Litros Black Edition,7898626573854,geladeiras,962.4305944442749,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.0003762227238525207
280,Refrigerador LG Side By Side New Lancaster GS65SDN Aço Escovado 601L 127V,6934585684475,geladeiras,962.4305944442749,0,0,0,1,3,0.3,1,3,0.06,3,0.3333333333333333,0.001128668171557562
283,Frigobar Consul 117L CRC12 - 110V,7891129224063,geladeiras,962.4305944442749,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
284,Refrigerador Samsung 432 Litros 2 Portas Frost Free Inverter RL4353RBASL,8806090580413,geladeiras,962.4305944442749,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
