indice,titulo,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
2,Frigobar Midea 71 Litros Branco MRC08B2 - 220V,7908198000167,geladeiras,978.1808388233185,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
7,Refrigerador Philco Side By Side PRF533I 220v,7891356086892,geladeiras,978.1808388233185,0,0,0,0,0,0.0,0,0,0.0,2330,0.00042918454935622315,0.8765989465763732
11,Frigobar Consul 117L CRC12 - 110V,7891129224063,geladeiras,978.1808388233185,1,1,1,1,7,0.7,1,8,0.16,1,1.0,0.0003762227238525207
18,Geladeira Brastemp Frost Free 443 litros - BRE57 Inox 110v,7891129252059,geladeiras,978.1808388233185,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
20,Geladeira/Refrigerador Brastemp Frost Free 375 Litros BRM45 - Branca - 110v,7891129252745,geladeiras,978.1808388233185,1,1,1,1,8,0.8,1,13,0.26,1,1.0,0.0003762227238525207
22,Refrigerador Continental Tc56 Frost Free Duplex 472 Litros,7909569003022,geladeiras,978.1808388233185,1,1,1,1,8,0.8,1,8,0.16,1,1.0,0.0003762227238525207
42,Refrigerador Panasonic 480 Litros BB71 Bottom Freezer Aço Escovado 127V,7896067227480,geladeiras,978.1808388233185,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
48,Refrigerador Smart LG Side By Side Door In Door 601L Inox 220V GS65SDN1,6934585684468,geladeiras,978.1808388233185,1,1,1,1,6,0.6,1,7,0.14,1,1.0,0.0003762227238525207
82,"Geladeira/Refrigerador Philco Side by Side PRF520DI, Frost Free, 2 Portas, 520 Litros, Inox",7891356080067,geladeiras,978.1808388233185,0,0,0,0,0,0.0,0,0,0.0,66,0.015151515151515152,0.024830699774266364
94,Geladeira Lg Automática 525L 3 Portas French Door Inverter,8806098602629,geladeiras,978.1808388233185,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
102,Geladeira/Refrigerador Electrolux Frost Free DFX41 Inox 371L - 110v,7896584071962,geladeiras,978.1808388233185,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
113,Geladeira Brastemp Frost Free 2 Portas BRM56 462L Inox - 110v,7891129251571,geladeiras,978.1808388233185,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0003762227238525207
133,Frigobar Midea 124 Litros Branco MRC12B,7898626573854,geladeiras,978.1808388233185,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
138,Refrigerador Brastemp Ative Inverse Maxi BRE80 573 Litros Iluminação LED Branco 110,7891129206205,geladeiras,978.1808388233185,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
143,Refrigerador Smart LG Side By Side Door In Door 601L Inox 127V GS65SDN,6934585684475,geladeiras,978.1808388233185,1,1,1,1,5,0.5,1,8,0.16,1,1.0,0.0003762227238525207
147,Refrigerador Smart LG 601 Litros Side by Side com IceWater e System e LG ThinQ Inox GC-L247SLUV – 127 Volts,8806098548958,geladeiras,978.1808388233185,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
156,Geladeira Gorenje Ion Generation 2 Portas Inverse Inox 220V NRK6192UX,3838942107108,geladeiras,978.1808388233185,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
157,"Geladeira/Refrigerador Panasonic 483 Litros NR-BT55PV2, Frost Free, 2 Portas, Econavi, Branco",7896067226933,geladeiras,978.1808388233185,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
167,Refrigerador LG Smart French Door com Instaview Door-In-Door e Hygiene Fresh GR-X228NM Preto Fosco – 525L 220V,8806098602636,geladeiras,978.1808388233185,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
184,Geladeira Duplex Invertida 397 Litros CRE44 Frost Free Consul,7891129499768,geladeiras,978.1808388233185,0,0,0,1,1,0.1,1,1,0.02,7,0.14285714285714285,0.0026335590669676447
191,Refrigerador Invert Frost Free 483L Duplex Panasonic,7896067226926,geladeiras,978.1808388233185,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
196,Mini Geladeira 10L Branca 110V-12V Cabo Ac-Dc Tv015,7899838866574,geladeiras,978.1808388233185,1,1,1,1,7,0.7,1,7,0.14,1,1.0,0.0003762227238525207
204,Refrigerador Consul Domest 397L 2 Portas Frost Free Evox 127V CRE44AK,7891129499751,geladeiras,978.1808388233185,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
208,Geladeira/Refrigerador Consul 386 Litros 2 Portas Frost Free Classe A CRM43,7891129246720,geladeiras,978.1808388233185,1,1,1,1,9,0.9,1,9,0.18,1,1.0,0.0003762227238525207
221,Geladeira Frost Free Continental TC41S 370 L Duplex Platinum 110V,7909569245323,geladeiras,978.1808388233185,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
240,Refrigerador ngv 10 vermelho,7899552101401,geladeiras,978.1808388233185,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
247,Geladeira/Refrigerador Samsung Duplex RT38K5A0KS9 Inox Look 385L com All-Around Cooling - Bivolt,8806090569678,geladeiras,978.1808388233185,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
254,Geladeira Duplex Inverter Frost Free com 425 Litros BB53 Panasonic,7896067226650,geladeiras,978.1808388233185,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.001128668171557562
257,Refrigerador Brastemp Side By Side Inverse 540 L Inox 110v,7891129219939,geladeiras,978.1808388233185,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
