indice,titulo,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
25,Refrigerador Consul 386l Frost Free Classe A Crm43 Platinum 220v,7891129240643,https://www.americanas.com.br/produto/4883003415,geladeiras,2751.383137702942,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
41,Geladeira/Refrigerador Brastemp Frost Free BRM45 375 Litros Inox - 220v,7891129252776,https://www.americanas.com.br/produto/133567705,geladeiras,2751.383137702942,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0010330578512396695
44,Frigobar Consul Branco 117L 110V CRC12CBANA,7891129224063,https://www.americanas.com.br/produto/4825196095,geladeiras,2751.383137702942,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003443526170798898
56,Geladeira Brastemp Frost Free 443 litros - BRE57 Inox 110v,7891129252059,https://www.americanas.com.br/produto/132717231,geladeiras,2751.383137702942,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
86,Geladeira/Refrigerador Samsung Side by Side RS65R5411M9 Inox Look 617L - 127v,8801643893521,https://www.americanas.com.br/produto/2428078861,geladeiras,2751.383137702942,0,0,0,0,0,0.0,1,1,0.02,36,0.027777777777777776,0.012396694214876033
97,Refrigerador Electrolux Infinity 2 Portas 553L Frost Free Branco 220V DF82,7896584072389,https://www.americanas.com.br/produto/4722127433,geladeiras,2751.383137702942,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003443526170798898
112,Refrigerador Side Inverse Brastemp de 03 Portas Frost Free com 540 Litros Painel Eletrônico Inox - BRO81AR,7891129491717,https://www.americanas.com.br/produto/1546721889,geladeiras,2751.383137702942,0,0,0,0,0,0.0,1,1,0.02,47,0.02127659574468085,0.01618457300275482
134,Geladeira/Refrigerador Electrolux Frost Free DFX41 Inox 371L - 110v,7896584071962,https://www.americanas.com.br/produto/1808805645,geladeiras,2751.383137702942,0,0,0,1,1,0.1,1,1,0.02,5,0.2,0.001721763085399449
150,Geladeira/Refrigerador Electrolux 382 litros TW42S Inox Top Freezer Com Dispenser de Água 110v,7909569244043,https://www.americanas.com.br/produto/1371035907,geladeiras,2751.383137702942,0,0,0,0,0,0.0,0,0,0.0,62,0.016129032258064516,0.02134986225895317
169,Refrigerador BRM45 375 Litros Frost Free 110W Brastemp,7891129252745,https://www.americanas.com.br/produto/4064180101,geladeiras,2751.383137702942,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003443526170798898
