indice,titulo,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
21,Notebook Samsung Core i5-1135G7 8GB 256GB ssd Tela Full HD 15.6 Windows 10 Book NP550XDA-KF2BR,7892509117128,https://www.americanas.com.br/produto/4188309033,notebooks,2760.456784963608,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00023946360153256704
45,Notebook Acer Aspire 3 Celeron W10 Home 4GB 256GB ssd 14 Polegadas A314-35-C4CZ,4710886653042,https://www.americanas.com.br/produto/4518981587,notebooks,2760.456784963608,0,0,0,1,2,0.2,1,2,0.04,2,0.5,0.0004789272030651341
61,Kit Notebook Dell Alienware m15 R6 AW15-i1100-A30PH 15.6 fhd 11ª ger Intel Core i7 16GB 1TB ssd rtx 3070 Win 11 Headset,7899864942471,https://www.americanas.com.br/produto/4359318921,notebooks,2760.456784963608,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
63,Notebook Ultra Windows 10 Home Processador Intel Pentium,7908414412774,https://www.americanas.com.br/produto/3219259498,notebooks,2760.456784963608,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00023946360153256704
95,Notebook Aspire 3 I5 4GB 256GB SSD Linux - Acer,4710886059059,https://www.americanas.com.br/produto/2575237771,notebooks,2760.456784963608,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.00023946360153256704
112,"Notebook Lenovo Yoga 9i 2 em 1 14"" i7-1185G7 8GB 512GB SSD Placa de Vídeo Intel Iris Xe W11 FHD WVA",196119536391,https://www.amazon.com.br/Notebook-Lenovo-i7-1185G7-512GB-Placa/dp/B09PZJ9P48,notebooks,2760.456784963608,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
114,"Notebook Samsung Book 15,6 fhd Intel Celeron 6305 128GB ssd 4GB Windows 10 Pro - NP550XDA-KO7BR",7892509119511,https://www.americanas.com.br/produto/4923529615,notebooks,2760.456784963608,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0004789272030651341
120,"Notebook Compaq Presario 430 Intel Core i3 4GB 120GB SSD 14,1'' LED Webcam HD Windows 10 Home - Cinza",7896904685978,https://www.amazon.com.br/Notebook-Compaq-Presario-Positivo-Cinza/dp/B0961TKMFF,notebooks,2760.456784963608,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
161,"Notebook asus X515MA-BR623X Intel Celeron Dual Core N4020 4GB 128GB ssd W11 15,60 LED-backlit Cinza",7898573298145,https://www.americanas.com.br/produto/4514912066,notebooks,2760.456784963608,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
166,"Notebook Ultra, W11 Home, Processador Intel Celeron N4020, Memória 4GB 120GB SSD, Tela 15,6 Pol, Microsoft 365 Personal com 1TB na Nuvem Prata – UB220",7908414438545,https://www.amazon.com.br/Notebook-Ultra-Processador-Microsoft-Personal/dp/B09KNYVND5,notebooks,2760.456784963608,0,0,0,1,2,0.2,1,2,0.04,2,0.5,0.0004789272030651341
179,Notebook Gaming 3i Core I5 8gb 256gbssd Gtx1650 15.6 Linux 82cgs00100,195892009962,https://www.americanas.com.br/produto/4600778051,notebooks,2760.456784963608,1,1,1,1,4,0.4,1,5,0.1,1,1.0,0.00023946360153256704
187,Notebook Multilaser Ultra 14 fhd I3-5005U 4GB 1TB Linux Prata - UB422,7908414412828,https://www.americanas.com.br/produto/5097795929,notebooks,2760.456784963608,0,0,0,0,0,0.0,1,1,0.02,21,0.047619047619047616,0.005028735632183908
192,Notebook Acer Aspire 5 A514 Intel Core I5 1035G1 Memória 8gb Hd 1tb Ssd 256gb Tela 14'' HD Windows 10 Home,4710886520726,https://www.americanas.com.br/produto/4284493491,notebooks,2760.456784963608,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00023946360153256704
212,Notebook Positivo Motion Red Q232B Intel® Atom® Quad- Core 2GB 32GB flash 14'' Windows 10 Home Flash Vermelho,7896904630626,https://www.amazon.com.br/Notebook-Positivo-Motion-Q232B-Windows/dp/B07XS6SSXW,notebooks,2760.456784963608,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
242,"Kit Notebook Dell Inspiron i15-i1100-M40SC 15.6"" Full HD 11ª Geração Intel Core i5 8GB 256GB SSD Windows 11 com Capa",7899864943560,https://www.amazon.com.br/Notebook-Dell-Inspiron-i15-i1100-M40SC-Gera%C3%A7%C3%A3o/dp/B0B1NRJ9MK,notebooks,2760.456784963608,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
243,Notebook Positivo Motion Intel Celeron Dual-Core Linux 14 - Cinza - C41TEI,7896904680683,https://www.americanas.com.br/produto/3136232011,notebooks,2760.456784963608,0,0,0,1,2,0.2,1,3,0.06,7,0.14285714285714285,0.0016762452107279694
266,"SAMSUNG CHROMEBOOK INTEL® DUAL-CORE, GOOGLE CHROME OS, 4GB, 32GB, 11.6'' HD LED, 1.18KG",7892509118071,https://www.amazon.com.br/SAMSUNG-CHROMEBOOK-INTEL%C2%AE-DUAL-CORE-GOOGLE/dp/B09Q8ZX5H2,notebooks,2760.456784963608,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00023946360153256704
277,"Notebook Positivo Motion Gray C4128E-S Intel Celeron 4GB 128GB SSD 14,1'' LED Webcam HD Windows 10 Home - Cinza",7896904694000,https://www.amazon.com.br/Notebook-Positivo-C4128E-S-Celeron-Windows/dp/B08V88PSWK,notebooks,2760.456784963608,0,0,0,0,0,0.0,1,1,0.02,13,0.07692307692307693,0.0031130268199233715
283,"Notebook Samsung Flash F30 Intel Celeron 4GB 64GB SSD Full HD 13.3"" W10 - Cinza",7892509104814,https://www.americanas.com.br/produto/134187878,notebooks,2760.456784963608,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
374,"Notebook Acer A315-34-C6ZS Intel Celeron N4000 4gb 1tb 15,6"" Linux",4710180698022,https://www.americanas.com.br/produto/1871867291,notebooks,2760.456784963608,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00023946360153256704
377,"SAMSUNG Notebook Intel Core i3-1115G4 4GB 1TB W11 15,6"" NP550XDA-KV2BR - Branco",7892509120876,https://www.amazon.com.br/SAMSUNG-Notebook-Intel-i3-1115G4-NP550XDA-KV2BR/dp/B09RTGS1QY,notebooks,2760.456784963608,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00023946360153256704
383,Notebook Positivo Motion I 341TBi Intel Core i3 4GB ram HD 1TB Tela 14'' Linux - 3011873,7896904634457,https://www.americanas.com.br/produto/3386584440,notebooks,2760.456784963608,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00023946360153256704
409,"Notebook Samsung Book Intel Dual-Core, Windows 10 Home 500GB, 4GB ram, Tela 15.6 Full HD LED Branco",7892509117159,https://www.americanas.com.br/produto/4183094555,notebooks,2760.456784963608,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00023946360153256704
416,Kit Notebook Dell Inspiron 15.6 i1101-M60SB fhd 11ªger Intel Core i7 16GB 512GB ssd nvidia Geforce Windows 11 Mochila,7899864941979,https://www.americanas.com.br/produto/4299511138,notebooks,2760.456784963608,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
470,Notebook Samsung Book Intel Celeron-6305 4GB 500GB W10 FHD 15.6'' Cinza Chumbo NP550XDA-KO1BR,7892509117142,https://www.americanas.com.br/produto/3081358732,notebooks,2760.456784963608,0,0,0,0,0,0.0,1,1,0.02,18,0.05555555555555555,0.004310344827586207
495,"Dell Latitude 3520, laptop FHD de 15,6"" sem toque - Intel Core i5-1135G7, 8GB DDR4 RAM, 256GB SSD HD, Intel Iris Xe Graphics, Windows Pro - Preto (modelo mais recente)",884116386643,https://www.amazon.com.br/Dell-Latitude-3520-laptop-toque/dp/B094YZ24KG,notebooks,2760.456784963608,0,0,0,0,0,0.0,1,1,0.02,15,0.06666666666666667,0.0035919540229885057
542,Notebook Dell Inspiron i15-i1100-M20PF 15.6 Full HD 11ª Ger. Intel Core i3 4GB 128GB ssd Win 11 Microsoft 365 Preto,7899864943720,https://www.americanas.com.br/produto/4940334852,notebooks,2760.456784963608,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
551,Notebook Positivo Motion C41TE Celeron 4GB 1TB HD Windows 10 Home – Cinza,7896904680676,https://www.americanas.com.br/produto/2961662100,notebooks,2760.456784963608,1,1,1,1,3,0.3,1,4,0.08,1,1.0,0.00023946360153256704
597,"ASUS Notebook VivoBook X543MA-GQ1300W Intel Celeron Dual Core N4020 4GB 500GB W11 15,6 Cinza Escuro",7898573298534,https://www.amazon.com.br/ASUS-Notebook-VivoBook-X543MA-GQ1300W-Celeron/dp/B09S6TM3ZV,notebooks,2760.456784963608,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0009578544061302681
729,"Notebook ideapad Gaming 3i i7-10750H, 8GB RAM, 512GB SSD, Placa Dedicada GTX 1650 4GB, Windows 10, 15.6"" Full HD WVA, Azul",195348729383,https://www.amazon.com.br/Notebook-ideapad-i7-10750H-Dedicada-Windows/dp/B08SQMHKS5,notebooks,2760.456784963608,0,0,0,1,2,0.2,1,2,0.04,2,0.5,0.0004789272030651341
777,"Notebook Dell Inspiron i15-i1100-U10P 15.6"" Full HD Intel Pentium Gold 4GB 128GB SSD Linux Preto",7899864943485,https://www.amazon.com.br/Notebook-Dell-Inspiron-i15-i1100-U10P-Pentium/dp/B09V8GN7QC,notebooks,2760.456784963608,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
788,"Notebook 2 em 1 Positivo DUO C464D Intel® Celeron® Dual Core Windows 11 Home 11"" - Cinza",7896904684162,https://www.amazon.com.br/Notebook-Positivo-Intel%C2%AE-Celeron%C2%AE-Windows/dp/B09MKVQMKT,notebooks,2760.456784963608,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00023946360153256704
