indice,titulo,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
0,Notebook Gaming 3i Core I5 8gb 256gbssd Gtx1650 15.6 Linux 82cgs00100,195892009962,notebooks,978.1808388233185,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0003762227238525207
24,Notebook lenovo ideapad 3I ryzen 5-5500U 8GB 256GB ssd windows 11 home 15.6 - prata,196119415894,notebooks,978.1808388233185,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0007524454477050414
31,"Notebook Samsung Book E30 4GB, 15.6'', Intel Core i3, ssd 256GB, Windows 10 Home, cinza",7892509117203,notebooks,978.1808388233185,1,1,1,1,2,0.2,1,5,0.1,1,1.0,0.0003762227238525207
45,"Notebook Samsung Book NP550XDA-K02BR, Intel Dual-Core, 4GB, 500GB, Branco - Windows 10",7892509117159,notebooks,978.1808388233185,0,0,0,1,3,0.3,1,3,0.06,2,0.5,0.0007524454477050414
55,"Notebook Positivo Motion C41TEi Intel® Celeron® Dual-Core™ Linux 14"" - Vermelho",7896904683608,notebooks,978.1808388233185,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
60,Notebook Samsung E30 Tela 15.6 Intel i3 SSD256 4GBRAM Linux,7892509118897,notebooks,978.1808388233185,0,0,0,1,1,0.1,1,2,0.04,9,0.1111111111111111,0.003386004514672686
64,"Notebook ASUS X515JF-EJ360T Intel Core i5 1035G1 8GB 256GB SSD W10 15,6"" LED-backlit Cinza",7898573298077,notebooks,978.1808388233185,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
92,"Notebook Vaio FE14, Intel Core i5, 4GB RAM, HD 1TB, Tela 14"" LCD FullHD, Windows 10 - Chumbo Escuro",7896904641097,notebooks,978.1808388233185,0,0,0,0,0,0.0,0,0,0.0,383,0.0026109660574412533,0.14409330323551542
116,Notebook Gamer Dell G15-a0500-MM10P 15.6 fhd amd Ryzen 5 8GB 512GB ssd nvidia rtx 3050 Windows 11,7899864941412,notebooks,978.1808388233185,0,0,0,1,1,0.1,1,1,0.02,6,0.16666666666666666,0.002257336343115124
117,Notebook compaq CQ-27 COREI3 4GB SSD120GB WIN10,7898960921342,notebooks,978.1808388233185,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
