indice,titulo,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
5,"Smart TV Led 43"" Semp 43s5300 Full HD Android Bluetooth Controle Remoto com Comando de voz Google Assistant",7899968300887,tvs,978.1808388233185,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
35,Smart TV LED 65 LG uhd 4K ThinQ ai TV HDR10 webOS 6.0 2HDMI 1USB Wi-Fi,7893299916915,tvs,978.1808388233185,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
43,Smart TV LG 43 polegadas 4K uhd 43UP7500PSF webOS ThinQ ai HGiG,7893299915840,tvs,978.1808388233185,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
50,"Smart Tv Led 32'' Panasonic Hd, Wi-fi, Usb, Hdmi, 60hz",7896067213285,tvs,978.1808388233185,1,1,1,1,6,0.6,1,10,0.2,1,1.0,0.0003762227238525207
52,"Smart TV Samsung 55 qled 4K Q65B 2022 Design Air Slim, Processador Quantum Lite, Multitela",7892509122009,tvs,978.1808388233185,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
53,Smart TV LED 65” LG 65NANO85 4K NanoCell 120hz Freesync 2 Hdmi 2.1 Inteligência Artificial ThinQ Google Alexa,7893299915758,tvs,978.1808388233185,1,1,1,1,1,0.1,1,2,0.04,1,1.0,0.0003762227238525207
59,Philco TV 42 Led PTV42G52RCF,7891356092329,tvs,978.1808388233185,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
65,"Smart TV 4K Samsung qled 65 com Design Slim, Alexa built in e Wi-Fi - QN65Q70AAGXZD",7892509117579,tvs,978.1808388233185,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
66,"PHILIPS Smart TV 32PHG6825/78-32"" HD sem bordas, HDR Plus, 3 HDMI, 2 USB, Wifi Miracast, Conversor digital, Netflix, Youtube, Globoplay e Prime Video",7898620271282,tvs,978.1808388233185,0,0,0,1,2,0.2,1,2,0.04,2,0.5,0.0007524454477050414
67,"Smart TV Samsung Led 55'' uhd, 4K, Alexa Built in, Wi-Fi, usb, hdmi - UN55AU7700GX Smart TV Samsung",7892509117913,tvs,978.1808388233185,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
68,Smart TV LED 32” TCL S5200 HD HDR Android com Bluetooth e Google Assistant,7899968301105,tvs,978.1808388233185,0,0,0,0,0,0.0,0,0,0.0,945,0.0010582010582010583,0.35553047404063204
69,Smart TV Philco PTV32G70SBL LED- HD- WIFI integrado,7891356088599,tvs,978.1808388233185,0,0,0,0,0,0.0,0,0,0.0,56,0.017857142857142856,0.021068472535741158
70,"Smart TV 4K Samsung qled 75 com Design Slim, Alexa built in e Wi-Fi - 75Q70AA",7892509117593,tvs,978.1808388233185,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.0003762227238525207
77,Smart TV LED 55 Samsung Ultra HD 4K hdr c/conv.tv Digital 3 hdmi 1USB,7892509118149,tvs,978.1808388233185,1,1,1,1,1,0.1,1,3,0.06,1,1.0,0.0003762227238525207
99,"Smart TV LED PRO 43"" Full HD LG 43LM631C0SB, ThinQ AI, 3 HDMI, 2 USB, Wi-Fi, Conversor Digital",7893299912269,tvs,978.1808388233185,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
101,Smart TV Samsung Neo qled 4K 55QN90A Design slim Mini Led Processador ia Som em Movimento Plus 55,7892509117517,tvs,978.1808388233185,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
109,Smart Tv Lg 55 4k Nanocell 55nano80 4x Hdmi 2.0 Inteligência Artificial Thinqai Smart Magic,7893299915772,tvs,978.1808388233185,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
131,Tela Toshiba 43 Polegadas DLED 4K Smart TB003,7908414421073,tvs,978.1808388233185,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
144,Smart TV Samsung Crystal uhd 4K 55AU9000 Design Slim Som em Movimento Virtual Visual Sem Cabos 55,7892509117463,tvs,978.1808388233185,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
145,Fast Smart Tv Philco 50'' Ultra Hd Roku 4k Preto Bivolt,7891356090912,tvs,978.1808388233185,1,1,1,1,8,0.8,1,19,0.38,1,1.0,0.0003762227238525207
159,Smart TV Samsung Crystal uhd 4K 65AU9000 Design Slim Som em Movimento Virtual Visual Sem Cabos 65,7892509117487,tvs,978.1808388233185,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
168,"Smart TV Samsung qled 4K 55, Slim Frame, Modo Arte, Molduras Costumizáveis e Conexão Única - 55LS03AA",7892509117548,tvs,978.1808388233185,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
177,"Smart TV oled 55 LG OLED55A1PSA, 4K, Wi-Fi, Bluetooth, com 2 usb, 3 hdmi, 60Hz",7893299916014,tvs,978.1808388233185,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
190,"Smart TV Roku 4K UHD 58” TV PTV58G70RCBL 4K LED - Wi-Fi 3 HDMI, USB, PHILCO",7891356092336,tvs,978.1808388233185,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
