indice,titulo,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
14,Smartphone Motorola Moto G200 256GB 5G Wi-Fi Tela 6.8'' Dual Chip 8GB RAM Câmera Tripla + Selfie 16MP - Verde,7892597351558,https://www.americanas.com.br/produto/4424395544,celulares,1047.0477197170258,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0004967709885742673
17,Smartphone Galaxy A03 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Dupla + Selfie 5MP - Vermelho,7892509121231,https://www.americanas.com.br/produto/4600478999,celulares,1047.0477197170258,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0004967709885742673
35,Smartphone Samsung Galaxy A22 128GB 4G 6.4 Quad Câm 48 + 8 + 2 + 2MP Verde,7892509119672,https://www.americanas.com.br/produto/5023379869,celulares,1047.0477197170258,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0004967709885742673
43,"Smartphone Motorola Moto E6 Play 32GB Dual Chip Android 9 Tela 5.5"" MT6739 4G Câmera 13MP - Cinza Metálico",7892597349111,https://www.americanas.com.br/produto/1230227796,celulares,1047.0477197170258,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0004967709885742673
54,Smartphone LG K8+ 16GB Dual Chip Tela 5' Câmera Principal 8MP Frontal 5MP Android 7.0 Preto,7893299912771,https://www.amazon.com.br/Smartphone-LG-Principal-Frontal-Android/dp/B07WK7ZG37/ref=sr_1_1503?qid=1651784125&s=wireless&sr=1-1503,celulares,1047.0477197170258,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0004967709885742673
55,Smartphone Motorola Moto G9 Power 128GB 4G Wi-Fi Tela 6.8'' Dual Chip 4GB ram Câmera Tripla + Selfie 16MP - Purple - Exposição,7892597350254,https://www.americanas.com.br/produto/5176072471,celulares,1047.0477197170258,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0009935419771485345
58,Smartphone Celular 32Gb Multilaser E Lite 2 Preto - P9146,7908414420199,https://www.americanas.com.br/produto/4700417659,celulares,1047.0477197170258,0,0,0,1,2,0.2,1,2,0.04,4,0.25,0.001987083954297069
62,Smartphone Multilaser E Pro 4G 32GB Wi-Fi 5.0 pol. Dual Chip 1GB RAM Câmera 5MP + 5MP Android 11 (Go edition) Quad Core - Dourado – P9151,7908414420243,https://www.amazon.com.br/Smartphone-Multilaser-Wi-Fi-C%C3%A2mera-Android/dp/B09WF3VSBD/ref=sr_1_1643?qid=1651784133&s=wireless&sr=1-1643&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,celulares,1047.0477197170258,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0004967709885742673
67,Smartphone Twist S514 64GB 1GB ram Dual Chip Tela 5.5 Positivo,7896904686272,https://www.americanas.com.br/produto/4208285367,celulares,1047.0477197170258,0,0,0,1,2,0.2,1,4,0.08,6,0.16666666666666666,0.0029806259314456036
73,"Smartphone Positivo Twist 3: 32GB 5,5'' HD+ IPS 8MP Android Oreo Go - Preto. Acompanha película e capa de proteção",7896904651782,https://www.amazon.com.br/Positivo-TWIST-3-S513-Preto/dp/B084B3QXWX/ref=sr_1_1708?qid=1651784137&s=wireless&sr=1-1708&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,celulares,1047.0477197170258,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0004967709885742673
90,Smartphone E 3G 32GB dual multilaser,7899838889221,https://www.americanas.com.br/produto/4748579067,celulares,1047.0477197170258,1,1,1,1,1,0.1,1,3,0.06,1,1.0,0.0004967709885742673
143,Smartphone Motorola Moto E20 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Cinza,7892597351404,https://www.americanas.com.br/produto/4120059517,celulares,1047.0477197170258,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0009935419771485345
149,"Smartphone TecToy On 128GB Azul 4GB ram Tela 6,22 - Câm. Tripla + Selfie 8MP + Fone Bluetooth",7891196800016,https://www.americanas.com.br/produto/4250071338,celulares,1047.0477197170258,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0004967709885742673
156,"Smartphone Samsung Galaxy S22 Ultra 256GB 5G com caneta S pen - Branco, Câmera Tripla 108MP + Selfie 40MP, ram 8GB, Tela 6.8",7892509122177,https://www.americanas.com.br/produto/4987589713,celulares,1047.0477197170258,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.001987083954297069
160,Smartphone Samsung Galaxy A32 128GB 4G Wi-Fi Tela 6.4'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 20MP - Violeta,7892509118439,https://www.americanas.com.br/produto/2969968331,celulares,1047.0477197170258,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0004967709885742673
176,Smartphone Samsung Galaxy A23 4G 128GB 6.6 Quad Câm 48 + 5 + 2 + 2MP Preto,7892509123273,https://www.americanas.com.br/produto/5023345280,celulares,1047.0477197170258,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.001987083954297069
177,Smartphone Multilaser 32Gb E Pro Preto 1 Ram - P9150,7908414420236,https://www.americanas.com.br/produto/5016118943,celulares,1047.0477197170258,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0004967709885742673
192,Smartphone Samsung Galaxy A23 4G 128GB 6.6 Quad Câm 48 + 5 + 2 + 2MP Azul,7892509123266,https://www.americanas.com.br/produto/5023390451,celulares,1047.0477197170258,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0014903129657228018
193,"Smartphone Zenfone Asus Max Shot M2 ZB634KL-4J009BR 64GB Dual Chip Android Oreo Tela 6,2” Qualcomm QSP SIP1 4G Câmera tripla 12MP+5MP+8MP -  Prata",7898573296332,https://www.americanas.com.br/produto/134218638,celulares,1047.0477197170258,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0004967709885742673
196,Smartphone Multilaser G Max 2 Dourado 64GB 2GB 8MP Android 11,7908414420304,https://www.amazon.com.br/Smartphone-Multilaser-Dourado-64GB-Android/dp/B099FFB4L5/ref=sr_1_1404?qid=1651784119&s=wireless&sr=1-1404&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,celulares,1047.0477197170258,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0004967709885742673
210,"Smartphone asus Zenfone 8 Qualcomm Snapdragon 888 8GB 256GB Camera Frontal 12MP Traseira Dual 64MP + 12MP Tela 5,92 Amoled Android 11 Prata",7898573297940,https://www.americanas.com.br/produto/4266425436,celulares,1047.0477197170258,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0004967709885742673
214,"Smartphone Samsung Galaxy M32 128GB 4G Wi-Fi Tela 6,4'' Dual Chip 6GB RAM Câmera Quadrupla + Selfie 20MP - Azul",7892509119818,https://www.americanas.com.br/produto/3501167482,celulares,1047.0477197170258,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0004967709885742673
221,"Smartphone Samsung Galaxy S20 fe, 6,5, 128GB, Android, Verde",7892509119061,https://www.americanas.com.br/produto/5027205436,celulares,1047.0477197170258,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0014903129657228018
225,Smartphone Motorola Moto G22 128GB 4GB RAM Preto,7892597352029,https://www.amazon.com.br/Smartphone-Motorola-Moto-128GB-Preto/dp/B09V8B8CY7/ref=sr_1_926?qid=1651784091&s=wireless&sr=1-926&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,celulares,1047.0477197170258,0,0,0,1,1,0.1,1,1,0.02,5,0.2,0.0024838549428713363
229,Smartphone Nokia C01 32Gb 4G Tela 5.45 Dual Chip 5.0Mp,7908414422377,https://www.americanas.com.br/produto/5184584513,celulares,1047.0477197170258,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0004967709885742673
