indice,titulo,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
6,Smartphone Motorola Moto G20 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Azul,7892597351497,https://www.americanas.com.br/produto/3805072618,celulares,1057.0215828418732,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0011235955056179776
10,Smartphone Moto G20 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Azul,7892597351114,https://www.americanas.com.br/produto/3171318769,celulares,1057.0215828418732,0,0,0,0,0,0.0,1,1,0.02,39,0.02564102564102564,0.021910112359550562
34,Smartphone Samsung Galaxy A23 4G 128GB 6.6 Quad Câm 48 + 5 + 2 + 2MP Azul,7892509123266,https://www.americanas.com.br/produto/5023390451,celulares,1057.0215828418732,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
36,"Smartphone Samsung Galaxy S22 + 5G, 128GB, 8GB ram, Tela Infinita de 6.6",7892509122306,https://www.americanas.com.br/produto/4746463474,celulares,1057.0215828418732,0,0,0,0,0,0.0,0,0,0.0,88,0.011363636363636364,0.04943820224719101
54,Smartphone Xiaomi Redmi 9 64GB 4GB Ram 4 Câmeras Roxo,7898567778868,https://www.amazon.com.br/Smartphone-Xiaomi-Redmi-64GB-C%C3%A2meras/dp/B08G1VS56Z/ref=sr_1_977?qid=1651784093&s=wireless&sr=1-977,celulares,1057.0215828418732,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
63,"Smartphone Samsung Galaxy A10s, 6,2, 32 Gb, Câmera Dupla, Azul",7892509111874,https://www.amazon.com.br/Smartphone-Samsung-Galaxy-C%C3%A2mera-Dupla/dp/B083KPFNHK/ref=sr_1_1231?qid=1651784110&s=wireless&sr=1-1231&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,celulares,1057.0215828418732,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
71,Smartphone Multilaser F 3g 32gb 1gb Tela 5.5 + Suporte Ring,7899838889276,https://www.americanas.com.br/produto/4121314217,celulares,1057.0215828418732,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
73,Smartphone Multilaser E Lite 32GB,7899838889214,https://www.americanas.com.br/produto/2521630147,celulares,1057.0215828418732,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0005617977528089888
80,Smartphone Samsung Galaxy A52 128Gb Preto,7892509116930,https://www.americanas.com.br/produto/5144518968,celulares,1057.0215828418732,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0005617977528089888
102,Smartphone Motorola Moto G31 128GB 4G Wi-Fi Tela 6.4'' Dual Chip 4GB RAM Câmera Tripla + Selfie 13MP - Grafite,7892597351640,https://www.americanas.com.br/produto/4447197866,celulares,1057.0215828418732,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
116,Smartphone Multilaser E Pro 32GB 4G wi-fi Dourado Tela 5.0 Dual Chip 1GB ram Câmera 5MP + Selfie 5MP Android 11 Go - P9151,7908414420243,https://www.americanas.com.br/produto/4888023159,celulares,1057.0215828418732,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0005617977528089888
122,Smartphone Red Mobile Volt L S51 16Gb 1Gb ram Preto/Azul,609963649624,https://www.americanas.com.br/produto/4676835374,celulares,1057.0215828418732,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
128,Smartphone Samsung Galaxy A12 128GB Preto 4G Wi-Fi Tela 6.5'' Dual Chip 6GB ram Câmera Quádrupla + Selfie 8MP,8806092186422,https://www.americanas.com.br/produto/4652438905,celulares,1057.0215828418732,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
