indice,titulo,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
0,Fogão 5 Bocas Realce Iris Plus Vidro Temperado Branco Bivolt,7899639785920,https://www.americanas.com.br/produto/1641356251,fogoes,3062.3638310432434,0,0,0,0,0,0.0,1,1,0.02,18,0.05555555555555555,0.006198347107438017
1,Fogão 5 Bocas Mônaco Top Glass Atlas Automático com Mega chama - Preto,7897180505165,https://www.americanas.com.br/produto/1733144651,fogoes,3062.3638310432434,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003443526170798898
3,Fogão 5 Bocas Mesa de Vidro Horus Com Acendimento Total Top Control Glass Bivolt Braslar - Preto,7898385061586,https://www.americanas.com.br/produto/1827229874,fogoes,3062.3638310432434,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
9,Fogão Itatiaia Vitrum 4 Bocas Mesa de Vidro com Timer Digital,7892946336663,https://www.americanas.com.br/produto/4432001517,fogoes,3062.3638310432434,0,0,0,1,1,0.1,1,1,0.02,10,0.1,0.003443526170798898
10,Fogão 5 bocas Mueller Decorato Gourmet Preto Fosco com mesa em inox escovado Bivolt,7908156903189,https://www.americanas.com.br/produto/4606561398,fogoes,3062.3638310432434,0,0,0,1,1,0.1,1,1,0.02,5,0.2,0.001721763085399449
13,Fogão Dream 5 Bocas - Branco,7892946310434,https://www.americanas.com.br/produto/1675131471,fogoes,3062.3638310432434,1,1,1,1,3,0.3,1,4,0.08,1,1.0,0.0003443526170798898
14,Fogão 4 Bocas Bali Esmaltec,7899081743394,https://www.americanas.com.br/produto/3046939275,fogoes,3062.3638310432434,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003443526170798898
15,Fogão Atlas 5 Bocas Agile Up Glass Bivolt com Trempes Aneladas? Preto,7897180506322,https://www.americanas.com.br/produto/4973228714,fogoes,3062.3638310432434,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.0003443526170798898
19,Fogão 5 Bocas New Top Glass Preto,7898385061272,https://www.americanas.com.br/produto/4408400446,fogoes,3062.3638310432434,0,0,0,1,1,0.1,1,2,0.04,4,0.25,0.0013774104683195593
22,Fogão 4 Bocas Mesa de Inox Sírius Plus com Acendimento Automático Braslar - Branco,7898385060459,https://www.americanas.com.br/produto/1415133294,fogoes,3062.3638310432434,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
23,Fogão Elétrico Profissional Portátil Mesa 1 Boca 220mm 1500W Esmeralda Inox Resistência Cotherm,7896981223926,https://www.americanas.com.br/produto/1511705352,fogoes,3062.3638310432434,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0006887052341597796
26,Fogao 4b 2qs 2qd pmsd-402f p37402,7898466541983,https://www.americanas.com.br/produto/2908945661,fogoes,3062.3638310432434,0,0,0,0,0,0.0,0,0,0.0,200,0.005,0.06887052341597796
28,Fogão A Gás 5 Bocas Realce Zeus Glass Mesa De Vidro Preto Bivolt,7899639789942,https://www.americanas.com.br/produto/97396165,fogoes,3062.3638310432434,0,0,0,0,0,0.0,1,2,0.04,17,0.058823529411764705,0.005853994490358127
31,Fogão de Piso Itatiaia Vitrum 5 Bocas Mesa de Vidro com Timer Digital Preto Bivolt,7892946336632,https://www.amazon.com.br/Fog%C3%A3o-Itatiaia-Vitrum-Digital-Bivolt/dp/B07RRQDGJJ,fogoes,3062.3638310432434,1,1,1,1,8,0.8,1,8,0.16,1,1.0,0.0003443526170798898
40,Fogao a Gas Picasso Vitreo 6 Q Branco Gas Glp,7899552142480,https://www.americanas.com.br/produto/43423371,fogoes,3062.3638310432434,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
46,Fogão Consul CFS5 5 Bocas Com Acendimento Automático Branco,7891129246225,https://www.americanas.com.br/produto/5078719103,fogoes,3062.3638310432434,0,0,0,0,0,0.0,1,1,0.02,15,0.06666666666666667,0.005165289256198347
50,Fogão de Piso 5 Bocas Atlas Mônaco com Acendimento Automático Limpa Fácil,7897180500214,https://www.americanas.com.br/produto/3082728993,fogoes,3062.3638310432434,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
51,Fogão Automático 5 Bocas Mueller Decorato Bivolt,7908156903172,https://www.americanas.com.br/produto/4063490271,fogoes,3062.3638310432434,0,0,0,0,0,0.0,1,1,0.02,18,0.05555555555555555,0.006198347107438017
52,Fogão A Gás glp Venax Da Vinci Vítreo 4 Bocas Preto Fosco,7899552140738,https://www.americanas.com.br/produto/103883017,fogoes,3062.3638310432434,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
54,Fogao 5B mueller moderatto s/acend - 601230019,7908156900812,https://www.americanas.com.br/produto/4409285865,fogoes,3062.3638310432434,0,0,0,1,3,0.3,1,3,0.06,2,0.5,0.0006887052341597796
55,Fogão De Piso 6 Bocas A Gás glp Venax Delplus Vítreo Bivolt Preto,7899552142381,https://www.americanas.com.br/produto/43409369,fogoes,3062.3638310432434,0,0,0,0,0,0.0,1,1,0.02,15,0.06666666666666667,0.005165289256198347
61,Fogão 2 Bocas Com Forno Gemini Venax - Amarelo,7898456266261,https://www.americanas.com.br/produto/2881285455,fogoes,3062.3638310432434,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003443526170798898
63,Fogão de Piso com Acendimento Manual Star Clean 4 Bocas Itatiaia,7892946330067,https://www.americanas.com.br/produto/32844620,fogoes,3062.3638310432434,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003443526170798898
66,Fogão Itatiaia 4 Bocas Itaglass Acendimento Automático - Preto,7892946398098,https://www.americanas.com.br/produto/2563895186,fogoes,3062.3638310432434,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.0003443526170798898
69,Fogão a Gás GLP Picasso 5 Bocas Venax Grafite,7899552146419,https://www.americanas.com.br/produto/2659029573,fogoes,3062.3638310432434,0,0,0,1,1,0.1,1,1,0.02,5,0.2,0.001721763085399449
71,Fogao A gas gemini 2 Q tampa de vidro bege gas glp,7898291101123,https://www.americanas.com.br/produto/3001172082,fogoes,3062.3638310432434,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
