indice,titulo,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
2,Frigobar Midea 71 Litros Branco MRC08B2 - 220V,7908198000167,https://www.americanas.com.br/produto/4021546993,geladeiras,1057.0215828418732,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
7,Refrigerador Philco Side By Side PRF533I 220v,7891356086892,https://www.americanas.com.br/produto/3419495292,geladeiras,1057.0215828418732,0,0,0,0,0,0.0,0,0,0.0,75,0.013333333333333334,0.042134831460674156
11,Frigobar Consul 117L CRC12 - 110V,7891129224063,https://www.americanas.com.br/produto/119934610,geladeiras,1057.0215828418732,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0005617977528089888
18,Geladeira Brastemp Frost Free 443 litros - BRE57 Inox 110v,7891129252059,https://www.americanas.com.br/produto/132717231,geladeiras,1057.0215828418732,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
20,Geladeira/Refrigerador Brastemp Frost Free 375 Litros BRM45 - Branca - 110v,7891129252745,https://www.americanas.com.br/produto/133605812,geladeiras,1057.0215828418732,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0005617977528089888
22,Refrigerador Continental Tc56 Frost Free Duplex 472 Litros,7909569003022,https://www.americanas.com.br/produto/2298984451,geladeiras,1057.0215828418732,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0005617977528089888
42,Refrigerador Panasonic 480 Litros BB71 Bottom Freezer Aço Escovado 127V,7896067227480,https://www.americanas.com.br/produto/4190642724,geladeiras,1057.0215828418732,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0022471910112359553
48,Refrigerador Smart LG Side By Side Door In Door 601L Inox 220V GS65SDN1,6934585684468,https://www.americanas.com.br/produto/4914217521,geladeiras,1057.0215828418732,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0005617977528089888
82,"Geladeira/Refrigerador Philco Side by Side PRF520DI, Frost Free, 2 Portas, 520 Litros, Inox",7891356080067,https://www.americanas.com.br/produto/1620824490,geladeiras,1057.0215828418732,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0011235955056179776
93,Geladeira Lg Automática 525L 3 Portas French Door Inverter,8806098602629,https://www.americanas.com.br/produto/1554996735,geladeiras,1057.0215828418732,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0005617977528089888
101,Geladeira/Refrigerador Electrolux Frost Free DFX41 Inox 371L - 110v,7896584071962,https://www.americanas.com.br/produto/1808805645,geladeiras,1057.0215828418732,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
109,Geladeira Brastemp Frost Free 2 Portas BRM56 462L Inox - 110v,7891129251571,https://www.americanas.com.br/produto/132718911,geladeiras,1057.0215828418732,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0005617977528089888
127,Frigobar Midea 124 Litros Branco MRC12B,7898626573854,https://www.americanas.com.br/produto/30312278,geladeiras,1057.0215828418732,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0005617977528089888
132,Refrigerador Brastemp Ative Inverse Maxi BRE80 573 Litros Iluminação LED Branco 110,7891129206205,https://www.americanas.com.br/produto/111574111,geladeiras,1057.0215828418732,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
137,Refrigerador Smart LG Side By Side Door In Door 601L Inox 127V GS65SDN,6934585684475,https://www.americanas.com.br/produto/4914217548,geladeiras,1057.0215828418732,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0005617977528089888
141,Refrigerador Smart LG 601 Litros Side by Side com IceWater e System e LG ThinQ Inox GC-L247SLUV – 127 Volts,8806098548958,https://www.americanas.com.br/produto/3927047867,geladeiras,1057.0215828418732,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0011235955056179776
150,Geladeira Gorenje Ion Generation 2 Portas Inverse Inox 220V NRK6192UX,3838942107108,https://www.americanas.com.br/produto/1649146451,geladeiras,1057.0215828418732,0,0,0,1,1,0.1,1,1,0.02,5,0.2,0.0028089887640449437
151,"Geladeira/Refrigerador Panasonic 483 Litros NR-BT55PV2, Frost Free, 2 Portas, Econavi, Branco",7896067226933,https://www.americanas.com.br/produto/44338529,geladeiras,1057.0215828418732,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0005617977528089888
161,Refrigerador LG Smart French Door com Instaview Door-In-Door e Hygiene Fresh GR-X228NM Preto Fosco – 525L 220V,8806098602636,https://www.americanas.com.br/produto/5078896855,geladeiras,1057.0215828418732,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
178,Geladeira Duplex Invertida 397 Litros CRE44 Frost Free Consul,7891129499768,https://www.americanas.com.br/produto/5010355702,geladeiras,1057.0215828418732,0,0,0,1,1,0.1,1,1,0.02,5,0.2,0.0028089887640449437
