indice,titulo,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
15,Notebook ultra multilaser 15.6 pol celeron N4020 4GB 120GB ssd windows 11 prata + microsoft 365 pers,7908414438545,https://www.americanas.com.br/produto/4956197856,notebooks,1047.0477197170258,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0004967709885742673
27,"Notebook Lenovo Ideapad 3i Intel Celeron N4020 Memoria 4GB Ssd 480GB Tela 15,6'' HD Windows 10 Pro",195713167154,https://www.americanas.com.br/produto/4478065612,notebooks,1047.0477197170258,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0004967709885742673
31,Notebook Acer A315 Intel Celeron N4000 Memoria 4gb Ssd 240GBTela 15.6' Hd Windows 10 Home,4710180696752,https://www.americanas.com.br/produto/4201441671,notebooks,1047.0477197170258,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0004967709885742673
42,"Notebook Samsung Book Intel Dual-Core, Windows 10 Home 500GB, 4GB ram, Tela 15.6 Full HD LED Branco",7892509117159,https://www.americanas.com.br/produto/4183094555,notebooks,1047.0477197170258,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0004967709885742673
52,Notebook Gamer 82CGS00100 Core i5 8GB 256GB ssd GeForce gtx 1650 4GB Tela 15.6 Linux 3i-15IMH 10300H Lenovo,195892009962,https://www.americanas.com.br/produto/3699433802,notebooks,1047.0477197170258,0,0,0,1,5,0.5,1,5,0.1,2,0.5,0.0009935419771485345
61,"Notebook Vaio FE14 VJFE42F11X-B1521H Intel Core i3-10110U 4GB 128GB SSD FHD Linux 14"" Chumbo Escuro",7896904697506,https://www.americanas.com.br/produto/3386663498,notebooks,1047.0477197170258,0,0,0,0,0,0.0,1,1,0.02,13,0.07692307692307693,0.006458022851465474
79,Notebook ASUS E510MA-BR295R Preto,7898573297759,https://www.amazon.com.br/ASUS-E510MA-BR295R-Notebook-Preto/dp/B09BBK3J1Y,notebooks,1047.0477197170258,0,0,0,0,0,0.0,1,2,0.04,24,0.041666666666666664,0.011922503725782414
99,Notebook ASUS X571GT-AL888T INTEL CORE I5 9300H / NVIDIA GeForce GTX1650 / 16 GB / 256 GB SSD / Windows 10 Home / Black,7898573297438,https://www.amazon.com.br/Notebook-ASUS-X571GT-AL888T-GeForce-GTX1650/dp/B099KMHKPQ,notebooks,1047.0477197170258,0,0,0,0,0,0.0,1,1,0.02,20,0.05,0.009935419771485345
101,"Notebook Lenovo Ultrafino ideapad S145 i7-1065G7, 8GB 256GB SSD Placa de Vídeo Intel® Iris Plus Windows 10 15.6"" Full HD, Prata",194632910810,https://www.amazon.com.br/Notebook-Lenovo-Ultrafino-ideapad-i7-1065G7/dp/B08GHMC5LF,notebooks,1047.0477197170258,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0004967709885742673
115,"Notebook asus VivoBook X513EA-EJ3010 Intel Core i7 1165G7 8GB 256GB ssd Linux 15,6 LED Preto",7898573298404,https://www.americanas.com.br/produto/4730866201,notebooks,1047.0477197170258,0,0,0,1,1,0.1,1,1,0.02,9,0.1111111111111111,0.004470938897168405
