indice,titulo,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
0,Notebook Gaming 3i Core I5 8gb 256gbssd Gtx1650 15.6 Linux 82cgs00100,195892009962,https://www.americanas.com.br/produto/4600778051,notebooks,1057.0215828418732,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0005617977528089888
24,Notebook lenovo ideapad 3I ryzen 5-5500U 8GB 256GB ssd windows 11 home 15.6 - prata,196119415894,https://www.americanas.com.br/produto/4887523426,notebooks,1057.0215828418732,0,0,0,0,0,0.0,0,0,0.0,64,0.015625,0.035955056179775284
31,"Notebook Samsung Book E30 4GB, 15.6'', Intel Core i3, ssd 256GB, Windows 10 Home, cinza",7892509117203,https://www.americanas.com.br/produto/3321130201,notebooks,1057.0215828418732,0,0,0,0,0,0.0,1,1,0.02,23,0.043478260869565216,0.012921348314606741
45,"Notebook Samsung Book NP550XDA-K02BR, Intel Dual-Core, 4GB, 500GB, Branco - Windows 10",7892509117159,https://www.americanas.com.br/produto/4224832527,notebooks,1057.0215828418732,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0005617977528089888
55,"Notebook Positivo Motion C41TEi Intel® Celeron® Dual-Core™ Linux 14"" - Vermelho",7896904683608,https://www.amazon.com.br/Notebook-Positivo-Motion-Celeron%C2%AE-Dual-CoreTM/dp/B09FFJQKSP,notebooks,1057.0215828418732,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
60,Notebook Samsung E30 Tela 15.6 Intel i3 SSD256 4GBRAM Linux,7892509118897,https://www.americanas.com.br/produto/4065728764,notebooks,1057.0215828418732,0,0,0,0,0,0.0,1,2,0.04,15,0.06666666666666667,0.008426966292134831
64,"Notebook ASUS X515JF-EJ360T Intel Core i5 1035G1 8GB 256GB SSD W10 15,6"" LED-backlit Cinza",7898573298077,https://www.amazon.com.br/Notebook-ASUS-X515JF-EJ360T-1035G1-LED-backlit/dp/B09KT7HT17,notebooks,1057.0215828418732,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
91,"Notebook Vaio FE14, Intel Core i5, 4GB RAM, HD 1TB, Tela 14"" LCD FullHD, Windows 10 - Chumbo Escuro",7896904641097,https://www.amazon.com.br/Notebook-Vaio-Intel-FullHD-Windows/dp/B0866QR6YY,notebooks,1057.0215828418732,0,0,0,0,0,0.0,0,0,0.0,69,0.014492753623188406,0.03876404494382023
112,Notebook Gamer Dell G15-a0500-MM10P 15.6 fhd amd Ryzen 5 8GB 512GB ssd nvidia rtx 3050 Windows 11,7899864941412,https://www.americanas.com.br/produto/4072503993,notebooks,1057.0215828418732,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
113,Notebook compaq CQ-27 COREI3 4GB SSD120GB WIN10,7898960921342,https://www.americanas.com.br/produto/2479874788,notebooks,1057.0215828418732,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
118,"Notebook Lenovo Ultrafino IdeaPad 3i i5-10210U 8GB 256 GB SSD Windows 11 15.6"" 82BS000GBR Prata",196119387863,https://www.amazon.com.br/Notebook-Lenovo-Ultrafino-i5-10210U-82BS000GBR/dp/B09J7TBV8Q,notebooks,1057.0215828418732,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0011235955056179776
123,"Notebook Samsung Intel Celeron-6305 4GB 500GB W11 15,6"" NP550XDA-KP2BR - Branco",7892509120821,https://www.americanas.com.br/produto/4102214721,notebooks,1057.0215828418732,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
129,"Notebook Multilaser Legacy Book, W10 Home, Processador Intel Quad, Mémoria 4GB e 64GB ,1 Tela 14,1 Pol. HD, + Microsoft 365 Personal + 1TB na Nuvem – PC312, preto",7908414442757,https://www.amazon.com.br/Notebook-Multilaser-Processador-Microsoft-Personal/dp/B09KP3RT71,notebooks,1057.0215828418732,0,0,0,1,1,0.1,1,1,0.02,10,0.1,0.0056179775280898875
133,"Notebook Positivo Motion C4128Ei - Intel Celeron Dual Core N3350, 14, 4Gb, ssd 128GB",7896904681062,https://www.americanas.com.br/produto/4224832746,notebooks,1057.0215828418732,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
134,Notebook asus X515EA-EJ1668 Cinza,7898573298503,https://www.americanas.com.br/produto/5017368098,notebooks,1057.0215828418732,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
142,"Notebook Acer Aspire 3, 4GB, 15.6'', Intel Core i3, 256 gb ssd, Windows 10 Home, cinza",4710886170556,https://www.americanas.com.br/produto/3678633063,notebooks,1057.0215828418732,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0005617977528089888
147,Notebook Acer A315 Intel Celeron N4000 Memoria 4gb Ssd 240GBTela 15.6' Hd Windows 10 Home,4710180696752,https://www.americanas.com.br/produto/4201441671,notebooks,1057.0215828418732,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
154,"Notebook Compaq Presario 431 14,1 LED HD i3-6157U 120GB 4GB Shell efi - Cinza",7896904657807,https://www.americanas.com.br/produto/4777795631,notebooks,1057.0215828418732,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
163,"ACER Notebook Gamer Nitro 5 AN515-55-79X0 Intel Core CI7 10750H, 8GB, 512GB SDD, NVIDIA GeForceGTX 1650, Windows, preto",4710886752950,https://www.amazon.com.br/ACER-Notebook-AN515-55-79X0-GeForceGTX-Windows/dp/B09QLD6RKY,notebooks,1057.0215828418732,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0011235955056179776
167,Notebook Intel Celeron 4GB ram 128GB ssd IdeaPad 3i - igl Tela 15.6 Windows 10,195713167154,https://www.americanas.com.br/produto/4935846933,notebooks,1057.0215828418732,0,0,0,0,0,0.0,0,0,0.0,217,0.004608294930875576,0.12191011235955056
170,"Notebook Samsung Book Intel Core I5 1135G7 - Iris Xe, Windows 10 Home 256GB ssd, 8GB ram, Tela 15.6 Iintel iris xe - Cinza Chumbo",7892509117128,https://www.americanas.com.br/produto/4183094512,notebooks,1057.0215828418732,0,0,0,0,0,0.0,1,1,0.02,13,0.07692307692307693,0.007303370786516854
172,Notebook i3 4GB HD 500GB Tela full HD 15.6 Wifi Bluetooh WebCam,7898571461626,https://www.americanas.com.br/produto/2203635575,notebooks,1057.0215828418732,0,0,0,0,0,0.0,0,0,0.0,59,0.01694915254237288,0.03314606741573034
176,Notebook Dell Inspiron i13-i1100-M20S 13.3 Full HD 11ª geração Plataforma Intel evo Core i7 8GB 512GB ssd Windows 11,7899864941375,https://www.americanas.com.br/produto/4645917641,notebooks,1057.0215828418732,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
177,"Notebook Gigabyte G5 15,6 I5 10Th 16Gb Ssd512Gb Rtx3060 W10",4719331813826,https://www.americanas.com.br/produto/4958964158,notebooks,1057.0215828418732,0,0,0,0,0,0.0,1,1,0.02,21,0.047619047619047616,0.011797752808988765
187,"Notebook 2 em 1 Positivo DUO C464D Intel® Celeron® Dual Core Windows 11 Home 11"" - Cinza",7896904684162,https://www.amazon.com.br/Notebook-Positivo-Intel%C2%AE-Celeron%C2%AE-Windows/dp/B09MKVQMKT,notebooks,1057.0215828418732,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
191,Notebook Acer Aspire 5 A514 Intel Core I5 1035G1 Memória 8gb Hd 1tb Ssd 256gb Tela 14'' HD Windows 10 Home,4710886520726,https://www.americanas.com.br/produto/4284493491,notebooks,1057.0215828418732,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0005617977528089888
193,"Notebook Positivo Motion Gray Q464C-O Intel® Atom® Quad Core™ Windows 10 Home 14,1'' - Cinza - Inclui Microsoft 365*",7896904684544,https://www.amazon.com.br/Notebook-Positivo-Motion-Q464C-Windows/dp/B09MDL41BQ,notebooks,1057.0215828418732,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0016853932584269663
195,"Notebook Gamer Dell G15-i1100-A30P 15.6"" FHD 11ª Geração Intel Core i5 8GB 512GB SSD NVIDIA RTX 3050 Windows 11, preto",7899864941504,https://www.amazon.com.br/Notebook-Dell-G15-i1100-A30P-Gera%C3%A7%C3%A3o-Windows/dp/B09M92H7KN,notebooks,1057.0215828418732,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
204,"ASUS Notebook X515JA-EJ2734W Intel Core i5 1035G1 4GB 256GB ssd W11 15,6 LED-backlit tft lcd Cinza",7898573298343,https://www.amazon.com.br/ASUS-Notebook-X515JA-EJ2734W-1035G1-LED-backlit/dp/B09QMQB5HF,notebooks,1057.0215828418732,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
217,"Notebook Positivo Motion C41TE Intel Celeron Dual-Core Windows 10 Home 14"" - Cinza",7896904680676,https://www.amazon.com.br/Notebook-Positivo-Celeron%C2%AE-Dual-CoreTM-Windows/dp/B08SMKSQL1,notebooks,1057.0215828418732,1,1,1,1,1,0.1,1,2,0.04,1,1.0,0.0005617977528089888
222,Notebook Windows 10 Home Intel Core i3 4GB 1TB Ultra,7908414430211,https://www.americanas.com.br/produto/4830252151,notebooks,1057.0215828418732,0,0,0,0,0,0.0,1,2,0.04,15,0.06666666666666667,0.008426966292134831
233,Notebook Positivo Motion Intel Celeron Dual-Core Linux 14 - Cinza - C41TEI,7896904680683,https://www.americanas.com.br/produto/3136232011,notebooks,1057.0215828418732,0,0,0,1,2,0.2,1,3,0.06,4,0.25,0.0022471910112359553
255,"Notebook Positivo Motion Q464C-O Intel® Atom® Quad Core™ Windows 10 Home 14,1'' - Dourado - Inclui Microsoft 365*",7896904684490,https://www.amazon.com.br/Notebook-Positivo-Motion-Q464C-Windows/dp/B09ML37Y3S,notebooks,1057.0215828418732,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
267,Notebook VAIO® FE14 Intel® Core™ i5 Linux 8GB 256GB SSD - Branco,7896904665239,https://www.amazon.com.br/Notebook-VAIO%C2%AE-Intel%C2%AE-CoreTM-Linux/dp/B09MG2MX6M,notebooks,1057.0215828418732,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0011235955056179776
284,Notebook acer Aspire 5 A515-54G-53GP CI5 8 GB 256 GB SSD NVDIA® GeForce MX250 15.6 Win 10,4710180850420,https://www.amazon.com.br/Notebook-Aspire-A515-54G-53GP-NVDIA%C2%AE-GeForce/dp/B08BJ9KMZ4,notebooks,1057.0215828418732,0,0,0,0,0,0.0,0,0,0.0,228,0.0043859649122807015,0.12808988764044943
290,Notebook vaio FE14 Intel Core i5 Windows 10 Home 8GB 256GB ssd Full hd- Branco,7896904649741,https://www.americanas.com.br/produto/1966344311,notebooks,1057.0215828418732,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0011235955056179776
293,"ASUS Notebook VivoBook X543MA-GQ1300W Intel Celeron Dual Core N4020 4GB 500GB W11 15,6 Cinza Escuro",7898573298534,https://www.amazon.com.br/ASUS-Notebook-VivoBook-X543MA-GQ1300W-Celeron/dp/B09S6TM3ZV,notebooks,1057.0215828418732,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
303,Notebook Aspire 3 I5 4GB 256GB ssd Linux - Acer,4710886059059,https://www.americanas.com.br/produto/2575193683,notebooks,1057.0215828418732,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0005617977528089888
318,Notebook Vaio Fe14 14 Fhd I5-10210u 1tb 8gb Win10 Home,7896904638196,https://www.americanas.com.br/produto/5099048257,notebooks,1057.0215828418732,0,0,0,0,0,0.0,0,0,0.0,52,0.019230769230769232,0.029213483146067417
319,Note quad 4GB 64GB C4128E-S cza positivo,7896904694000,https://www.americanas.com.br/produto/3057334642,notebooks,1057.0215828418732,0,0,0,1,1,0.1,1,2,0.04,5,0.2,0.0028089887640449437
325,Notebook Asus Intel Celeron 2.8GHz 4GB ram 128GB ssd Windows 10 Pro Tela 15.6,7898573297759,https://www.americanas.com.br/produto/4579000148,notebooks,1057.0215828418732,0,0,0,0,0,0.0,1,1,0.02,30,0.03333333333333333,0.016853932584269662
326,Notebook ASUS X571GT-AL888T INTEL CORE I5 9300H / NVIDIA GeForce GTX1650 / 16 GB / 256 GB SSD / Windows 10 Home / Black,7898573297438,https://www.amazon.com.br/Notebook-ASUS-X571GT-AL888T-GeForce-GTX1650/dp/B099KMHKPQ,notebooks,1057.0215828418732,0,0,0,0,0,0.0,0,0,0.0,83,0.012048192771084338,0.04662921348314607
