indice,titulo,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
1,Smart TV LED HD 32” Panasonic Media Player 2 HDMI 2 USB TC-32FS500B,7896067213285,tvs,3665.7069413661957,1,1,1,1,6,0.6,1,13,0.26,1,1.0,0.00012540757461750688
13,"Car MP4 Player, Car Music Player, removível para carro entretenimento Veículo Audiovisual System Auto-condução Tour Car Electronics",7003163886521,tvs,3665.7069413661957,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
18,Smart TV Roku Led 50 Philco uhd 4K Bivolt Netflix,7891356090912,tvs,3665.7069413661957,1,1,1,1,10,1.0,1,25,0.5,1,1.0,0.00012540757461750688
38,Boroscópio com saídas USB / TV / Cartão sd - Akrom KR150,7900661640634,tvs,3665.7069413661957,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
46,Smart TV 40'' Philco PTV40G60SNBL FHD com Tela Infinita Audio Dolby Loja de Aplicativos e Processador Quadcore,7899466434862,tvs,3665.7069413661957,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
51,LED de sinalização eletricamente senoidal aberto 100-240V super seguro azul-Regulamentos dos EUA,7440951744173,tvs,3665.7069413661957,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
55,"Smart TV LED 43"" Full HD AOC ROKU TV FHD 43S5195/78G, Wi-Fi, 3 HDMI, 1 USB, Wifi, Conversor Digital",7898620270971,tvs,3665.7069413661957,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
57,Samsung Smart TV LED 40'' Tizen FHD 40T5300 2020 com WIFI HDR para Brilho e Contraste e Plataforma Tizen,7892509114301,tvs,3665.7069413661957,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.00012540757461750688
66,Tv Digital Full Hd Ford Territory 2021 Faaftech Ft-Vf-Frd6,7892460048509,tvs,3665.7069413661957,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
69,"Smart TV Samsung 65 4K Ultra hd, LED UN65BU8000GXZD, Wi-fi Integrado",7892509121965,tvs,3665.7069413661957,1,1,1,1,1,0.1,1,2,0.04,1,1.0,0.00012540757461750688
82,GOOGLE TV LED 55” TCL P725 4K UHD,7899968301112,tvs,3665.7069413661957,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
98,Televisao 39 Polegadas Hd s/ Conversor Digital Tlo33,7908414405448,tvs,3665.7069413661957,1,1,1,1,7,0.7,1,7,0.14,1,1.0,0.00012540757461750688
102,"Samsung Smart TV 65"" Crystal UHD 4K 65AU8000, Painel Dynamic Crystal Color, Design slim, Tela sem limites, Visual Livre de Cabos, Alexa built in, Controle Único",7892509117395,tvs,3665.7069413661957,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
109,"2021 Smart TV LG 65"" 4K NanoCell 65NANO85 120Hz FreeSync 2 HDMI 2.1 Inteligência Artificial ThinQAI Google Alexa",7893299915758,tvs,3665.7069413661957,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
117,"Smart TV Samsung qled 4K 55, Slim Frame, Modo Arte, Molduras Costumizáveis e Conexão Única - 55LS03AA",7892509117548,tvs,3665.7069413661957,1,1,1,1,9,0.9,1,9,0.18,1,1.0,0.00012540757461750688
128,"Samsung Smart TV 65'' QLED 8K 65Q800T, Processador com IA, Borda Infinita, Alexa built in, Som em Movimento, Modo Ambiente 3.0",7892509113649,tvs,3665.7069413661957,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
134,Philco TV 42 Led PTV42G52RCF,7891356092329,tvs,3665.7069413661957,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
138,"Monoprice Suporte articulado de parede para TV motorizado acima da lareira, movimento total, para TVs entre 50 e 254 cm, peso máximo 50 kg",889028138366,tvs,3665.7069413661957,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
160,HD 4K Android 6.0 WiFi Smart Proyector (preto),8148440993253,tvs,3665.7069413661957,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
170,TX-NR5100 7.2-Channel 8K AV Receiver,889951003564,tvs,3665.7069413661957,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
171,Smart TV 58” Philips 58PUG6654/78 4K UHD HDR10+ Dolby Vision Dolby Atmos Bluetooth WiFi 3 HDMI 2 USB - Prata Bordas ultrafinas,7898620271039,tvs,3665.7069413661957,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
183,100-240V Painel de LED dinâmico de controle remoto elétrico seguro colorido aberto para varejo azul-Regulamentos dos EUA,7868781760741,tvs,3665.7069413661957,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.00012540757461750688
197,Samsung Monitor 27 F27G35TFWL Preto,8806090853371,tvs,3665.7069413661957,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
207,Zopsc-1 Bateria recarregável portátil de TV de 13 polegadas 1800 mAh ATSC Digital TV HD Televisão para vida de carro para acampamento externo EUA Plug 110-220V,7043187117867,tvs,3665.7069413661957,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
209,Tv Monitor Led De 22 Hye Hd Hdmi/Usb/Conversor Digital,8809222513266,tvs,3665.7069413661957,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
222,"Smart TV Led 55” Tcl P715 4K Android UHD HDR com Wi-Fi e Bluetooth Integrados, Comando de voz à distância, Google Assistant",7899968301013,tvs,3665.7069413661957,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
225,"Tv 43 Led Full HD Lg, 43LW300C, Hdmi, USB",7893299906459,tvs,3665.7069413661957,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
