indice,titulo,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
1,Fogao A gas palladio vitreo 4 Q preto fosco gás glp,7899552140974,https://www.americanas.com.br/produto/3193703756,fogoes,81.02428817749023,0,0,0.0,0,0,0.0,0,0,0.0,59,0.01694915254237288,0.029309488325881768
2,Fogão Atlas 4 Bocas Branco,7897180505127,https://www.americanas.com.br/produto/5174814864,fogoes,81.02428817749023,0,0,0.0,1,1,0.1,1,3,0.06,10,0.1,0.004967709885742673
4,Fogão Mueller 5 Bocas Piacere Automático 601230004 - Inox,7908156901680,https://www.americanas.com.br/produto/3639949444,fogoes,81.02428817749023,0,0,0.0,1,1,0.1,1,2,0.04,2,0.5,0.0009935419771485345
5,"Smart TV 4K Samsung qled 75 com Design Slim, Alexa built in e Wi-Fi - 75Q70AA",7892509117593,https://www.americanas.com.br/produto/3249116279,tvs,81.02428817749023,0,0,0.0,1,1,0.1,1,1,0.02,8,0.125,0.003974167908594138
8,"Refrigerador Side By Side Lg 601l Painel Touch, Dispenser, New Lancaster Gs65sdn 220v",6934585684468,https://www.americanas.com.br/produto/4856798144,geladeiras,81.02428817749023,0,0,0.0,1,4,0.4,1,4,0.08,2,0.5,0.0009935419771485345
10,Fogão Atlas 5 Bocas Mônaco Top Glass com Mesa de Vidro Temperado Bivolt Branco,7897180505158,https://www.americanas.com.br/produto/5138180358,fogoes,81.02428817749023,0,0,0.0,0,0,0.0,1,2,0.04,14,0.07142857142857142,0.006954793840039742
11,Fogão a Gás 4 Bocas Moderatto 601186001 Branco - Mueller,7898361094980,https://www.amazon.com.br/Fog%C3%A3o-Bocas-Moderatto-601186001-Branco/dp/B076B9BJXW,fogoes,81.02428817749023,1,1,1.0,1,2,0.2,1,2,0.04,1,1.0,0.0004967709885742673
14,Smartphone Motorola Moto G200 256GB 5G Wi-Fi Tela 6.8'' Dual Chip 8GB RAM Câmera Tripla + Selfie 16MP - Verde,7892597351558,https://www.americanas.com.br/produto/4424395544,celulares,81.02428817749023,0,0,0.0,0,0,0.0,0,0,0.0,63,0.015873015873015872,0.03129657228017884
15,Notebook ultra multilaser 15.6 pol celeron N4020 4GB 120GB ssd windows 11 prata + microsoft 365 pers,7908414438545,https://www.americanas.com.br/produto/4956197856,notebooks,81.02428817749023,0,0,0.0,0,0,0.0,1,1,0.02,48,0.020833333333333332,0.02384500745156483
16,Geladeira Lg Bottom Freezer 451 Litros Inox 110v Gc-b659bsb,8806098423927,https://www.americanas.com.br/produto/3926211637,geladeiras,81.02428817749023,0,0,0.0,1,3,0.3,1,3,0.06,2,0.5,0.0009935419771485345
