indice,titulo,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
8,Smartphone Multilaser E Lite 32gb Dourado Tela 4.0 Pol 3g,7899838889214,https://www.americanas.com.br/produto/1983758671,celulares,161.25090312957764,1,1,1.0,1,2,0.2,1,2,0.04,1,1.0,0.0003443526170798898
12,Kit Philco Smartphone PCS02P Hit Plus + Speaker Go PBS10BTA,7891356102943,https://www.americanas.com.br/produto/3276131554,celulares,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,4,0.25,0.0013774104683195593
20,Smartphone Motorola Moto G200 256GB 5G Wi-Fi Tela 6.8'' Dual Chip 8GB RAM Câmera Tripla + Selfie 16MP - Verde,7892597351558,https://www.americanas.com.br/produto/4424395544,celulares,161.25090312957764,0,0,0.0,0,0,0.0,0,0,0.0,177,0.005649717514124294,0.060950413223140494
30,Smartphone Samsung Galaxy A23 128GB 4GB Wi-Fi Tela 6.6 Dual Chip 4GB ram Câmera Quádrupla + Selfie 8MP - Preto,7892509122719,https://www.americanas.com.br/produto/5150341353,celulares,161.25090312957764,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
47,Smartphone Motorola Moto E6s 64GB 4G Wi-Fi Tela 6.1'' Dual Chip 4GB RAM Câmera Dupla + Selfie 5MP - Vermelho Magenta,7892597349999,https://www.americanas.com.br/produto/2799308831,celulares,161.25090312957764,0,0,0.0,0,0,0.0,0,0,0.0,216,0.004629629629629629,0.0743801652892562
81,"Smartphone Positivo Twist 4 Pro 64GB Dual Chip Android 10 Tela 5.5"" Octa-Core 1,6GHz 4G 8MP -  Vermelho Rubber",7896904691788,https://www.americanas.com.br/produto/2973306541,celulares,161.25090312957764,0,0,0.0,0,0,0.0,1,1,0.02,13,0.07692307692307693,0.004476584022038568
106,Smartphone Multilaser F Pro 4g 16gb Android 9 Dourado P9119,7899838873862,https://www.americanas.com.br/produto/4678657760,celulares,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,4,0.25,0.0013774104683195593
127,"Telefone robusto DOOGEE S40 PRO [4 GB de RAM 64 GB de ROM], smartphone externo desbloqueado Android 10 IP68, tela de vidro Gorilla de 5,45"", câmera tripla de 13 MP, SIM duplo (Exército verde)",3002801019257,https://www.amazon.com.br/Telefone-robusto-smartphone-desbloqueado-Ex%C3%A9rcito/dp/B09BTB8PG6/ref=sr_1_969?qid=1651784093&s=wireless&sr=1-969&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,celulares,161.25090312957764,0,0,0.0,0,0,0.0,0,0,0.0,204,0.004901960784313725,0.07024793388429752
144,Smartphone Twist S514 64GB 1GB ram Dual Chip Tela 5.5 Positivo,7896904686272,https://www.americanas.com.br/produto/4208285367,celulares,161.25090312957764,1,1,1.0,1,3,0.3,1,4,0.08,1,1.0,0.0003443526170798898
156,Smartphone Samsung Galaxy S20+ 128GB 4G Wi-Fi Tela 6.7'' Dual Chip 8GB RAM Câmera Quádrupla + Selfie 10MP - Cosmic Black,7892509113960,https://www.americanas.com.br/produto/1524131280,celulares,161.25090312957764,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
