indice,titulo,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
1,Fogao A gas palladio vitreo 4 Q preto fosco gás glp,7899552140974,https://www.americanas.com.br/produto/3193703756,fogoes,81.02428817749023,0,0,0.0,0,0,0.0,0,0,0.0,59,0.01694915254237288,0.029309488325881768
2,Fogão Atlas 4 Bocas Branco,7897180505127,https://www.americanas.com.br/produto/5174814864,fogoes,81.02428817749023,0,0,0.0,1,1,0.1,1,3,0.06,10,0.1,0.004967709885742673
4,Fogão Mueller 5 Bocas Piacere Automático 601230004 - Inox,7908156901680,https://www.americanas.com.br/produto/3639949444,fogoes,81.02428817749023,0,0,0.0,1,1,0.1,1,2,0.04,2,0.5,0.0009935419771485345
10,Fogão Atlas 5 Bocas Mônaco Top Glass com Mesa de Vidro Temperado Bivolt Branco,7897180505158,https://www.americanas.com.br/produto/5138180358,fogoes,81.02428817749023,0,0,0.0,0,0,0.0,1,2,0.04,14,0.07142857142857142,0.006954793840039742
11,Fogão a Gás 4 Bocas Moderatto 601186001 Branco - Mueller,7898361094980,https://www.amazon.com.br/Fog%C3%A3o-Bocas-Moderatto-601186001-Branco/dp/B076B9BJXW,fogoes,81.02428817749023,1,1,1.0,1,2,0.2,1,2,0.04,1,1.0,0.0004967709885742673
20,Fogão de Piso 4 Bocas Mesa Inox Vidro Duplo 60L Dako Supreme branco Bivolt,7897180504236,https://www.americanas.com.br/produto/4678448941,fogoes,81.02428817749023,0,0,0.0,1,1,0.1,1,2,0.04,8,0.125,0.003974167908594138
24,Fogão 5 Bocas Fratello Vetro com Mesa de Vidro Mueller,7908156900416,https://www.americanas.com.br/produto/4378707948,fogoes,81.02428817749023,1,1,1.0,1,3,0.3,1,4,0.08,1,1.0,0.0004967709885742673
29,Fogão de Piso Continental 4 Bocas FC4CB Branco Automático com Mesa Compartimentada - Bivolt,7909569002193,https://www.americanas.com.br/produto/1778939799,fogoes,81.02428817749023,0,0,0.0,0,0,0.0,0,0,0.0,312,0.003205128205128205,0.15499254843517138
32,Fogao Itatiaia Vitrum Digital 5b Preto Bivolt,7892946336632,https://www.americanas.com.br/produto/5199635117,fogoes,81.02428817749023,1,1,1.0,1,3,0.3,1,7,0.14,1,1.0,0.0004967709885742673
33,Fogao A Gas Gemini 2 Q Vetro Amarelo Gás Glp,7898456266261,https://www.americanas.com.br/produto/3193707626,fogoes,81.02428817749023,0,0,0.0,1,2,0.2,1,2,0.04,4,0.25,0.001987083954297069
