indice,titulo,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
25,Refrigerador Consul 386l Frost Free Classe A Crm43 Platinum 220v,7891129240643,https://www.americanas.com.br/produto/4883003415,geladeiras,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,2,0.5,0.0006887052341597796
41,Geladeira/Refrigerador Brastemp Frost Free BRM45 375 Litros Inox - 220v,7891129252776,https://www.americanas.com.br/produto/133567705,geladeiras,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,2,0.5,0.0006887052341597796
44,Frigobar Consul Branco 117L 110V CRC12CBANA,7891129224063,https://www.americanas.com.br/produto/4825196095,geladeiras,161.25090312957764,1,1,1.0,1,2,0.2,1,2,0.04,1,1.0,0.0003443526170798898
56,Geladeira Brastemp Frost Free 443 litros - BRE57 Inox 110v,7891129252059,https://www.americanas.com.br/produto/132717231,geladeiras,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0010330578512396695
86,Geladeira/Refrigerador Samsung Side by Side RS65R5411M9 Inox Look 617L - 127v,8801643893521,https://www.americanas.com.br/produto/2428078861,geladeiras,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,9,0.1111111111111111,0.0030991735537190084
97,Refrigerador Electrolux Infinity 2 Portas 553L Frost Free Branco 220V DF82,7896584072389,https://www.americanas.com.br/produto/4722127433,geladeiras,161.25090312957764,0,0,0.0,1,2,0.2,1,2,0.04,5,0.2,0.001721763085399449
112,Refrigerador Side Inverse Brastemp de 03 Portas Frost Free com 540 Litros Painel Eletrônico Inox - BRO81AR,7891129491717,https://www.americanas.com.br/produto/1546721889,geladeiras,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,4,0.25,0.0013774104683195593
134,Geladeira/Refrigerador Electrolux Frost Free DFX41 Inox 371L - 110v,7896584071962,https://www.americanas.com.br/produto/1808805645,geladeiras,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,7,0.14285714285714285,0.0024104683195592287
150,Geladeira/Refrigerador Electrolux 382 litros TW42S Inox Top Freezer Com Dispenser de Água 110v,7909569244043,https://www.americanas.com.br/produto/1371035907,geladeiras,161.25090312957764,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
169,Refrigerador BRM45 375 Litros Frost Free 110W Brastemp,7891129252745,https://www.americanas.com.br/produto/4064180101,geladeiras,161.25090312957764,0,0,0.0,1,1,0.1,1,4,0.08,3,0.3333333333333333,0.0010330578512396695
188,Geladeira / Refrigerador Consul Duplex 2 Portas Frost Free CRM43HK 386 Litros - Platinum,7891129240636,https://www.americanas.com.br/produto/124291903,geladeiras,161.25090312957764,0,0,0.0,0,0,0.0,1,1,0.02,45,0.022222222222222223,0.015495867768595042
194,Geladeira Brastemp Frost Free Inverse BRE80AK 573 Litros com Smart Bar Inox - 110v,7891129236707,https://www.americanas.com.br/produto/124738331,geladeiras,161.25090312957764,0,0,0.0,1,1,0.1,1,2,0.04,8,0.125,0.0027548209366391185
207,Refrigerador Philco Side By Side Eco Inverter 434L 127V,7891356086892,https://www.americanas.com.br/produto/4750000712,geladeiras,161.25090312957764,0,0,0.0,1,1,0.1,1,2,0.04,4,0.25,0.0013774104683195593
210,Geladeira Consul Cycle Defrost Duplex CRD37EB 334 litros com Freezer Supercapacidade Branca - 110V,7891129195448,https://www.americanas.com.br/produto/110267814,geladeiras,161.25090312957764,0,0,0.0,0,0,0.0,0,0,0.0,73,0.0136986301369863,0.025137741046831957
211,Refrigerador LG Smart French Door com Instaview Door-In-Door e Hygiene Fresh GR-X228NM Preto Fosco – 525L 220V,8806098602636,https://www.americanas.com.br/produto/5078896855,geladeiras,161.25090312957764,1,1,1.0,1,2,0.2,1,2,0.04,1,1.0,0.0003443526170798898
233,Geladeira Panasonic BB71GV Frost Free Inverter 480L,7896067227510,https://www.americanas.com.br/produto/1973090452,geladeiras,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0010330578512396695
240,Frigobar 46 Litros Suggar FB461 Premium Inox,7896518510338,https://www.americanas.com.br/produto/120442831,geladeiras,161.25090312957764,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
260,Refrigerador 397 Litros Consul 2 Portas Frost Free Inverse Cre44abana,7891129499737,https://www.americanas.com.br/produto/4860918031,geladeiras,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,2,0.5,0.0006887052341597796
265,Geladeira Panasonic Frost Free 425L NR-BB53GV3B Black Glass - 110v,7896067226643,https://www.americanas.com.br/produto/1847305133,geladeiras,161.25090312957764,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
268,Refrigerador Side by Side LG New Lancaster Instaview 601 litros 220v - GC-X247CSBV,8806098346189,https://www.americanas.com.br/produto/227203881,geladeiras,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,5,0.2,0.001721763085399449
273,Geladeira Brastemp BRM44HK Frost Free Duplex 375L com Compartimento Extrafrio Fresh Zone Inox - 110V,7891129252721,https://www.americanas.com.br/produto/133605724,geladeiras,161.25090312957764,0,0,0.0,1,1,0.1,1,2,0.04,10,0.1,0.003443526170798898
281,Refrigerador LG Side By Side New Lancaster GS65SDN Aço Escovado 601L 220V,6934585684468,https://www.americanas.com.br/produto/5078890154,geladeiras,161.25090312957764,0,0,0.0,1,2,0.2,1,3,0.06,4,0.25,0.0013774104683195593
282,Geladeira / Refrigerador Brastemp Duplex BRM44 Frost Free 375 Litros - Branco - 110V,7891129252707,https://www.americanas.com.br/produto/133257344,geladeiras,161.25090312957764,0,0,0.0,0,0,0.0,1,2,0.04,13,0.07692307692307693,0.004476584022038568
294,Geladeira/Refrigerador Electrolux Duplex TF55 Top Freezer 431L Branca - 110V,7896584097856,https://www.americanas.com.br/produto/1808805725,geladeiras,161.25090312957764,0,0,0.0,0,0,0.0,1,1,0.02,13,0.07692307692307693,0.004476584022038568
326,Refrigerador Philco Side By Side Eco Inverter 434l 127v,7891356094637,https://www.americanas.com.br/produto/4279862871,geladeiras,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,2,0.5,0.0006887052341597796
345,Frigobar 124 Litros Classe A MRC12B Midea,7908198000495,https://www.americanas.com.br/produto/2945643128,geladeiras,161.25090312957764,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
352,Refrigerador LG Side By Side New Lancaster GS65SDN Aço Escovado 601L 127V,6934585684475,https://www.americanas.com.br/produto/5078871455,geladeiras,161.25090312957764,0,0,0.0,1,4,0.4,1,4,0.08,2,0.5,0.0006887052341597796
363,Geladeira/Refrigerador Consul Duplex Frost Free 340 litros CRM39 Evox 110V,7891129514232,https://www.americanas.com.br/produto/134571811,geladeiras,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,2,0.5,0.0006887052341597796
380,Refrigerador CRM50 hbhk 410L Frost Free Turbo Freezer Consul,7891129506022,https://www.americanas.com.br/produto/4064177041,geladeiras,161.25090312957764,0,0,0.0,0,0,0.0,1,1,0.02,42,0.023809523809523808,0.014462809917355372
382,Geladeira Panasonic Generation Frost Free 435L Aço Escovado,7896067226964,https://www.americanas.com.br/produto/3326995394,geladeiras,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,8,0.125,0.0027548209366391185
385,Frigobar RE80 79L Branco - Electrolux 110V,7896584035544,https://www.americanas.com.br/produto/310181,geladeiras,161.25090312957764,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
386,Geladeira/Refrigerador Samsung French Door RF22R7351SR Inox Look 501L Smart (Wi-Fi) com FlexZone,8806090389719,https://www.americanas.com.br/produto/1733510008,geladeiras,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,6,0.16666666666666666,0.002066115702479339
389,Refrigerador Electrolux TF42S 2 Portas 382 Litros Frost Free,7896584080056,https://www.americanas.com.br/produto/3646428858,geladeiras,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,4,0.25,0.0013774104683195593
393,Geladeira Panasonic Frost Free Aço Escovado 480L 110V NR-BB71PVFXA,7896067227480,https://www.americanas.com.br/produto/4462264449,geladeiras,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,5,0.2,0.001721763085399449
401,Geladeira Panasonic Frost Free 483L NR-BT55PV2W Branca - 110v,7896067226926,https://www.americanas.com.br/produto/2134975276,geladeiras,161.25090312957764,0,0,0.0,0,0,0.0,1,1,0.02,30,0.03333333333333333,0.010330578512396695
405,Refrigerador Side By Side Samsung Convert de 03 Portas Frost Free com 602 Litros Inox Look - RS65R,8801643893545,https://www.americanas.com.br/produto/2642675915,geladeiras,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0010330578512396695
