indice,titulo,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
4,Notebook lenovo BS145-15IIL I3 1005G1 4GB 500GB 15.6 dos,195348259293,https://www.americanas.com.br/produto/4551397286,notebooks,161.25090312957764,0,0,0.0,0,0,0.0,0,0,0.0,53,0.018867924528301886,0.01825068870523416
6,Notebook Ultra 15 Pol Core I5 8Gb 1Tb Hdd Windows 10 Prata - Ub521,7908414412859,https://www.americanas.com.br/produto/3662629289,notebooks,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0010330578512396695
7,"Notebook Asus X543MA-GQ1300W Windows 11 15,6 Polegadas 500GB 4GB ram Celeron wi-fi",7898573298534,https://www.americanas.com.br/produto/4768925465,notebooks,161.25090312957764,0,0,0.0,0,0,0.0,1,1,0.02,25,0.04,0.008608815426997245
11,"Notebook Vaio FE14 VJFE42F11X-B1521H Intel Core i3-10110U 4GB 128GB SSD FHD Linux 14"" Chumbo Escuro",7896904697506,https://www.americanas.com.br/produto/3386663498,notebooks,161.25090312957764,0,0,0.0,0,0,0.0,1,2,0.04,18,0.05555555555555555,0.006198347107438017
17,"Notebook Dell Inspiron 15 a0700-UM20P 15.6"" FHD AMD Ryzen™ 7 8GB 256GB SSD Linux Preto",7899864941757,https://www.amazon.com.br/Notebook-Dell-Inspiron-a0700-UM20P-RyzenTM/dp/B09J1KF3NB,notebooks,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,2,0.5,0.0006887052341597796
18,"Notebook Acer Aspire 3 amd Ryzen 3500U, 1TB hd, 8GB ram, amd Radeon Graphics 2GB GDDR5",4710886065548,https://www.americanas.com.br/produto/3735428585,notebooks,161.25090312957764,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
27,Notebook Dell Inspiron i15-i1100-M25P 15.6 Full HD 11ª Geração Intel Core i3 4GB 256GB ssd Windows 11 Preto,7899864943744,https://www.americanas.com.br/produto/4940335020,notebooks,161.25090312957764,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
29,"Notebook Positivo Motion Q464C Intel Atom Quad Core 4GB 64GB eMMC 14,1'' W10 - Cinza",7896904680508,https://www.americanas.com.br/produto/2859505618,notebooks,161.25090312957764,0,0,0.0,0,0,0.0,0,0,0.0,981,0.0010193679918450561,0.3378099173553719
32,Notebook vaio FE14 Intel Core i3 Linux 4GB 1TB Full HD - Cinza Escuro,7896904698695,https://www.americanas.com.br/produto/5022542783,notebooks,161.25090312957764,0,0,0.0,0,0,0.0,0,0,0.0,470,0.002127659574468085,0.1618457300275482
34,"Notebook asus X515JF-EJ361T Intel Core i5 1035G1 8GB 256GB ssd W10 15,6 LED-backlit Cinza",7898573298084,https://www.americanas.com.br/produto/4230227585,notebooks,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,2,0.5,0.0006887052341597796
35,Notebook Windows 10 Home Intel Core i3 4GB 1TB Ultra,7908414430211,https://www.americanas.com.br/produto/4830252151,notebooks,161.25090312957764,0,0,0.0,0,0,0.0,1,1,0.02,42,0.023809523809523808,0.014462809917355372
38,Notebook Dell Inspiron 15 i1101-M50S 15.6 Full HD 11ª geração Intel Core i7 8GB 512GB ssd nvidia Geforce Windows 11,7899864941955,https://www.americanas.com.br/produto/4299511023,notebooks,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,2,0.5,0.0006887052341597796
53,Notebook Samsung Chromebook 11.6 Intel Celeron N4020 32GB eMMC 4GB Chrome os XE310XBA-KT3BR,7892509118071,https://www.americanas.com.br/produto/4500446990,notebooks,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,2,0.5,0.0006887052341597796
60,Notebook Positivo Motion C41TE Celeron 4GB 1TB HD Windows 10 Home – Cinza,7896904680676,https://www.americanas.com.br/produto/2961662100,notebooks,161.25090312957764,0,0,0.0,1,3,0.3,1,3,0.06,2,0.5,0.0006887052341597796
67,"Notebook Dell Inspiron i13-i1100-M20S 13.3"" Full HD 11ª geração Plataforma Intel® EVO™ Core i7 8GB 512GB SSD Windows 11",7899864941375,https://www.amazon.com.br/Notebook-Dell-Inspiron-i13-i1100-M20S-Plataforma/dp/B09QDYJ8DY,notebooks,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,2,0.5,0.0006887052341597796
77,Notebook Positivo Motion 14 HD Intel i3-6157U 128GB ssd 4GB Win 10 Home I34128GB,7896904684872,https://www.americanas.com.br/produto/3693833071,notebooks,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,2,0.5,0.0006887052341597796
89,Notebook Lenovo IdeaPad Flex 5i i7-1165G7 8GB 256GB ssd W11 14 fhd Intel Iris Xe,196119551660,https://www.americanas.com.br/produto/4207755582,notebooks,161.25090312957764,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
93,Notebook Gamer Dell G15-i1000-U20P 15.6 fhd 10ª Geração Intel Core i5 8GB 512GB ssd nvidia gtx 1650 Linux,7899864941498,https://www.americanas.com.br/produto/4068960614,notebooks,161.25090312957764,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
94,Notebook Samsung Book I5 8GB 256GB ssd 15.6 Windows 11H Cinza Chumbo,7892509120784,https://www.americanas.com.br/produto/4430778630,notebooks,161.25090312957764,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
99,Notebook Asus ZenBook 14 UX425EA-BM319T CORE I5-1135G7 / 8 GB / 256 GB SSD / Windows 10 Home / Cinza Escuro,7898573297636,https://www.amazon.com.br/Notebook-ZenBook-UX425EA-BM319T-I5-1135G7-Windows/dp/B092RKSF44,notebooks,161.25090312957764,0,0,0.0,0,0,0.0,0,0,0.0,257,0.0038910505836575876,0.08849862258953169
104,Multilaser notebook ultra 14 core I3 4GB 1TB W10 prata UB421,7908414412811,https://www.americanas.com.br/produto/4777712533,notebooks,161.25090312957764,0,0,0.0,1,1,0.1,1,2,0.04,2,0.5,0.0006887052341597796
111,Notebook Compaq Presario CQ-29 Intel i5 5257u 8GB DDR3 ssd 480GB Tela 15.6 Full HD Windows 10 Home,7898960921434,https://www.americanas.com.br/produto/3302075905,notebooks,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,7,0.14285714285714285,0.0024104683195592287
115,Notebook Lenovo V14 i5-1135G7 8GB 256GB ssd W11 Pro mx 350 2GB 14 fhd 82NM0014BR Preto,196379304945,https://www.americanas.com.br/produto/4801999045,notebooks,161.25090312957764,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
122,Notebook ultra multilaser 15.6 pol celeron N4020 4GB 120GB ssd windows 11 prata + microsoft 365 pers,7908414438545,https://www.americanas.com.br/produto/4956197856,notebooks,161.25090312957764,0,0,0.0,0,0,0.0,0,0,0.0,113,0.008849557522123894,0.038911845730027546
128,Notebook Acer Aspire 5 Intel Core i5-1035G1 4GB 256GB SSD W10 14'' A514-53-5239 - Cinza,4710886520726,https://www.americanas.com.br/produto/3846350522,notebooks,161.25090312957764,0,0,0.0,1,1,0.1,1,4,0.08,8,0.125,0.0027548209366391185
130,Notebook Asus X543NA-GQ342T - CELERON DUAL CORE / 4 GB / 500 GB / Windows 10 Home / Cinza Escuro,7898573297414,https://www.amazon.com.br/Notebook-Asus-X543NA-GQ342T-CELERON-Windows/dp/B08HVVDT5P,notebooks,161.25090312957764,0,0,0.0,0,0,0.0,0,0,0.0,80,0.0125,0.027548209366391185
146,"Notebook Lenovo V14 i3-1115G4 8GB 256GB SSD W11 Home 14"" HD 82NM0010BR Preto",196379304907,https://www.amazon.com.br/Notebook-Lenovo-i3-1115G4-256GB-82NM0010BR/dp/B09PZJQSP1,notebooks,161.25090312957764,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
147,Notebook i3 4GB ssd 120GB Tela full HD 15.6 Wifi Bluetooh WebCam,7898571461619,https://www.americanas.com.br/produto/2203637298,notebooks,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,2,0.5,0.0006887052341597796
151,Kit Notebook Dell Inspiron 15 3000 a0500-MM10SC 15.6 fhd amd Ryzen 5 8GB 256GB ssd Windows 11 Prata + Capa,7899864941719,https://www.americanas.com.br/produto/4101701471,notebooks,161.25090312957764,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
152,"Notebook ASUS Vivobook X515EA-BR1275W Intel Core i3 1115G4 4GB 256GB SSD W11 15,6"" LED-backlit Cinza",7898573298190,https://www.amazon.com.br/Notebook-ASUS-Vivobook-X515EA-BR1275W-LED-backlit/dp/B09LZ6X372,notebooks,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,9,0.1111111111111111,0.0030991735537190084
166,"Notebook 2 em 1 Positivo Duo C464C Intel Celeron 4GB de Memória RAM 64GB de Armazenamento 11.6"" IPS Full HD touch com caneta Windows 10 Home - Cinza",7896904637991,https://www.amazon.com.br/Notebook-Positivo-Celeron%C2%AE-Dual-CoreTM-Touchscreen/dp/B08DC59WWW,notebooks,161.25090312957764,0,0,0.0,0,0,0.0,1,1,0.02,40,0.025,0.013774104683195593
175,"Notebook ASUS X515MA-BR623X Intel Celeron Dual Core N4020 4GB 128GB SSD W11 15,60"" LED-backlit Cinza",7898573298145,https://www.amazon.com.br/Notebook-ASUS-X515MA-BR623X-Celeron-LED-backlit/dp/B09NRVXR4J,notebooks,161.25090312957764,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
204,Notebook Positivo Motion I 341TBi Intel Core i3 4GB ram HD 1TB Tela 14'' Linux - 3011873,7896904634457,https://www.americanas.com.br/produto/3386584440,notebooks,161.25090312957764,1,1,1.0,1,3,0.3,1,3,0.06,1,1.0,0.0003443526170798898
221,"Kit Notebook Dell Inspiron i15-i1100-M70PB 15.6"" FHD 11ª Ger Intel Core i7 8GB 256GB SSD NVIDIA GeForce Win 11 + Mochila",7899864943621,https://www.amazon.com.br/Notebook-Dell-Inspiron-i15-i1100-M70PB-GeForce/dp/B09V8FXND8,notebooks,161.25090312957764,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
222,"Notebook Gamer Acer AN515-44-R54Q, Ryzen 5 4600H, 8GB, M.2 ssd 512GB, Geforce gtx 1650 4GB, 15.6 fhd 144Hz, Win 10 Home",4710886591818,https://www.americanas.com.br/produto/4703305231,notebooks,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0010330578512396695
225,"MacBook Pro Apple 13,3"" Intel Core i5 (16GB 1TB) Prateado",190199520172,https://www.americanas.com.br/produto/1756005311,notebooks,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,2,0.5,0.0006887052341597796
226,"Notebook Positivo Motion Q464C-O Intel Atom Quad Core Windows 10 Home 14,1'' - Dourado - Inclui Microsoft 365*",7896904684490,https://www.americanas.com.br/produto/4382566295,notebooks,161.25090312957764,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
229,"Notebook Asus Intel Core i7-1165G7 8GB 256GB SSD W11 15,6"" Preto X513EA-EJ3010W",7898573298398,https://www.americanas.com.br/produto/4646389721,notebooks,161.25090312957764,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
230,"Notebook Lenovo IdeaPad 3i 15IML05 Intel Core i3 - 4GB Ram e SSD de 256GB Tela 15,6” LCD Windows 10",195713897969,https://www.americanas.com.br/produto/3943342719,notebooks,161.25090312957764,1,1,1.0,1,3,0.3,1,3,0.06,1,1.0,0.0003443526170798898
250,"Notebook Samsung Intel Core i3-1115G4 4GB 1TB W11 15,6"" NP550XDA-KV2BR - Branco",7892509120876,https://www.americanas.com.br/produto/4133207777,notebooks,161.25090312957764,1,1,1.0,1,2,0.2,1,2,0.04,1,1.0,0.0003443526170798898
252,"Notebook Ultra UB522 - Tela 15 Full hd, Intel i5, ram 8GB, ssd 240GB, Windows 10 - Prata",7908414422193,https://www.americanas.com.br/produto/4797716996,notebooks,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,2,0.5,0.0006887052341597796
253,Notebook Lenovo V14 i7-1165G7 12GB 512GB ssd Geforce MX350 W11 Home 14 fhd 82NM0017BR Preto,196379304808,https://www.americanas.com.br/produto/4801998860,notebooks,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,2,0.5,0.0006887052341597796
255,Notebook Gamer ROG Zephyrus Duo 15 GX550LXS-HF157T INTEL CORE I7 10875H / 16 GB / 512 GB SSD / Windows 10 Home / Cinza,4718017888189,https://www.amazon.com.br/Notebook-ASUS-Zephyrus-GX550LXS-HF157T-Cinza/dp/B096WHJ77D,notebooks,161.25090312957764,0,0,0.0,0,0,0.0,0,0,0.0,76,0.013157894736842105,0.026170798898071626
256,Notebook Lenovo 15.6 RYZEN5 8GB 256GBSSD W11 - 82MF0003BR Prata Bivolt,196119415894,https://www.americanas.com.br/produto/4868520191,notebooks,161.25090312957764,0,0,0.0,1,1,0.1,1,2,0.04,4,0.25,0.0013774104683195593
277,"SAMSUNG Notebook Book Intel Celeron W11 4GB 500GB HD 15.6"" NP550XDA-KP2BR- Branco - Bivolt",7892509120821,https://www.amazon.com.br/SAMSUNG-Notebook-Celeron-NP550XDA-KP2BR-Branco/dp/B09TWX2XZX,notebooks,161.25090312957764,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
279,"Notebook asus VivoBook X513EA-EJ3010 Intel Core i7 1165G7 8GB 256GB ssd Linux 15,6 LED Preto",7898573298404,https://www.americanas.com.br/produto/4730866201,notebooks,161.25090312957764,0,0,0.0,0,0,0.0,0,0,0.0,90,0.011111111111111112,0.030991735537190084
295,Notebook Lenovo Ideapad 3i 15.6 HD Intel Celeron ssd 128GB 4GB Windows 11 Home Prata - 82BU0006BR,196119387894,https://www.americanas.com.br/produto/4777776051,notebooks,161.25090312957764,0,0,0.0,1,1,0.1,1,1,0.02,2,0.5,0.0006887052341597796
