indice,titulo,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
2,"Smart TV 65 uhd 4K Samsung 65AU7700, Processador Crystal 4K, Tela sem limites, Visual Livre de Cabos, Alexa built in, Controle Único",7892509117937,https://www.americanas.com.br/produto/4398507775,tvs,161.25090312957764,0,0,0.0,1,1,0.1,1,2,0.04,5,0.2,0.001721763085399449
16,"Samsung Smart TV 50"" QLED 4K The Frame 2021 50LS03A Design Slim Suporte de Parede Slim Incluso Única Conexão Molduras Customizáveis Modo Arte",7892509117562,https://www.americanas.com.br/produto/3060872986,tvs,161.25090312957764,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
33,Smart TV LED 55” LG 55NANO80 4K NanoCell 4x Hdmi 2.0 Inteligência Artificial Thinqai Smart Magic Google Alexa,7893299915772,https://www.americanas.com.br/produto/3280459712,tvs,161.25090312957764,0,0,0.0,1,2,0.2,1,3,0.06,3,0.3333333333333333,0.0010330578512396695
36,Tela Smart Toshiba 43 dled Full HD hdmi USB Bluetooth Wi-fi Bivolt,7908414421127,https://www.americanas.com.br/produto/4796777615,tvs,161.25090312957764,0,0,0.0,1,1,0.1,1,3,0.06,3,0.3333333333333333,0.0010330578512396695
39,TV Android Led 50 fhd 1920x1080 Philco Bivolt PTV50D60SA,7899466429813,https://www.americanas.com.br/produto/1240880027,tvs,161.25090312957764,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
43,"Smart TV 4K Samsung qled 55 com Modo Game, Alexa built in e Wi-Fi - QN55Q70AAGXZD",7892509117425,https://www.americanas.com.br/produto/3439087552,tvs,161.25090312957764,0,0,0.0,0,0,0.0,1,2,0.04,17,0.058823529411764705,0.005853994490358127
45,Smart TV 43'' LG 43LM631C0SB.BWZ Full HD Wi-Fi + 2 USB 3 HDMI,7893299912269,https://www.americanas.com.br/produto/1324750342,tvs,161.25090312957764,0,0,0.0,0,0,0.0,1,1,0.02,13,0.07692307692307693,0.004476584022038568
58,Smart TV 32 Philco PTV50RCG70BL LED Quad-Core hdmi USB,7891356100536,https://www.americanas.com.br/produto/4424378841,tvs,161.25090312957764,0,0,0.0,1,1,0.1,1,2,0.04,10,0.1,0.003443526170798898
62,"TV LED 39"" Philco HD com Conversor Digital 3 HDMI 1 USB Som Surround 60Hz - Preta",7899466429714,https://www.americanas.com.br/produto/134139729,tvs,161.25090312957764,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003443526170798898
68,"Smart TV Panasonic 40"" LED Full HD Wi-Fi 2 USB 2 HDMI",7896067213421,https://www.americanas.com.br/produto/1986529954,tvs,161.25090312957764,0,0,0.0,1,2,0.2,1,2,0.04,2,0.5,0.0006887052341597796
70,Smart TV LED 40'' Full HD Philco PTV40G70N 3 HDMI 2 USB Wi-Fi,7891356095962,https://www.americanas.com.br/produto/4063730713,tvs,161.25090312957764,0,0,0.0,0,0,0.0,0,0,0.0,246,0.0040650406504065045,0.08471074380165289
84,Smart TV Philips LED 50 4K Ultra HD Wi-Fi Android Comando de Voz 50PUG7406/78,7898620271381,https://www.americanas.com.br/produto/5190886569,tvs,161.25090312957764,0,0,0.0,0,0,0.0,1,1,0.02,27,0.037037037037037035,0.009297520661157025
85,Smart TV aoc 39 Polegadas HD Roku TV Série 5195,7898620271503,https://www.americanas.com.br/produto/5065189650,tvs,161.25090312957764,0,0,0.0,0,0,0.0,1,1,0.02,15,0.06666666666666667,0.005165289256198347
