match,pred,categoria,titulo_1,titulo_2
1,1,notebooks,Notebook Gaming 3i Core I5 8gb 256gbssd Gtx1650 15.6 Linux 82cgs00100,"Lenovo Notebook ideapad Gaming 3i i5-10300H 8GB 256GBSSD GTX 1650 4GB 15.6"" FHD WVA Linux 82CGS00100, Blue"
0,1,fogoes,Fogao A gas maxi vitreo 4 Q branco gas glp,Fogao A Gas Maxi Vitreo 5 Q Branco Gás Glp
0,1,geladeiras,Frigobar Midea 71 Litros Branco MRC08B2 - 220V,Frigobar Midea 124 Litros Branco MRC12B2 - 220V
0,1,fogoes,Fogão de Piso com Acendimento Automático Star 5 Bocas Itatiaia,Fogão de Piso com Acendimento Automático Waves 5 Bocas Itatiaia
0,1,celulares,"Smartphone Motorola Edge 20 128GB 5G Wi-Fi Tela 6,7'' Dual Chip 8GB RAM Câmera Tripla + Selfie 32MP - Branco","Smartphone Motorola Edge 20 128GB 5G Wi-Fi Tela 6,7'' Dual Chip 8GB RAM Câmera Tripla + Selfie 32MP - Verde"
0,1,tvs,"Smart TV Led 43"" Semp 43s5300 Full HD Android Bluetooth Controle Remoto com Comando de voz Google Assistant","Android Tv Led 43"" Tcl 43s6500 Bluetooth, Controle Remoto Com Comando De Voz E Google Assistant"
1,1,celulares,Smartphone Motorola Moto G20 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Azul,Smartphone Motorola Moto G20 128GB 4GB RAM Azul
1,1,geladeiras,Refrigerador Philco Side By Side PRF533I 220v,Refrigerador Philco Side By Side Eco Inverter 434L 127V
1,1,fogoes,Fogão de Piso 5 Bocas Electrolux 76LBU Branco Bivolt,Fogão 5 Bocas Electrolux Branco Automático com Ultra Chama e Painel Completo (76LBU) - Bivolt
0,1,tvs,"Smart TV LG OLED 65"" 4K OLED65C1 120hz G-Sync Freesync 4x HDMI 2.1 Inteligência Artificial Thinq Google Alexa","Smart TV OLED 83"" LG OLED83C1 4K 120hz G-Sync Freesync 4x HDMI 2.1 Inteligência Artificial Thinq Google Alexa"
1,1,celulares,Smartphone Moto G20 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Azul,"Smartphone Motorola Moto G20, Tela 6.5, 64GB, Octa-Core, Câmera Quádrupla 48 + 8 + 2 + 2MP, Selfie 13MP - Android 11"
0,1,geladeiras,Frigobar Consul 117L CRC12 - 110V,Frigobar 117L consul - CRC12CBBNA
0,0,fogoes,Fogão 5 Bocas Mesa de Inox Forno Easy Cean Plus Preto Bivolt,Fogão 4 Bocas Mesa de Inox Forno Easy Cean Plus Preto Bivolt
1,1,fogoes,Fogão Itatiaia Waves 4 Bocas All Black Bivolt 3700000042,Fogão Waves 4 Bocas - Preto
0,1,fogoes,Fogao A gas palladio vitreo 4 Q branco gás glp,Fogao A gas palladio vitreo 5 Q branco gás glp
0,0,fogoes,Fogão de Piso Fischer 4Q Gran Cheff Gás,Fogão de Piso Fischer Gran Cheff 5 Bocas Gás 220v
0,1,geladeiras,Geladeira Panasonic Frost Free 425L NR-BB53GV3B Black Glass - 110v,Geladeira Panasonic Frost Free 480L NR-BB71GVFB Black Glass - 110v
0,1,fogoes,Fogão 4 bocas Mueller Fratello Grafite acendimento automático Bivolt,Fogão 5 bocas Mueller Fratello Grafite acendimento automático Bivolt
1,1,geladeiras,Geladeira Brastemp Frost Free 443 litros - BRE57 Inox 110v,Geladeira Brastemp Frost Free Inverse 443 litros cor Inox com Turbo Ice - BRE57AK 110V
1,1,fogoes,Fogao A Gas Maxi Vitreo 5 Q Preto Fosco Gás Glp,Fogao A gas maxi vitreo 5 Q preto fosco gas glp
1,1,geladeiras,Geladeira/Refrigerador Brastemp Frost Free 375 Litros BRM45 - Branca - 110v,Refrigerador Brastemp Frost Free Duplex 375 Litros com Espaço Adapt Branco BRM45HB – 127 Volts
0,1,fogoes,Fogão Atlas 5 Bocas Preto Acendimento Automático Bivolt,Fogão Atlas 4 Bocas preto Atenas Glass com Acendimento automático - Bivolt
1,1,geladeiras,Refrigerador Continental Tc56 Frost Free Duplex 472 Litros,Geladeira Continental TC56 Frost Free 472L
0,1,fogoes,Fogao Mueller Fratello Vetro 4bcs 601230011,Fogão 4 Bocas Mueller Fratello Vetro
1,1,notebooks,Notebook lenovo ideapad 3I ryzen 5-5500U 8GB 256GB ssd windows 11 home 15.6 - prata,"Notebook Lenovo Ultrafino IdeaPad 3 R5-5500U 8GB 256GB SSD Windows 11 15.6"" 82MF0003BR Prata"
1,1,fogoes,Fogão Mueller 5 Bocas Fratello Vetro Branco Bivolt,Fogao 5b mueller fratello vetro mesa vidro - 601230014
0,0,fogoes,Fogão De Piso 6 Bocas A Gás glp Venax Delplus Vítreo Bivolt Preto,Fogão A Gás glp Venax Delplus Vítreo 4 Bocas Bivolt Amarelo
1,1,fogoes,Fogão Cooktop Fischer 2Q Elétrico Mesa Vitrocerâmica Preto 220V,Fogão Cooktop Fischer 2Q Elétrico Mesa Vitrocerâmica - 220V Código: 7883-11654
1,1,fogoes,Fogao realce iris glass 5B,Fogão 5 Bocas Realce Iris Glass Mesa De Vidro Preto Bivolt
0,1,fogoes,Fogão Dako Supreme Glass 5 Bocas Branco - Bivolt,Fogão Dako Supreme Glass 4 Bocas Branco - Bivolt
1,1,geladeiras,Refrigerador Frost Free Duplex Branca 472 Litros (TC56) - Continental,Refrigerador Continental Tc56 Frost Free Duplex 472 Litros
1,1,notebooks,"Notebook Samsung Book E30 4GB, 15.6'', Intel Core i3, ssd 256GB, Windows 10 Home, cinza","Notebook Samsung Book 11ª Intel Core i3-1115G4 4GB 256GB SSD 15,6"" Full HD Windows 10 Home, Cinza Chumbo"
0,1,fogoes,Fogão 4 Bocas Itatiaia Dream Preto Bivolt,Fogão Itatiaia Dream 5 Bocas Preto Tripla Chama Bivolt
1,1,fogoes,Fogão Atlas Mônaco Top Glass 5 Bocas Preto - Bivolt,Fogão 5 Bocas Mônaco Top Glass Atlas Automático com Mega chama - Preto
1,1,celulares,Smartphone Samsung Galaxy A23 4G 128GB 6.6 Quad Câm 48 + 5 + 2 + 2MP Azul,"Smartphone Samsung Galaxy A23 128GB 4GB Wi-Fi Tela 6.6"" Dual Chip 4GB RAM Câmera Quádrupla + Selfie 8MP - Azul"
0,1,tvs,Smart TV LED 65 LG uhd 4K ThinQ ai TV HDR10 webOS 6.0 2HDMI 1USB Wi-Fi,LG 4K UHD SMART TV
1,1,celulares,"Smartphone Samsung Galaxy S22 + 5G, 128GB, 8GB ram, Tela Infinita de 6.6",Smartphone Samsung Galaxy S22+ 128GB 5G Wi-Fi Tela 6.6'' Dual Chip 8GB RAM Câmera Tripla + Selfie 10MP - Verde
1,1,fogoes,Fogão Atlas 5Bocas New Fastcook,Fogão 5 Bocas Inox com Mesa Inox Atlas New Fastcook Bivolt
0,0,fogoes,Fogão 4 bocas Turbo Glass Mesa de vidro Preto Dako Bivolt,Fogão Dako Glass 5 Bocas Preto com Mesa de Vidro - Bivolt
1,1,fogoes,Fogão 4 bocas Mueller Piacere Vetro Branco com Mesa de Vidro Bivolt,Fogão 4 Bocas à Gás Mueller Piacere Vetro Acendimento Automático Branco Bivolt
0,0,fogoes,Fogão de Piso Esmaltec 5 Bocas Topázio Branco Bivolt,Fogão de Piso Esmaltec 4 Bocas Caribe Branco Bivolt
0,1,fogoes,Fogão a Gás Del Plus Vítreo 5 Bc Verde glp Venax,Fogão a Gás Del Plus Vítreo 5 Bc Preto GLP Venax
0,1,geladeiras,Refrigerador Panasonic 480 Litros BB71 Bottom Freezer Aço Escovado 127V,Refrigerador Panasonic BB53 Inverter Bottom Freezer 425L 2 Portas Aço Escovado Frost Free 127V NR-BB53PV3XA
0,1,tvs,Smart TV LG 43 polegadas 4K uhd 43UP7500PSF webOS ThinQ ai HGiG,LG 4K UHD SMART TV
0,0,fogoes,Fogão Ares 4 bocas Branco,Fogão Dream 5 Bocas - Branco
1,1,notebooks,"Notebook Samsung Book NP550XDA-K02BR, Intel Dual-Core, 4GB, 500GB, Branco - Windows 10","SAMSUNG Book Intel Dual-Core, Windows 11 Home, 4GB, 500GB, 15.6'' Full HD LED, 1.86kg*., branco"
1,1,notebooks,"SAMSUNG Book Intel Dual-Core, Windows 11 Home, 4GB, 500GB, 15.6'' Full HD LED, 1.86kg*., branco","Notebook Samsung Book Intel Dual-Core, Windows 10 Home 500GB, 4GB ram, Tela 15.6 Full HD LED Branco"
1,1,fogoes,Fogão 5 bocas Mueller Piacere Vetro Branco com mesa de vidro e queimador central tripla chama Bivolt,Fogão 5 Bocas à Gás Mueller Piacere Vetro Tripla Chama Branco Bivolt
1,1,geladeiras,Refrigerador Smart LG Side By Side Door In Door 601L Inox 220V GS65SDN1,Refrigerador LG Side By Side New Lancaster GS65SDN Aço Escovado 601L 220V
0,1,fogoes,Fogão 5 Bocas Dako Magister Style Preto Mesa de Vidro Bivolt,Fogão 4 bocas Dako Magister Style com Mesa de Vidro - Bivolt
1,1,tvs,"Smart Tv Led 32'' Panasonic Hd, Wi-fi, Usb, Hdmi, 60hz",Smart TV LED 32 Panasonic TC-32FS500B HD
1,1,geladeiras,Geladeira Panasonic Frost Free Aço Escovado 480L 110V NR-BB71PVFXA,Refrigerador Panasonic 480 Litros BB71 Bottom Freezer Aço Escovado 127V
1,1,tvs,"Smart TV Samsung 55 qled 4K Q65B 2022 Design Air Slim, Processador Quantum Lite, Multitela","Smart TV Samsung 55"" QLED 4K Q65B 2022 Design Air Slim, Processador Quantum Lite, Multitela 55"""
1,1,tvs,Smart TV LED 65” LG 65NANO85 4K NanoCell 120hz Freesync 2 Hdmi 2.1 Inteligência Artificial ThinQ Google Alexa,"2021 Smart TV LG 65"" 4K NanoCell 65NANO85 120Hz FreeSync 2 HDMI 2.1 Inteligência Artificial ThinQAI Google Alexa"
1,1,celulares,Smartphone Xiaomi Redmi 9 64GB 4GB Ram 4 Câmeras Roxo,"Smartphone Xiaomi Redmi 9 64GB Dual Chip Android 10 Tela 6,53 4G Câmera Quadrupla Traseira 13MP+8MP+5MP+2MP - Roxo"
0,1,notebooks,"Notebook Positivo Motion C41TEi Intel® Celeron® Dual-Core™ Linux 14"" - Vermelho",Notebook Positivo Motion Intel Celeron Dual-Core Linux 14 - Cinza - C41TEI
0,0,fogoes,Fogão Atlas 5 Bocas Agile up Glass Mesa Vidro Forno- Preto,Fogão 4 Bocas Atlas Agile Up Glass Mesa Vidro
0,1,celulares,Smartphone Motorola Moto G60s 128GB 6GB RAM Verde,Smartphone Motorola Moto G60 128GB 6GB RAM Azul
0,1,celulares,Smartphone Samsung Galaxy Z Flip3 128GB 5G Wi-Fi Tela 6.7'' Dual Chip 8GB RAM Câmera Dupla + Selfie 10MP - Verde,"Smartphone Samsung Galaxy Z Flip3 128GB 5G Wi-Fi Tela 6,7'' Dual Chip 8GB RAM Câmera Dupla + Selfie 10MP - Violeta"
1,1,tvs,Philco TV 42 Led PTV42G52RCF,"Smart TV 42"" Philco Roku LED Full HD - 42G52RCF com App Mobile 3 Hdmi 2 Usb Wifi Dolby Audio"
0,1,notebooks,Notebook Samsung E30 Tela 15.6 Intel i3 SSD256 4GBRAM Linux,"Notebook Dell Inspiron i15-3501 - Tela 15.6, Intel i3 1005G1, 8GB, ssd 256GB, Linux"
0,1,fogoes,Fogão a Gás GLP Picasso 5 Bocas Venax Grafite,Fogão A Gás glp Venax Gaudi 5 Bocas Grafite
0,1,fogoes,Fogao A Gas Gaudi Vetro Vitreo 4 Bocas 127 V Gas Glp Amarelo - Venax,Fogão A Gás glp Venax Gaudi Vetrô Vítreo 4 Bocas Inox
1,1,celulares,"Smartphone Samsung Galaxy A10s, 6,2, 32 Gb, Câmera Dupla, Azul",Smartphone Samsung Galaxy A10s 32GB Azul 2GB Ram
0,1,notebooks,"Notebook ASUS X515JF-EJ360T Intel Core i5 1035G1 8GB 256GB SSD W10 15,6"" LED-backlit Cinza","Notebook ASUS X515JF-EJ361T Intel Core i5 1035G1 8GB 256GB SSD W10 15,6"" LED-backlit Cinza"
0,1,tvs,"Smart TV 4K Samsung qled 65 com Design Slim, Alexa built in e Wi-Fi - QN65Q70AAGXZD","Smart TV 4K Samsung qled 75 com Design Slim, Alexa built in e Wi-Fi - 75Q70AA"
1,1,tvs,"PHILIPS Smart TV 32PHG6825/78-32"" HD sem bordas, HDR Plus, 3 HDMI, 2 USB, Wifi Miracast, Conversor digital, Netflix, Youtube, Globoplay e Prime Video","Smart TV Philips 32"" 32PHG6825/78 HD sem bordas HDR Plus 3 HDMI 2 USB Wifi Miracast, Conversor digital, Netflix, Youtube, Globoplay e Prime Video"
1,1,tvs,"Smart TV Samsung Led 55'' uhd, 4K, Alexa Built in, Wi-Fi, usb, hdmi - UN55AU7700GX Smart TV Samsung","Smart TV 55"" UHD Samsung 4k 55AU7700 Processador Crystal 4k Tela Sem Limites Visual Livre de Cabos Alexa Built In"
1,1,tvs,Smart TV LED 32” TCL S5200 HD HDR Android com Bluetooth e Google Assistant,TV Smart tcl LED 32 hdmi USB Wi-Fi Bluetooth HD 1366 x 768 - 32S5200
1,1,tvs,Smart TV Philco PTV32G70SBL LED- HD- WIFI integrado,"Smart Tv Philco 32"" Em Led Hd. Áudio Dolby, Com Netflix, Entre Outros Aplicativos E Processador Quadcore - Ptv32g70sbl"
1,1,tvs,"Smart TV 4K Samsung qled 75 com Design Slim, Alexa built in e Wi-Fi - 75Q70AA","Samsung Smart Tv 75"" Qled 4k 75q70a, Modo Game, Processador Ia, Som Em Movimento Virtual, Tela Sem Limites."
0,1,celulares,Smartphone Multilaser F 3g 32gb 1gb Tela 5.5 + Suporte Ring,Smartphone Multilaser F - P9131 3G 32GB 1GB 5.5'' Dourado
