match,pred,categoria,titulo_1,titulo_2
1,13.0473,notebooks,Notebook Gaming 3i Core I5 8gb 256gbssd Gtx1650 15.6 Linux 82cgs00100,"Lenovo Notebook ideapad Gaming 3i i5-10300H 8GB 256GBSSD GTX 1650 4GB 15.6"" FHD WVA Linux 82CGS00100, Blue"
0,8.826109,fogoes,Fogao A gas maxi vitreo 4 Q branco gas glp,Fogao A Gas Maxi Vitreo 5 Q Branco Gás Glp
0,17.411407,geladeiras,Frigobar Midea 71 Litros Branco MRC08B2 - 220V,Frigobar Midea 124 Litros Branco MRC12B2 - 220V
0,26.961693,fogoes,Fogão de Piso com Acendimento Automático Star 5 Bocas Itatiaia,Fogão de Piso com Acendimento Automático Waves 5 Bocas Itatiaia
0,15.319025,celulares,"Smartphone Motorola Edge 20 128GB 5G Wi-Fi Tela 6,7'' Dual Chip 8GB RAM Câmera Tripla + Selfie 32MP - Branco","Smartphone Motorola Edge 20 128GB 5G Wi-Fi Tela 6,7'' Dual Chip 8GB RAM Câmera Tripla + Selfie 32MP - Verde"
0,11.768703,tvs,"Smart TV Led 43"" Semp 43s5300 Full HD Android Bluetooth Controle Remoto com Comando de voz Google Assistant","Android Tv Led 43"" Tcl 43s6500 Bluetooth, Controle Remoto Com Comando De Voz E Google Assistant"
1,29.998085,celulares,Smartphone Motorola Moto G20 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Azul,Smartphone Motorola Moto G20 128GB 4GB RAM Azul
1,6.3549013,geladeiras,Refrigerador Philco Side By Side PRF533I 220v,Refrigerador Philco Side By Side Eco Inverter 434L 127V
1,23.673542,fogoes,Fogão de Piso 5 Bocas Electrolux 76LBU Branco Bivolt,Fogão 5 Bocas Electrolux Branco Automático com Ultra Chama e Painel Completo (76LBU) - Bivolt
0,9.220341,tvs,"Smart TV LG OLED 65"" 4K OLED65C1 120hz G-Sync Freesync 4x HDMI 2.1 Inteligência Artificial Thinq Google Alexa","Smart TV OLED 83"" LG OLED83C1 4K 120hz G-Sync Freesync 4x HDMI 2.1 Inteligência Artificial Thinq Google Alexa"
1,17.753025,celulares,Smartphone Moto G20 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Azul,"Smartphone Motorola Moto G20, Tela 6.5, 64GB, Octa-Core, Câmera Quádrupla 48 + 8 + 2 + 2MP, Selfie 13MP - Android 11"
0,30.892813,geladeiras,Frigobar Consul 117L CRC12 - 110V,Frigobar 117L consul - CRC12CBBNA
0,2.4469237,fogoes,Fogão 5 Bocas Mesa de Inox Forno Easy Cean Plus Preto Bivolt,Fogão 4 Bocas Mesa de Inox Forno Easy Cean Plus Preto Bivolt
1,12.596441,fogoes,Fogão Itatiaia Waves 4 Bocas All Black Bivolt 3700000042,Fogão Waves 4 Bocas - Preto
0,9.470848,fogoes,Fogao A gas palladio vitreo 4 Q branco gás glp,Fogao A gas palladio vitreo 5 Q branco gás glp
0,2.014204,fogoes,Fogão de Piso Fischer 4Q Gran Cheff Gás,Fogão de Piso Fischer Gran Cheff 5 Bocas Gás 220v
0,0.6095548,geladeiras,Geladeira Panasonic Frost Free 425L NR-BB53GV3B Black Glass - 110v,Geladeira Panasonic Frost Free 480L NR-BB71GVFB Black Glass - 110v
0,13.76318,fogoes,Fogão 4 bocas Mueller Fratello Grafite acendimento automático Bivolt,Fogão 5 bocas Mueller Fratello Grafite acendimento automático Bivolt
1,16.006594,geladeiras,Geladeira Brastemp Frost Free 443 litros - BRE57 Inox 110v,Geladeira Brastemp Frost Free Inverse 443 litros cor Inox com Turbo Ice - BRE57AK 110V
1,20.853867,fogoes,Fogao A Gas Maxi Vitreo 5 Q Preto Fosco Gás Glp,Fogao A gas maxi vitreo 5 Q preto fosco gas glp
1,22.908455,geladeiras,Geladeira/Refrigerador Brastemp Frost Free 375 Litros BRM45 - Branca - 110v,Refrigerador Brastemp Frost Free Duplex 375 Litros com Espaço Adapt Branco BRM45HB – 127 Volts
0,2.7552478,fogoes,Fogão Atlas 5 Bocas Preto Acendimento Automático Bivolt,Fogão Atlas 4 Bocas preto Atenas Glass com Acendimento automático - Bivolt
1,28.673723,geladeiras,Refrigerador Continental Tc56 Frost Free Duplex 472 Litros,Geladeira Continental TC56 Frost Free 472L
0,14.738591,fogoes,Fogao Mueller Fratello Vetro 4bcs 601230011,Fogão 4 Bocas Mueller Fratello Vetro
1,14.861352,notebooks,Notebook lenovo ideapad 3I ryzen 5-5500U 8GB 256GB ssd windows 11 home 15.6 - prata,"Notebook Lenovo Ultrafino IdeaPad 3 R5-5500U 8GB 256GB SSD Windows 11 15.6"" 82MF0003BR Prata"
1,21.315413,fogoes,Fogão Mueller 5 Bocas Fratello Vetro Branco Bivolt,Fogao 5b mueller fratello vetro mesa vidro - 601230014
0,5.4636517,fogoes,Fogão De Piso 6 Bocas A Gás glp Venax Delplus Vítreo Bivolt Preto,Fogão A Gás glp Venax Delplus Vítreo 4 Bocas Bivolt Amarelo
1,15.946687,fogoes,Fogão Cooktop Fischer 2Q Elétrico Mesa Vitrocerâmica Preto 220V,Fogão Cooktop Fischer 2Q Elétrico Mesa Vitrocerâmica - 220V Código: 7883-11654
1,18.069073,fogoes,Fogao realce iris glass 5B,Fogão 5 Bocas Realce Iris Glass Mesa De Vidro Preto Bivolt
0,8.682552,fogoes,Fogão Dako Supreme Glass 5 Bocas Branco - Bivolt,Fogão Dako Supreme Glass 4 Bocas Branco - Bivolt
1,24.161987,geladeiras,Refrigerador Frost Free Duplex Branca 472 Litros (TC56) - Continental,Refrigerador Continental Tc56 Frost Free Duplex 472 Litros
1,6.0618114,notebooks,"Notebook Samsung Book E30 4GB, 15.6'', Intel Core i3, ssd 256GB, Windows 10 Home, cinza","Notebook Samsung Book 11ª Intel Core i3-1115G4 4GB 256GB SSD 15,6"" Full HD Windows 10 Home, Cinza Chumbo"
0,9.805439,fogoes,Fogão 4 Bocas Itatiaia Dream Preto Bivolt,Fogão Itatiaia Dream 5 Bocas Preto Tripla Chama Bivolt
1,20.074888,fogoes,Fogão Atlas Mônaco Top Glass 5 Bocas Preto - Bivolt,Fogão 5 Bocas Mônaco Top Glass Atlas Automático com Mega chama - Preto
1,24.145187,celulares,Smartphone Samsung Galaxy A23 4G 128GB 6.6 Quad Câm 48 + 5 + 2 + 2MP Azul,"Smartphone Samsung Galaxy A23 128GB 4GB Wi-Fi Tela 6.6"" Dual Chip 4GB RAM Câmera Quádrupla + Selfie 8MP - Azul"
0,4.8298965,tvs,Smart TV LED 65 LG uhd 4K ThinQ ai TV HDR10 webOS 6.0 2HDMI 1USB Wi-Fi,LG 4K UHD SMART TV
1,20.090115,celulares,"Smartphone Samsung Galaxy S22 + 5G, 128GB, 8GB ram, Tela Infinita de 6.6",Smartphone Samsung Galaxy S22+ 128GB 5G Wi-Fi Tela 6.6'' Dual Chip 8GB RAM Câmera Tripla + Selfie 10MP - Verde
1,23.03397,fogoes,Fogão Atlas 5Bocas New Fastcook,Fogão 5 Bocas Inox com Mesa Inox Atlas New Fastcook Bivolt
0,0.25862712,fogoes,Fogão 4 bocas Turbo Glass Mesa de vidro Preto Dako Bivolt,Fogão Dako Glass 5 Bocas Preto com Mesa de Vidro - Bivolt
