match,pred,categoria,titulo_1,titulo_2
1,0.8040457,notebooks,Notebook Gaming 3i Core I5 8gb 256gbssd Gtx1650 15.6 Linux 82cgs00100,"Lenovo Notebook ideapad Gaming 3i i5-10300H 8GB 256GBSSD GTX 1650 4GB 15.6"" FHD WVA Linux 82CGS00100, Blue"
0,0.8059994,fogoes,Fogao A gas maxi vitreo 4 Q branco gas glp,Fogao A Gas Maxi Vitreo 5 Q Branco Gás Glp
0,0.8912804,geladeiras,Frigobar Midea 71 Litros Branco MRC08B2 - 220V,Frigobar Midea 124 Litros Branco MRC12B2 - 220V
0,0.93290764,fogoes,Fogão de Piso com Acendimento Automático Star 5 Bocas Itatiaia,Fogão de Piso com Acendimento Automático Waves 5 Bocas Itatiaia
0,0.9533383,celulares,"Smartphone Motorola Edge 20 128GB 5G Wi-Fi Tela 6,7'' Dual Chip 8GB RAM Câmera Tripla + Selfie 32MP - Branco","Smartphone Motorola Edge 20 128GB 5G Wi-Fi Tela 6,7'' Dual Chip 8GB RAM Câmera Tripla + Selfie 32MP - Verde"
0,0.8143977,tvs,"Smart TV Led 43"" Semp 43s5300 Full HD Android Bluetooth Controle Remoto com Comando de voz Google Assistant","Android Tv Led 43"" Tcl 43s6500 Bluetooth, Controle Remoto Com Comando De Voz E Google Assistant"
1,0.685965,celulares,Smartphone Motorola Moto G20 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Azul,Smartphone Motorola Moto G20 128GB 4GB RAM Azul
1,0.7435709,geladeiras,Refrigerador Philco Side By Side PRF533I 220v,Refrigerador Philco Side By Side Eco Inverter 434L 127V
1,0.7146435,fogoes,Fogão de Piso 5 Bocas Electrolux 76LBU Branco Bivolt,Fogão 5 Bocas Electrolux Branco Automático com Ultra Chama e Painel Completo (76LBU) - Bivolt
0,0.94441456,tvs,"Smart TV LG OLED 65"" 4K OLED65C1 120hz G-Sync Freesync 4x HDMI 2.1 Inteligência Artificial Thinq Google Alexa","Smart TV OLED 83"" LG OLED83C1 4K 120hz G-Sync Freesync 4x HDMI 2.1 Inteligência Artificial Thinq Google Alexa"
1,0.75549567,celulares,Smartphone Moto G20 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Azul,"Smartphone Motorola Moto G20, Tela 6.5, 64GB, Octa-Core, Câmera Quádrupla 48 + 8 + 2 + 2MP, Selfie 13MP - Android 11"
0,0.8513113,geladeiras,Frigobar Consul 117L CRC12 - 110V,Frigobar 117L consul - CRC12CBBNA
0,0.9637817,fogoes,Fogão 5 Bocas Mesa de Inox Forno Easy Cean Plus Preto Bivolt,Fogão 4 Bocas Mesa de Inox Forno Easy Cean Plus Preto Bivolt
1,0.6448507,fogoes,Fogão Itatiaia Waves 4 Bocas All Black Bivolt 3700000042,Fogão Waves 4 Bocas - Preto
0,0.9531483,fogoes,Fogao A gas palladio vitreo 4 Q branco gás glp,Fogao A gas palladio vitreo 5 Q branco gás glp
0,0.79871297,fogoes,Fogão de Piso Fischer 4Q Gran Cheff Gás,Fogão de Piso Fischer Gran Cheff 5 Bocas Gás 220v
0,0.92510927,geladeiras,Geladeira Panasonic Frost Free 425L NR-BB53GV3B Black Glass - 110v,Geladeira Panasonic Frost Free 480L NR-BB71GVFB Black Glass - 110v
0,0.94837415,fogoes,Fogão 4 bocas Mueller Fratello Grafite acendimento automático Bivolt,Fogão 5 bocas Mueller Fratello Grafite acendimento automático Bivolt
1,0.8876063,geladeiras,Geladeira Brastemp Frost Free 443 litros - BRE57 Inox 110v,Geladeira Brastemp Frost Free Inverse 443 litros cor Inox com Turbo Ice - BRE57AK 110V
1,0.8188708,fogoes,Fogao A Gas Maxi Vitreo 5 Q Preto Fosco Gás Glp,Fogao A gas maxi vitreo 5 Q preto fosco gas glp
1,0.80459833,geladeiras,Geladeira/Refrigerador Brastemp Frost Free 375 Litros BRM45 - Branca - 110v,Refrigerador Brastemp Frost Free Duplex 375 Litros com Espaço Adapt Branco BRM45HB – 127 Volts
